assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,25,1,15.5,29,2,0,0,3.2,16.2,2018-08-11T14:00:00Z,90,5,0,0,0,0,1,0,21187,0,2,0.0,6,0,0,0,45,True,0,Bournemouth,Cardiff,3,2
0,0,18,0,2.8,29,20,1,0,2.7,16.6,2018-08-18T14:00:00Z,90,19,0,0,0,0,2,0,35599,2,1,8.0,2,4869,7338,2469,45,False,0,Bournemouth,West Ham,2,3
0,0,4,0,1.4,29,22,2,0,1.3,9.6,2018-08-25T14:00:00Z,60,8,0,0,0,1,3,0,40754,2,2,2.0,-2,2416,7324,4908,45,True,0,Bournemouth,Everton,3,2
0,0,9,0,1.7,29,34,1,0,0.8,6.2,2018-09-01T14:00:00Z,79,6,0,0,0,0,4,0,34980,0,2,0.0,2,-5970,667,6637,45,False,0,Bournemouth,Chelsea,2,4
0,0,19,0,3.6,29,41,2,1,5.9,34.6,2018-09-15T14:00:00Z,90,11,0,0,0,0,5,0,34355,2,4,21.0,7,-1406,1863,3269,45,True,0,Bournemouth,Leicester,3,3
0,0,11,0,3.5,29,53,2,0,2.5,17.4,2018-09-22T14:00:00Z,77,4,0,0,0,0,6,0,45164,0,4,4.0,1,9086,11828,2742,45,False,0,Bournemouth,Burnley,2,3
0,0,17,0,17.6,29,62,1,0,3.4,14.2,2018-10-01T19:00:00Z,90,7,0,0,0,0,7,0,44899,1,2,2.0,2,-257,2177,2434,45,True,0,Bournemouth,Crystal Palace,3,2
0,0,25,1,3.1,29,80,0,0,1.9,13.6,2018-10-06T14:00:00Z,90,18,0,0,0,0,8,0,43936,4,0,2.0,6,-1111,1196,2307,45,False,0,Bournemouth,Watford,2,3
0,0,16,1,3.0,29,82,0,0,2.7,21.6,2018-10-20T14:00:00Z,90,16,0,0,0,0,9,0,50025,0,0,2.0,6,4671,7107,2436,45,True,0,Bournemouth,Southampton,3,2
0,0,24,1,3.8,29,94,0,0,1.8,8.6,2018-10-27T14:00:00Z,90,9,0,0,0,0,10,0,52983,3,0,6.0,6,2508,4628,2120,45,False,0,Bournemouth,Fulham,2,2
0,0,13,0,14.1,29,102,2,0,3.1,13.2,2018-11-03T12:30:00Z,90,14,0,0,0,0,11,0,58701,2,1,4.0,0,4859,8292,3433,45,True,1,Bournemouth,Man Utd,3,4
0,0,3,0,0.1,29,119,1,0,0.1,0.6,2018-11-10T15:00:00Z,29,15,0,0,0,0,12,0,64486,1,2,0.0,1,4536,7288,2752,45,False,0,Bournemouth,Newcastle,2,3
0,0,0,0,0.0,29,121,0,0,0.0,0.0,2018-11-25T13:30:00Z,0,1,0,0,0,0,13,0,43820,2,1,0.0,0,-19516,217,19733,45,True,0,Bournemouth,Arsenal,3,4
0,0,0,0,0.0,29,138,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,13,0,0,0,0,14,0,38386,1,3,0.0,0,-6076,45,6121,45,False,0,Bournemouth,Man City,2,5
0,0,0,0,0.0,29,141,0,0,0.0,0.0,2018-12-04T19:45:00Z,0,10,0,0,0,0,15,0,33879,1,2,0.0,0,-4556,23,4579,45,True,0,Bournemouth,Huddersfield,3,2
0,0,0,0,0.0,29,152,0,0,0.0,0.0,2018-12-08T12:30:00Z,0,12,0,0,0,0,16,0,30683,4,0,0.0,0,-3198,23,3221,44,True,0,Bournemouth,Liverpool,3,4
0,0,0,0,0.0,29,170,0,0,0.0,0.0,2018-12-15T15:00:00Z,0,20,0,0,0,0,17,0,28176,0,2,0.0,0,-2595,26,2621,44,False,0,Bournemouth,Wolves,2,3
0,0,0,0,0.0,29,172,0,0,0.0,0.0,2018-12-22T15:00:00Z,0,3,0,0,0,0,18,0,26665,0,2,0.0,0,-1630,28,1658,44,True,0,Bournemouth,Brighton,3,2
0,0,0,0,0.0,29,189,0,0,0.0,0.0,2018-12-26T15:00:00Z,0,17,0,0,0,0,19,0,25378,0,5,0.0,0,-1305,25,1330,44,False,0,Bournemouth,Spurs,2,4
0,0,0,0,0.0,29,197,0,0,0.0,0.0,2018-12-30T16:30:00Z,0,14,0,0,0,0,20,0,24230,1,4,0.0,0,-1172,19,1191,44,False,0,Bournemouth,Man Utd,2,4
0,0,0,0,0.0,29,202,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,18,0,0,0,0,21,0,23462,3,3,0.0,0,-828,27,855,44,True,0,Bournemouth,Watford,3,3
0,0,5,0,1.9,29,216,2,0,0.8,4.2,2019-01-13T14:15:00Z,90,8,0,0,0,0,22,0,22339,0,2,2.0,1,-1116,25,1141,43,False,0,Bournemouth,Everton,2,3
0,0,23,1,2.8,29,222,0,0,1.9,15.2,2019-01-19T15:00:00Z,90,19,0,0,0,0,23,0,22343,0,2,1.0,6,-77,418,495,43,True,0,Bournemouth,West Ham,3,3
