assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,595,242,0,0,0.0,0.0,2019-02-02T15:00:00Z,0,4,0,0,0,0,25,0,0,1,1,0.0,0,0,0,0,40,False,0,Southampton,Burnley,2,3
0,0,0,0,0.0,595,257,0,0,0.0,0.0,2019-02-09T15:00:00Z,0,5,0,0,0,0,26,0,246,2,1,0.0,0,145,178,33,40,True,0,Southampton,Cardiff,2,2
0,0,0,0,0.0,595,261,0,0,0.0,0.0,2019-02-24T14:05:00Z,0,1,0,0,0,0,27,0,597,0,2,0.0,0,145,215,70,40,False,0,Southampton,Arsenal,2,4
0,0,0,0,0.0,595,280,0,0,0.0,0.0,2019-02-27T19:45:00Z,0,9,0,0,0,0,28,0,682,0,2,0.0,0,111,147,36,40,True,0,Southampton,Fulham,2,2
0,0,0,0,0.0,595,286,0,0,0.0,0.0,2019-03-02T15:00:00Z,0,14,0,0,0,0,29,0,729,2,3,0.0,0,33,85,52,40,False,0,Southampton,Man Utd,2,4
0,0,0,0,0.0,595,300,0,0,0.0,0.0,2019-03-09T15:00:00Z,0,17,0,0,0,0,30,0,807,1,2,0.0,0,27,74,47,40,True,0,Southampton,Spurs,2,4
0,0,0,0,0.0,595,312,0,0,0.0,0.0,2019-03-30T15:00:00Z,0,3,0,0,0,0,32,0,1051,1,0,0.0,0,65,141,76,40,False,0,Southampton,Brighton,2,2
0,0,0,0,0.0,595,327,0,0,0.0,0.0,2019-04-05T19:00:00Z,0,12,0,0,0,0,33,0,1083,3,1,0.0,0,15,75,60,40,True,0,Southampton,Liverpool,2,4
0,0,0,0,0.0,595,338,0,0,0.0,0.0,2019-04-13T14:00:00Z,0,20,0,0,0,0,34,0,1089,1,3,0.0,0,24,76,52,40,True,0,Southampton,Wolves,2,3
0,0,0,0,0.0,595,348,0,0,0.0,0.0,2019-04-20T16:30:00Z,0,15,0,0,0,0,35,0,1235,1,3,0.0,0,68,130,62,40,False,0,Southampton,Newcastle,2,3
0,0,0,0,0.0,595,308,0,0,0.0,0.0,2019-04-23T18:45:00Z,0,18,0,0,0,0,35,0,1235,1,1,0.0,0,68,130,62,40,False,0,Southampton,Watford,2,3
0,0,0,0,0.0,595,358,0,0,0.0,0.0,2019-04-27T14:00:00Z,0,2,0,0,0,0,36,0,1245,3,3,0.0,0,32,86,54,40,True,0,Southampton,Bournemouth,2,2
0,0,0,0,0.0,595,369,0,0,0.0,0.0,2019-05-04T14:00:00Z,0,19,0,0,0,0,37,0,1302,0,3,0.0,0,39,96,57,40,False,0,Southampton,West Ham,2,3
0,0,0,0,0.0,595,378,0,0,0.0,0.0,2019-05-12T14:00:00Z,0,10,0,0,0,0,38,0,1770,1,1,0.0,0,319,396,77,40,True,0,Southampton,Huddersfield,2,2
