assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,25,2,0,0,0.0,0.0,2018-08-11T14:00:00Z,0,5,0,0,0,0,1,0,340702,0,2,0.0,0,0,0,0,40,True,0,Bournemouth,Cardiff,3,2
0,0,0,0,0.0,25,20,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,19,0,0,0,0,2,0,367268,2,1,0.0,0,-6835,6126,12961,40,False,0,Bournemouth,West Ham,2,3
0,0,0,0,0.0,25,22,0,0,0.0,0.0,2018-08-25T14:00:00Z,0,8,0,0,0,0,3,0,363260,2,2,0.0,0,-13297,7509,20806,40,True,0,Bournemouth,Everton,3,2
0,0,0,0,0.0,25,34,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,6,0,0,0,0,4,0,370070,0,2,0.0,0,-2548,11726,14274,40,False,0,Bournemouth,Chelsea,2,4
0,0,0,0,0.0,25,41,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,11,0,0,0,0,5,0,372101,2,4,0.0,0,-4507,12944,17451,40,True,0,Bournemouth,Leicester,3,3
0,0,0,0,0.0,25,53,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,4,0,0,0,0,6,0,368789,0,4,0.0,0,-5659,5087,10746,40,False,0,Bournemouth,Burnley,2,3
0,0,0,0,0.0,25,62,0,0,0.0,0.0,2018-10-01T19:00:00Z,0,7,0,0,0,0,7,0,367144,1,2,0.0,0,-4191,3391,7582,40,True,0,Bournemouth,Crystal Palace,3,2
0,0,0,0,0.0,25,80,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,18,0,0,0,0,8,0,365709,4,0,0.0,0,-3522,3438,6960,40,False,0,Bournemouth,Watford,2,3
0,0,0,0,0.0,25,82,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,16,0,0,0,0,9,0,363219,0,0,0.0,0,-4654,4153,8807,40,True,0,Bournemouth,Southampton,3,2
0,0,0,0,0.0,25,94,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,9,0,0,0,0,10,0,362089,3,0,0.0,0,-2541,2754,5295,40,False,0,Bournemouth,Fulham,2,2
0,0,0,0,0.0,25,102,0,0,0.0,0.0,2018-11-03T12:30:00Z,0,14,0,0,0,0,11,0,360484,2,1,0.0,0,-3202,3000,6202,40,True,0,Bournemouth,Man Utd,3,4
0,0,0,0,0.0,25,119,0,0,0.0,0.0,2018-11-10T15:00:00Z,0,15,0,0,0,0,12,0,360064,1,2,0.0,0,-1910,2898,4808,40,False,0,Bournemouth,Newcastle,2,3
0,0,0,0,0.0,25,121,0,0,0.0,0.0,2018-11-25T13:30:00Z,0,1,0,0,0,0,13,0,360889,2,1,0.0,0,-1319,3289,4608,40,True,0,Bournemouth,Arsenal,3,4
0,0,0,0,0.0,25,138,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,13,0,0,0,0,14,0,360932,1,3,0.0,0,-374,2030,2404,40,False,0,Bournemouth,Man City,2,5
0,0,0,0,0.0,25,141,0,0,0.0,0.0,2018-12-04T19:45:00Z,0,10,0,0,0,0,15,0,360749,1,2,0.0,0,-998,2208,3206,40,True,0,Bournemouth,Huddersfield,3,2
0,0,0,0,0.0,25,152,0,0,0.0,0.0,2018-12-08T12:30:00Z,0,12,0,0,0,0,16,0,360048,4,0,0.0,0,-1968,2050,4018,40,True,0,Bournemouth,Liverpool,3,4
0,0,0,0,0.0,25,170,0,0,0.0,0.0,2018-12-15T15:00:00Z,0,20,0,0,0,0,17,0,360858,0,2,0.0,0,-543,2809,3352,40,False,0,Bournemouth,Wolves,2,3
0,0,0,0,0.0,25,172,0,0,0.0,0.0,2018-12-22T15:00:00Z,0,3,0,0,0,0,18,0,361391,0,2,0.0,0,-695,2461,3156,40,True,0,Bournemouth,Brighton,3,2
0,0,0,0,0.0,25,189,0,0,0.0,0.0,2018-12-26T15:00:00Z,0,17,0,0,0,0,19,0,362282,0,5,0.0,0,-679,3072,3751,40,False,0,Bournemouth,Spurs,2,4
0,0,0,0,0.0,25,197,0,0,0.0,0.0,2018-12-30T16:30:00Z,0,14,0,0,0,0,20,0,358778,1,4,0.0,0,-3305,1479,4784,40,False,0,Bournemouth,Man Utd,2,4
0,0,0,0,0.0,25,202,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,18,0,0,0,0,21,0,352363,3,3,0.0,0,-6735,1091,7826,40,True,0,Bournemouth,Watford,3,3
0,0,0,0,0.0,25,216,0,0,0.0,0.0,2019-01-13T14:15:00Z,0,8,0,0,0,0,22,0,344813,0,2,0.0,0,-8164,1176,9340,40,False,0,Bournemouth,Everton,2,3
0,0,23,1,0.0,25,222,0,0,0.7,6.8,2019-01-19T15:00:00Z,90,19,0,0,0,0,23,1,335884,0,2,0.0,6,-9216,960,10176,40,True,0,Bournemouth,West Ham,3,3
0,2,36,1,0.0,25,232,0,0,4.7,46.6,2019-01-30T19:45:00Z,90,6,0,0,0,0,24,7,347500,0,4,0.0,10,9330,13524,4194,39,True,0,Bournemouth,Chelsea,3,4
0,0,13,0,0.0,25,243,2,0,2.7,26.8,2019-02-02T17:30:00Z,90,5,0,0,0,0,25,3,424529,0,2,0.0,2,54585,57008,2423,39,False,0,Bournemouth,Cardiff,2,2
0,0,20,0,0.0,25,255,3,0,3.9,38.8,2019-02-09T15:00:00Z,90,12,0,0,0,0,26,6,454033,0,3,0.0,3,44422,49779,5357,39,False,0,Bournemouth,Liverpool,2,5
0,0,6,0,0.0,25,262,1,0,0.9,9.4,2019-02-23T15:00:00Z,90,20,0,0,0,0,27,1,508142,1,1,0.0,1,40802,46501,5699,40,True,1,Bournemouth,Wolves,3,3
0,0,8,0,0.0,25,271,5,0,1.8,17.8,2019-02-27T19:45:00Z,90,1,0,0,0,0,28,1,513063,1,5,0.0,0,16603,20171,3568,40,False,0,Bournemouth,Arsenal,2,4
0,2,24,0,0.0,25,281,1,0,5.6,55.8,2019-03-02T15:00:00Z,90,13,0,0,0,0,29,7,525073,1,0,0.0,6,11820,16165,4345,40,True,0,Bournemouth,Man City,3,4
0,0,22,1,0.0,25,295,0,0,0.8,8.2,2019-03-09T15:00:00Z,90,10,0,0,0,0,30,1,564817,2,0,0.0,6,38181,41062,2881,40,False,0,Bournemouth,Huddersfield,2,2
