assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,159,10,0,0,0.0,0.0,2018-08-11T16:30:00Z,0,20,0,0,0,0,1,0,7642,2,2,0.0,0,0,0,0,45,False,0,Everton,Wolves,2,3
0,0,0,0,0.0,159,16,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,16,0,0,0,0,2,0,5417,1,2,0.0,0,-2266,43,2309,45,True,0,Everton,Southampton,3,2
0,0,0,0,0.0,159,22,0,0,0.0,0.0,2018-08-25T14:00:00Z,0,2,0,0,0,0,3,0,4497,2,2,0.0,0,-1069,19,1088,45,False,0,Everton,Bournemouth,2,3
0,0,0,0,0.0,159,36,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,10,0,0,0,0,4,0,3980,1,1,0.0,0,-577,25,602,45,True,0,Everton,Huddersfield,3,2
0,0,0,0,0.0,159,43,0,0,0.0,0.0,2018-09-16T15:00:00Z,0,19,0,0,0,0,5,0,3684,3,1,0.0,0,-333,8,341,45,True,0,Everton,West Ham,3,3
0,0,0,0,0.0,159,51,0,0,0.0,0.0,2018-09-23T15:00:00Z,0,1,0,0,0,0,6,0,3534,0,2,0.0,0,-170,6,176,45,False,0,Everton,Arsenal,2,4
0,0,0,0,0.0,159,65,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,9,0,0,0,0,7,0,3435,0,3,0.0,0,-106,3,109,45,True,0,Everton,Fulham,3,2
0,0,0,0,0.0,159,75,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,11,0,0,0,0,8,0,3377,2,1,0.0,0,-66,6,72,45,False,0,Everton,Leicester,2,3
0,0,0,0,0.0,159,85,0,0,0.0,0.0,2018-10-21T15:00:00Z,0,7,0,0,0,0,9,0,3317,0,2,0.0,0,-73,6,79,45,True,0,Everton,Crystal Palace,3,2
0,0,0,0,0.0,159,97,0,0,0.0,0.0,2018-10-28T16:00:00Z,0,14,0,0,0,0,10,0,3279,1,2,0.0,0,-38,5,43,45,False,0,Everton,Man Utd,2,4
0,0,0,0,0.0,159,105,0,0,0.0,0.0,2018-11-03T15:00:00Z,0,3,0,0,0,0,11,0,3226,1,3,0.0,0,-54,2,56,45,True,0,Everton,Brighton,3,2
