assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,57,9,0,0,0.0,0.0,2018-08-11T14:00:00Z,0,18,0,0,0,0,1,0,5338,0,2,0.0,0,0,0,0,45,False,0,Brighton,Watford,2,3
0,0,3,0,0.0,57,11,1,0,0.0,0.0,2018-08-19T15:00:00Z,1,14,0,0,0,0,2,0,5542,2,3,0.0,1,-488,170,658,45,True,0,Brighton,Man Utd,2,4
0,0,0,0,0.0,57,25,0,0,0.0,0.0,2018-08-25T16:30:00Z,0,12,0,0,0,0,3,0,5462,0,1,0.0,0,-315,336,651,45,False,0,Brighton,Liverpool,2,5
0,0,0,0,0.0,57,31,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,9,0,0,0,0,4,0,5279,2,2,0.0,0,-317,226,543,45,True,0,Brighton,Fulham,2,2
0,0,0,0,0.0,57,47,0,0,0.0,0.0,2018-09-17T19:00:00Z,0,16,0,0,0,0,5,0,5676,2,2,0.0,0,65,705,640,44,False,0,Brighton,Southampton,2,2
0,0,6,0,12.3,57,52,2,0,2.7,10.6,2018-09-22T16:30:00Z,69,17,0,0,0,0,6,0,5476,2,1,4.0,1,-162,265,427,44,True,1,Brighton,Spurs,2,4
0,0,12,0,0.7,57,67,2,0,1.7,14.2,2018-09-29T14:00:00Z,90,13,0,0,0,0,7,0,5548,0,2,2.0,2,-1,310,311,44,False,0,Brighton,Man City,2,5
1,0,22,1,14.8,57,71,0,0,6.4,49.4,2018-10-05T19:00:00Z,90,19,0,0,0,0,8,0,6053,0,1,0.0,5,336,620,284,44,True,1,Brighton,West Ham,2,3
0,0,23,1,1.1,57,88,0,1,6.6,43.4,2018-10-20T14:00:00Z,90,15,0,0,0,0,9,0,13025,1,0,21.0,7,5972,7598,1626,44,False,1,Brighton,Newcastle,2,3
0,0,15,1,0.8,57,91,0,0,2.5,24.6,2018-10-27T14:00:00Z,90,20,0,0,0,0,10,0,39495,0,1,0.0,2,24143,27456,3313,44,True,1,Brighton,Wolves,2,3
