assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,9,0,15.8,193,4,2,0,2.3,7.6,2018-08-11T14:00:00Z,70,6,0,0,0,0,1,0,8906,3,0,0.0,1,0,0,0,45,True,0,Huddersfield,Chelsea,2,4
0,0,10,0,1.0,193,18,6,0,1.2,10.6,2018-08-19T12:30:00Z,90,13,0,0,0,0,2,0,9470,1,6,0.0,-1,-489,319,808,45,False,0,Huddersfield,Man City,2,5
0,0,0,0,0.0,193,24,0,0,0.0,0.0,2018-08-25T14:00:00Z,0,5,0,0,0,0,3,0,9519,0,0,0.0,0,-270,967,1237,45,True,0,Huddersfield,Cardiff,2,2
1,1,25,0,6.2,193,36,1,0,1.9,12.4,2018-09-01T14:00:00Z,90,8,0,0,0,0,4,0,8396,1,1,0.0,6,-1163,48,1211,45,False,0,Huddersfield,Everton,2,3
0,0,22,0,57.3,193,44,1,0,8.1,23.4,2018-09-15T14:00:00Z,90,7,0,0,0,0,5,0,8650,1,0,0.0,2,-100,447,547,45,True,0,Huddersfield,Crystal Palace,2,2
0,0,9,0,3.3,193,57,3,0,3.0,13.0,2018-09-22T14:00:00Z,90,11,0,0,0,0,6,0,8392,1,3,14.0,1,-322,153,475,44,False,0,Huddersfield,Leicester,2,3
0,0,6,0,0.9,193,66,2,0,2.3,12.0,2018-09-29T14:00:00Z,90,17,0,0,0,0,7,0,8128,2,0,10.0,1,-323,105,428,44,True,0,Huddersfield,Spurs,2,4
1,2,25,0,66.7,193,72,1,0,10.9,40.6,2018-10-06T14:00:00Z,85,4,0,0,0,0,8,0,8077,1,1,2.0,7,-122,185,307,44,False,0,Huddersfield,Burnley,2,3
0,0,14,0,14.3,193,86,1,0,3.4,20.0,2018-10-20T16:30:00Z,90,12,0,0,0,0,9,0,7637,1,0,0.0,2,-464,306,770,44,True,0,Huddersfield,Liverpool,2,4
0,0,24,0,6.8,193,100,3,0,5.4,23.2,2018-10-27T14:00:00Z,90,18,0,0,0,0,10,0,7762,0,3,24.0,1,51,274,223,44,False,0,Huddersfield,Watford,2,3
0,3,30,1,16.2,193,106,0,0,2.7,11.0,2018-11-05T20:00:00Z,90,9,0,0,0,0,11,0,8283,0,1,0.0,9,405,721,316,44,True,0,Huddersfield,Fulham,2,2
0,0,4,0,1.8,193,115,0,0,0.7,5.0,2018-11-10T15:00:00Z,44,19,0,0,0,0,12,0,9022,1,1,0.0,1,580,988,408,44,True,0,Huddersfield,West Ham,2,3
0,0,0,0,0.0,193,130,0,0,0.0,0.0,2018-11-25T16:00:00Z,0,20,0,0,0,0,13,0,7537,2,0,0.0,0,-1354,49,1403,44,False,0,Huddersfield,Wolves,2,3
0,0,0,0,0.0,193,135,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,3,0,0,0,0,14,0,7182,2,1,0.0,0,-418,23,441,44,True,0,Huddersfield,Brighton,2,2
0,0,0,0,0.0,193,141,0,0,0.0,0.0,2018-12-04T19:45:00Z,0,2,0,0,0,0,15,0,6783,1,2,0.0,0,-395,12,407,44,False,0,Huddersfield,Bournemouth,2,3
0,0,6,0,6.5,193,151,1,0,1.7,5.0,2018-12-08T15:00:00Z,90,1,0,0,0,0,16,0,6539,0,1,5.0,2,-249,19,268,44,False,0,Huddersfield,Arsenal,2,4
0,0,6,0,49.1,193,164,1,0,7.2,10.2,2018-12-15T15:00:00Z,59,15,0,0,0,0,17,0,9046,1,0,13.0,1,2314,2535,221,44,True,0,Huddersfield,Newcastle,2,2
0,0,0,0,1.0,193,176,2,0,0.0,0.0,2018-12-22T15:00:00Z,45,16,0,0,0,0,18,0,9936,3,1,0.0,-1,930,1284,354,44,True,1,Huddersfield,Southampton,2,2
0,0,4,0,4.5,193,187,2,0,0.9,4.4,2018-12-26T15:00:00Z,33,14,0,0,0,0,19,0,9293,1,3,0.0,0,-606,152,758,44,False,0,Huddersfield,Man Utd,2,4
0,0,6,0,4.8,193,194,1,0,2.9,6.2,2018-12-29T15:00:00Z,90,9,0,0,0,0,20,0,8035,0,1,18.0,2,-1291,68,1359,44,False,0,Huddersfield,Fulham,2,2
0,0,2,0,0.5,193,206,1,0,0.1,0.8,2019-01-02T19:45:00Z,19,4,0,0,0,0,21,0,8270,2,1,0.0,1,154,492,338,44,True,0,Huddersfield,Burnley,2,2
0,0,0,0,0.0,193,213,0,0,0.0,0.0,2019-01-12T15:00:00Z,0,5,0,0,0,0,22,0,7708,0,0,0.0,0,-539,106,645,44,False,0,Huddersfield,Cardiff,2,2
0,0,9,0,1.5,193,224,3,0,0.9,5.6,2019-01-20T13:30:00Z,90,13,0,0,0,0,23,0,7189,3,0,2.0,1,-525,29,554,44,True,0,Huddersfield,Man City,2,4
0,0,3,0,0.8,193,234,0,0,0.1,0.4,2019-01-29T19:45:00Z,9,8,0,0,0,0,24,0,7073,1,0,0.0,1,-142,64,206,44,True,0,Huddersfield,Everton,2,2
0,0,14,0,15.3,193,244,5,0,3.7,21.2,2019-02-02T15:00:00Z,90,6,0,0,0,0,25,0,6902,0,5,0.0,0,-151,17,168,44,False,0,Huddersfield,Chelsea,2,4
0,0,0,0,0.0,193,254,0,0,0.0,0.0,2019-02-09T15:00:00Z,0,1,0,0,0,0,26,0,6715,2,1,0.0,0,-211,26,237,44,True,0,Huddersfield,Arsenal,2,4
0,0,15,0,21.1,193,269,2,0,4.9,20.2,2019-02-23T15:00:00Z,90,15,0,0,0,0,27,0,6457,0,2,8.0,1,-249,10,259,44,False,0,Huddersfield,Newcastle,2,3
0,0,0,0,0.0,193,274,0,0,0.0,0.0,2019-02-26T19:45:00Z,0,20,0,0,0,0,28,0,6457,0,1,0.0,0,-32,42,74,44,True,0,Huddersfield,Wolves,2,3
0,0,0,0,0.0,193,282,0,0,0.0,0.0,2019-03-02T15:00:00Z,0,3,0,0,0,0,29,0,6400,0,1,0.0,0,-64,26,90,44,False,0,Huddersfield,Brighton,2,2
0,0,4,0,6.2,193,295,1,0,0.8,1.8,2019-03-09T15:00:00Z,45,2,0,0,0,0,30,0,6326,2,0,0.0,1,-80,19,99,44,True,0,Huddersfield,Bournemouth,2,2
1,0,16,0,2.6,193,309,4,0,2.0,9.2,2019-03-16T15:00:00Z,90,19,0,0,0,0,31,0,6466,3,4,8.0,3,5,85,80,44,False,0,Huddersfield,West Ham,2,3
0,0,8,0,18.1,193,315,1,0,7.0,14.6,2019-03-30T15:00:00Z,79,7,0,0,0,0,32,0,6218,0,2,37.0,2,-25,107,132,44,False,0,Huddersfield,Crystal Palace,2,2
0,0,10,0,31.6,193,324,4,0,6.5,11.8,2019-04-06T14:00:00Z,90,11,0,0,0,0,33,0,6368,4,1,22.0,0,7,79,72,44,True,0,Huddersfield,Leicester,2,3
0,0,2,0,2.8,193,339,4,0,2.2,8.8,2019-04-13T11:30:00Z,90,17,0,0,0,0,34,0,6168,0,4,10.0,-1,-180,63,243,44,False,1,Huddersfield,Spurs,2,4
1,0,14,0,11.0,193,346,0,0,3.0,17.4,2019-04-20T14:00:00Z,9,18,0,0,0,0,35,0,6096,2,1,2.0,4,-67,36,103,44,True,0,Huddersfield,Watford,2,3
0,0,3,0,0.4,193,356,2,0,0.9,0.4,2019-04-26T19:00:00Z,25,12,0,0,0,0,36,0,6128,0,5,8.0,0,13,71,58,44,False,0,Huddersfield,Liverpool,2,5
0,0,13,0,11.8,193,366,1,0,2.1,9.0,2019-05-05T13:00:00Z,90,14,0,0,0,0,37,0,6104,1,1,0.0,2,-28,50,78,44,True,0,Huddersfield,Man Utd,2,4
0,0,0,0,0.0,193,378,0,0,0.0,0.0,2019-05-12T14:00:00Z,0,16,0,0,0,0,38,0,6018,1,1,0.0,0,-70,49,119,44,False,0,Huddersfield,Southampton,2,2
