assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,128,4,0,0,0.0,0.0,2018-08-11T14:00:00Z,0,10,0,0,0,0,1,0,9829,3,0,0.0,0,0,0,0,50,False,0,Chelsea,Huddersfield,4,2
0,0,0,0,0.0,128,14,0,0,0.0,0.0,2018-08-18T16:30:00Z,0,1,0,0,0,0,2,0,9817,2,3,0.0,0,-1421,222,1643,50,True,0,Chelsea,Arsenal,4,4
0,0,0,0,0.0,128,27,0,0,0.0,0.0,2018-08-26T15:00:00Z,0,15,0,0,0,0,3,0,8970,2,1,0.0,0,-1199,205,1404,49,False,0,Chelsea,Newcastle,4,3
0,0,0,0,0.0,128,34,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,2,0,0,0,0,4,0,8398,0,2,0.0,0,-863,134,997,49,True,0,Chelsea,Bournemouth,4,2
0,0,0,0,0.0,128,42,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,5,0,0,0,0,5,0,8068,1,4,0.0,0,-631,154,785,48,True,0,Chelsea,Cardiff,4,2
0,0,0,0,0.0,128,60,0,0,0.0,0.0,2018-09-23T12:30:00Z,0,19,0,0,0,0,6,0,7844,0,0,0.0,0,-384,94,478,48,False,0,Chelsea,West Ham,4,3
0,0,0,0,0.0,128,64,0,0,0.0,0.0,2018-09-29T16:30:00Z,0,12,0,0,0,0,7,0,7602,1,1,0.0,0,-305,59,364,48,True,0,Chelsea,Liverpool,4,4
0,0,0,0,0.0,128,78,0,0,0.0,0.0,2018-10-07T13:15:00Z,0,16,0,0,0,0,8,0,7467,3,0,0.0,0,-205,61,266,48,False,0,Chelsea,Southampton,4,2
0,0,0,0,0.0,128,84,0,0,0.0,0.0,2018-10-20T11:30:00Z,0,14,0,0,0,0,9,0,7350,2,2,0.0,0,-193,86,279,47,True,0,Chelsea,Man Utd,4,4
0,0,0,0,0.0,128,92,0,0,0.0,0.0,2018-10-28T13:30:00Z,0,4,0,0,0,0,10,0,7348,4,0,0.0,0,-85,102,187,47,False,0,Chelsea,Burnley,4,3
0,0,0,0,0.0,128,104,0,0,0.0,0.0,2018-11-04T16:00:00Z,0,7,0,0,0,0,11,0,7269,1,3,0.0,0,-106,78,184,47,True,0,Chelsea,Crystal Palace,4,2
0,0,0,0,0.0,128,113,0,0,0.0,0.0,2018-11-11T14:15:00Z,0,8,0,0,0,0,12,0,7257,0,0,0.0,0,-70,79,149,47,True,0,Chelsea,Everton,4,2
0,0,0,0,0.0,128,127,0,0,0.0,0.0,2018-11-24T17:30:00Z,0,17,0,0,0,0,13,0,7227,1,3,0.0,0,-109,60,169,47,False,0,Chelsea,Spurs,4,4
0,0,0,0,0.0,128,133,0,0,0.0,0.0,2018-12-02T12:00:00Z,0,9,0,0,0,0,14,0,7225,0,2,0.0,0,-32,48,80,47,True,0,Chelsea,Fulham,4,2
0,0,0,0,0.0,128,148,0,0,0.0,0.0,2018-12-05T19:45:00Z,0,20,0,0,0,0,15,0,7191,1,2,0.0,0,-45,37,82,47,False,0,Chelsea,Wolves,4,3
0,0,0,0,0.0,128,155,0,0,0.0,0.0,2018-12-08T17:30:00Z,0,13,0,0,0,0,16,0,7146,0,2,0.0,0,-64,30,94,47,True,0,Chelsea,Man City,4,4
0,0,0,0,0.0,128,161,0,0,0.0,0.0,2018-12-16T13:30:00Z,0,3,0,0,0,0,17,0,7123,2,1,0.0,0,-64,52,116,47,False,0,Chelsea,Brighton,4,2
0,0,0,0,0.0,128,174,0,0,0.0,0.0,2018-12-22T15:00:00Z,0,11,0,0,0,0,18,0,7093,1,0,0.0,0,-68,42,110,47,True,0,Chelsea,Leicester,4,3
0,0,0,0,0.0,128,190,0,0,0.0,0.0,2018-12-26T19:30:00Z,0,18,0,0,0,0,19,0,7086,2,1,0.0,0,-52,76,128,47,False,0,Chelsea,Watford,4,3
0,0,0,0,0.0,128,193,0,0,0.0,0.0,2018-12-30T12:00:00Z,0,7,0,0,0,0,20,0,7100,1,0,0.0,0,-24,83,107,47,False,0,Chelsea,Crystal Palace,4,2
0,0,0,0,0.0,128,204,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,16,0,0,0,0,21,0,7020,0,0,0.0,0,-107,28,135,47,True,0,Chelsea,Southampton,4,2
0,0,0,0,0.0,128,214,0,0,0.0,0.0,2019-01-12T17:30:00Z,0,15,0,0,0,0,22,0,6858,1,2,0.0,0,-191,31,222,47,True,0,Chelsea,Newcastle,4,2
0,0,0,0,0.0,128,221,0,0,0.0,0.0,2019-01-19T17:30:00Z,0,1,0,0,0,0,23,0,6761,0,2,0.0,0,-118,31,149,46,False,0,Chelsea,Arsenal,4,4
0,0,0,0,0.0,128,232,0,0,0.0,0.0,2019-01-30T19:45:00Z,0,2,0,0,0,0,24,0,6807,0,4,0.0,0,-22,59,81,46,False,0,Chelsea,Bournemouth,4,3
0,0,0,0,0.0,128,244,0,0,0.0,0.0,2019-02-02T15:00:00Z,0,10,0,0,0,0,25,0,6840,0,5,0.0,0,9,39,30,46,True,0,Chelsea,Huddersfield,4,2
