assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,171,10,0,0,0.0,0.0,2018-08-11T16:30:00Z,0,20,0,0,0,0,1,0,802,2,2,0.0,0,0,0,0,60,False,0,Everton,Wolves,2,3
0,0,0,0,0.0,171,16,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,16,0,0,0,0,2,0,612,1,2,0.0,0,-201,5,206,60,True,0,Everton,Southampton,3,2
0,0,0,0,0.0,171,22,0,0,0.0,0.0,2018-08-25T14:00:00Z,0,2,0,0,0,0,3,0,528,2,2,0.0,0,-98,0,98,60,False,0,Everton,Bournemouth,2,3
0,0,0,0,0.0,171,36,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,10,0,0,0,0,4,0,482,1,1,0.0,0,-50,4,54,60,True,0,Everton,Huddersfield,3,2
0,0,0,0,0.0,171,43,0,0,0.0,0.0,2018-09-16T15:00:00Z,0,19,0,0,0,0,5,0,463,3,1,0.0,0,-31,0,31,60,True,0,Everton,West Ham,3,3
0,0,0,0,0.0,171,51,0,0,0.0,0.0,2018-09-23T15:00:00Z,0,1,0,0,0,0,6,0,462,0,2,0.0,0,-12,5,17,60,False,0,Everton,Arsenal,2,4
0,0,0,0,0.0,171,65,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,9,0,0,0,0,7,0,460,0,3,0.0,0,-10,2,12,60,True,0,Everton,Fulham,3,2
0,0,0,0,0.0,171,75,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,11,0,0,0,0,8,0,455,2,1,0.0,0,-8,1,9,60,False,0,Everton,Leicester,2,3
0,0,0,0,0.0,171,85,0,0,0.0,0.0,2018-10-21T15:00:00Z,0,7,0,0,0,0,9,0,443,0,2,0.0,0,-16,1,17,60,True,0,Everton,Crystal Palace,3,2
0,0,0,0,0.0,171,97,0,0,0.0,0.0,2018-10-28T16:00:00Z,0,14,0,0,0,0,10,0,439,1,2,0.0,0,-3,2,5,60,False,0,Everton,Man Utd,2,4
0,0,0,0,0.0,171,105,0,0,0.0,0.0,2018-11-03T15:00:00Z,0,3,0,0,0,0,11,0,437,1,3,0.0,0,-2,1,3,60,True,0,Everton,Brighton,3,2
0,0,0,0,0.0,171,113,0,0,0.0,0.0,2018-11-11T14:15:00Z,0,6,0,0,0,0,12,0,433,0,0,0.0,0,-4,1,5,60,False,0,Everton,Chelsea,2,4
0,0,0,0,0.0,171,124,0,0,0.0,0.0,2018-11-24T15:00:00Z,0,5,0,0,0,0,13,0,432,0,1,0.0,0,-2,1,3,60,True,0,Everton,Cardiff,3,2
0,0,0,0,0.0,171,137,0,0,0.0,0.0,2018-12-02T16:15:00Z,0,12,0,0,0,0,14,0,431,0,1,0.0,0,-1,0,1,60,False,0,Everton,Liverpool,2,5
0,0,0,0,0.0,171,149,0,0,0.0,0.0,2018-12-05T19:45:00Z,0,15,0,0,0,0,15,0,432,1,1,0.0,0,1,1,0,60,True,0,Everton,Newcastle,3,2
0,0,0,0,0.0,171,156,0,0,0.0,0.0,2018-12-10T20:00:00Z,0,18,0,0,0,0,16,0,432,2,2,0.0,0,0,2,2,60,True,0,Everton,Watford,3,3
0,0,0,0,0.0,171,166,0,0,0.0,0.0,2018-12-15T12:30:00Z,0,13,0,0,0,0,17,0,433,1,3,0.0,0,0,0,0,60,False,0,Everton,Man City,2,5
