assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,416,5,0,0,0.0,0.0,2018-08-12T12:30:00Z,0,12,0,0,0,0,1,0,16169,0,4,0.0,0,0,0,0,45,False,0,West Ham,Liverpool,3,5
0,0,0,0,0.0,416,20,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,2,0,0,0,0,2,0,12412,2,1,0.0,0,-3846,129,3975,45,True,0,West Ham,Bournemouth,3,2
0,0,0,0,0.0,416,21,0,0,0.0,0.0,2018-08-25T14:00:00Z,0,1,0,0,0,0,3,0,9671,1,3,0.0,0,-2935,25,2960,45,False,0,West Ham,Arsenal,3,4
0,0,0,0,0.0,416,40,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,20,0,0,0,0,4,0,8265,1,0,0.0,0,-1517,10,1527,45,True,0,West Ham,Wolves,3,3
0,0,0,0,0.0,416,43,0,0,0.0,0.0,2018-09-16T15:00:00Z,0,8,0,0,0,0,5,0,7351,3,1,0.0,0,-952,8,960,45,False,0,West Ham,Everton,3,3
0,0,0,0,0.0,416,60,0,0,0.0,0.0,2018-09-23T12:30:00Z,0,6,0,0,0,0,6,0,6863,0,0,0.0,0,-509,4,513,45,True,0,West Ham,Chelsea,3,4
0,0,0,0,0.0,416,69,0,0,0.0,0.0,2018-09-29T11:30:00Z,0,14,0,0,0,0,7,0,6508,1,3,0.0,0,-376,2,378,45,True,0,West Ham,Man Utd,3,4
0,0,0,0,0.0,416,71,0,0,0.0,0.0,2018-10-05T19:00:00Z,0,3,0,0,0,0,8,0,6277,0,1,0.0,0,-240,4,244,45,False,0,West Ham,Brighton,3,2
0,0,0,0,0.0,416,89,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,17,0,0,0,0,9,0,6039,1,0,0.0,0,-240,11,251,45,True,0,West Ham,Spurs,3,4
0,0,0,0,0.0,416,95,0,0,0.0,0.0,2018-10-27T16:30:00Z,0,11,0,0,0,0,10,0,5910,1,1,0.0,0,-135,3,138,45,False,0,West Ham,Leicester,3,3
0,0,0,0,0.0,416,109,0,0,0.0,0.0,2018-11-03T15:00:00Z,0,4,0,0,0,0,11,0,5747,2,4,0.0,0,-159,6,165,45,True,0,West Ham,Burnley,3,2
0,0,0,0,0.0,416,115,0,0,0.0,0.0,2018-11-10T15:00:00Z,0,10,0,0,0,0,12,0,5641,1,1,0.0,0,-109,5,114,45,False,0,West Ham,Huddersfield,3,2
0,0,0,0,0.0,416,129,0,0,0.0,0.0,2018-11-24T15:00:00Z,0,13,0,0,0,0,13,0,5546,4,0,0.0,0,-97,4,101,45,True,0,West Ham,Man City,3,4
0,0,0,0,0.0,416,139,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,15,0,0,0,0,14,0,5494,3,0,0.0,0,-57,0,57,45,False,0,West Ham,Newcastle,3,3
0,0,0,0,0.0,416,147,0,0,0.0,0.0,2018-12-04T19:45:00Z,0,5,0,0,0,0,15,0,5424,1,3,0.0,0,-70,5,75,45,True,0,West Ham,Cardiff,3,2
0,0,0,0,0.0,416,160,0,0,0.0,0.0,2018-12-08T15:00:00Z,0,7,0,0,0,0,16,0,5347,2,3,0.0,0,-81,2,83,45,True,0,West Ham,Crystal Palace,3,2
0,0,0,0,0.0,416,163,0,0,0.0,0.0,2018-12-15T17:30:00Z,0,9,0,0,0,0,17,0,5242,2,0,0.0,0,-107,4,111,45,False,0,West Ham,Fulham,3,2
0,0,0,0,0.0,416,179,0,0,0.0,0.0,2018-12-22T15:00:00Z,0,18,0,0,0,0,18,0,5186,2,0,0.0,0,-59,5,64,45,True,0,West Ham,Watford,3,3
0,0,0,0,0.0,416,188,0,0,0.0,0.0,2018-12-27T19:45:00Z,0,16,0,0,0,0,19,0,5111,2,1,0.0,0,-72,2,74,45,False,0,West Ham,Southampton,3,2
0,0,0,0,0.0,416,192,0,0,0.0,0.0,2018-12-30T14:15:00Z,0,4,0,0,0,0,20,0,5046,0,2,0.0,0,-70,2,72,45,False,0,West Ham,Burnley,3,3
0,0,0,0,0.0,416,209,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,3,0,0,0,0,21,0,4990,2,2,0.0,0,-58,3,61,45,True,0,West Ham,Brighton,3,2
0,0,0,0,0.0,416,220,0,0,0.0,0.0,2019-01-12T12:30:00Z,0,1,0,0,0,0,22,0,4913,0,1,0.0,0,-79,8,87,45,True,0,West Ham,Arsenal,3,4
0,0,0,0,0.0,416,222,0,0,0.0,0.0,2019-01-19T15:00:00Z,0,2,0,0,0,0,23,0,4834,0,2,0.0,0,-78,7,85,45,False,0,West Ham,Bournemouth,3,3
0,0,0,0,0.0,416,236,0,0,0.0,0.0,2019-01-29T19:45:00Z,0,20,0,0,0,0,24,0,4796,0,3,0.0,0,-37,3,40,45,False,0,West Ham,Wolves,3,3
0,0,0,0,0.0,416,250,0,0,0.0,0.0,2019-02-04T20:00:00Z,0,12,0,0,0,0,25,0,4785,1,1,0.0,0,-19,2,21,45,True,0,West Ham,Liverpool,3,4
0,0,0,0,0.0,416,252,0,0,0.0,0.0,2019-02-09T15:00:00Z,0,7,0,0,0,0,26,0,4751,1,1,0.0,0,-30,5,35,45,False,0,West Ham,Crystal Palace,3,2
0,0,0,0,0.0,416,270,0,0,0.0,0.0,2019-02-22T19:45:00Z,0,9,0,0,0,0,27,0,4710,1,3,0.0,0,-38,4,42,45,True,0,West Ham,Fulham,3,2
0,0,0,0,0.0,416,278,0,0,0.0,0.0,2019-02-27T20:00:00Z,0,13,0,0,0,0,28,0,4702,0,1,0.0,0,-14,0,14,45,False,0,West Ham,Man City,3,5
0,0,0,0,0.0,416,289,0,0,0.0,0.0,2019-03-02T17:30:00Z,0,15,0,0,0,0,29,0,4691,0,2,0.0,0,-10,0,10,45,True,0,West Ham,Newcastle,3,2
0,0,0,0,0.0,416,292,0,0,0.0,0.0,2019-03-09T15:00:00Z,0,5,0,0,0,0,30,0,4672,0,2,0.0,0,-19,2,21,45,False,0,West Ham,Cardiff,3,2
0,0,0,0,0.0,416,309,0,0,0.0,0.0,2019-03-16T15:00:00Z,0,10,0,0,0,0,31,0,4655,3,4,0.0,0,-11,1,12,45,True,0,West Ham,Huddersfield,3,2
0,0,0,0,0.0,416,320,0,0,0.0,0.0,2019-03-30T17:30:00Z,0,8,0,0,0,0,32,0,4642,2,0,0.0,0,-20,1,21,45,True,0,West Ham,Everton,3,2
0,0,0,0,0.0,416,322,0,0,0.0,0.0,2019-04-08T19:00:00Z,0,6,0,0,0,0,33,0,4644,0,2,0.0,0,-2,9,11,45,False,0,West Ham,Chelsea,3,4
0,0,0,0,0.0,416,337,0,0,0.0,0.0,2019-04-13T16:30:00Z,0,14,0,0,0,0,34,0,4628,1,2,0.0,0,-16,0,16,45,False,0,West Ham,Man Utd,3,4
0,0,0,0,0.0,416,349,0,0,0.0,0.0,2019-04-20T14:00:00Z,0,11,0,0,0,0,35,0,4612,2,2,0.0,0,-16,2,18,45,True,0,West Ham,Leicester,3,3
0,0,0,0,0.0,416,359,0,0,0.0,0.0,2019-04-27T11:30:00Z,0,17,0,0,0,0,36,0,4604,1,0,0.0,0,-12,0,12,45,False,0,West Ham,Spurs,3,4
