assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,212,4,0,0,0.0,0.0,2018-08-11T14:00:00Z,0,6,0,0,0,0,1,0,5521,3,0,0.0,0,0,0,0,50,True,0,Huddersfield,Chelsea,2,4
0,0,0,0,0.0,212,18,0,0,0.0,0.0,2018-08-19T12:30:00Z,0,13,0,0,0,0,2,0,5473,1,6,0.0,0,-576,219,795,50,False,0,Huddersfield,Man City,2,5
0,0,0,0,0.0,212,24,0,0,0.0,0.0,2018-08-25T14:00:00Z,0,5,0,0,0,0,3,0,5051,0,0,0.0,0,-618,254,872,50,True,0,Huddersfield,Cardiff,2,2
0,0,1,0,2.2,212,36,0,0,2.4,4.4,2018-09-01T14:00:00Z,30,8,0,0,0,0,4,0,4821,1,1,17.0,1,-431,230,661,49,False,0,Huddersfield,Everton,2,3
0,0,3,0,7.2,212,44,1,0,0.9,1.6,2018-09-15T14:00:00Z,67,7,0,0,0,0,5,0,4917,1,0,0.0,2,-92,437,529,49,True,0,Huddersfield,Crystal Palace,2,2
0,0,-3,0,0.2,212,57,1,0,0.0,0.0,2018-09-22T14:00:00Z,56,11,0,0,0,0,6,0,5229,1,3,4.0,1,121,633,512,49,False,0,Huddersfield,Leicester,2,3
0,0,0,0,0.0,212,66,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,17,0,0,0,0,7,0,5159,2,0,0.0,0,-107,312,419,49,True,0,Huddersfield,Spurs,2,4
0,0,0,0,0.0,212,72,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,4,0,0,0,0,8,0,5157,1,1,0.0,0,-70,281,351,49,False,0,Huddersfield,Burnley,2,3
0,0,0,0,0.0,212,86,0,0,0.0,0.0,2018-10-20T16:30:00Z,0,12,0,0,0,0,9,0,4840,1,0,0.0,0,-327,129,456,49,True,0,Huddersfield,Liverpool,2,4
0,0,0,0,0.0,212,100,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,18,0,0,0,0,10,0,4725,0,3,0.0,0,-144,91,235,49,False,0,Huddersfield,Watford,2,3
0,0,0,0,0.0,212,106,0,0,0.0,0.0,2018-11-05T20:00:00Z,0,9,0,0,0,0,11,0,4656,0,1,0.0,0,-126,122,248,48,True,0,Huddersfield,Fulham,2,2
0,0,0,0,0.0,212,115,0,0,0.0,0.0,2018-11-10T15:00:00Z,0,19,0,0,0,0,12,0,4593,1,1,0.0,0,-75,138,213,48,True,0,Huddersfield,West Ham,2,3
0,0,0,0,0.0,212,130,0,0,0.0,0.0,2018-11-25T16:00:00Z,0,20,0,0,0,0,13,0,4625,2,0,0.0,0,-18,155,173,48,False,0,Huddersfield,Wolves,2,3
0,0,0,0,0.0,212,135,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,3,0,0,0,0,14,0,4640,2,1,0.0,0,4,131,127,48,True,0,Huddersfield,Brighton,2,2
0,0,0,0,0.0,212,141,0,0,0.0,0.0,2018-12-04T19:45:00Z,0,2,0,0,0,0,15,0,4618,1,2,0.0,0,-35,105,140,48,False,0,Huddersfield,Bournemouth,2,3
