assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,8,1,2.9,389,9,0,0,2.2,9.8,2018-08-11T14:00:00Z,90,3,0,0,0,0,1,0,14003,0,2,9.0,2,0,0,0,50,True,1,Watford,Brighton,3,2
0,0,10,0,1.3,389,12,1,0,1.1,9.4,2018-08-19T12:30:00Z,90,4,0,0,0,0,2,0,14167,3,1,0.0,2,-1032,717,1749,50,False,0,Watford,Burnley,3,3
1,2,21,0,11.3,389,29,1,0,4.8,32.4,2018-08-26T12:30:00Z,90,7,0,0,0,0,3,0,13446,1,2,4.0,6,-1073,1045,2118,50,True,1,Watford,Crystal Palace,3,2
0,0,12,0,0.8,389,39,1,0,2.2,21.4,2018-09-02T15:00:00Z,90,17,0,0,0,0,4,0,20760,1,2,0.0,1,5567,8403,2836,50,True,1,Watford,Spurs,3,4
0,0,9,0,3.7,389,49,2,0,2.5,21.6,2018-09-15T16:30:00Z,90,14,0,0,0,0,5,0,22435,2,1,0.0,1,1361,4281,2920,50,True,1,Watford,Man Utd,3,4
0,3,24,0,2.2,389,56,1,0,3.0,25.6,2018-09-22T11:30:00Z,90,9,0,0,0,0,6,0,22669,1,1,2.0,5,52,2724,2672,50,False,0,Watford,Fulham,3,2
0,0,12,0,2.5,389,61,2,0,1.9,14.0,2018-09-29T14:00:00Z,90,1,0,0,0,0,7,0,23182,0,2,2.0,2,301,2197,1896,50,False,0,Watford,Arsenal,3,4
0,0,15,0,2.0,389,80,4,0,6.1,15.2,2018-10-06T14:00:00Z,90,2,0,0,0,0,8,0,24029,4,0,44.0,2,604,2058,1454,50,True,0,Watford,Bournemouth,3,2
0,3,37,1,6.8,389,90,0,1,6.6,52.2,2018-10-20T14:00:00Z,90,20,0,0,0,0,9,0,23902,2,0,7.0,11,-228,2117,2345,50,False,0,Watford,Wolves,3,3
1,0,20,1,14.4,389,100,0,0,4.1,26.6,2018-10-27T14:00:00Z,90,10,0,0,0,0,10,0,90230,0,3,0.0,6,60988,65674,4686,50,True,0,Watford,Huddersfield,3,2
0,0,14,0,15.9,389,108,1,0,3.4,11.2,2018-11-03T15:00:00Z,90,15,0,0,0,0,11,0,138910,0,1,7.0,1,49276,58434,9158,51,False,1,Watford,Newcastle,3,3
0,0,0,0,0.0,389,120,0,0,0.0,0.0,2018-11-10T15:00:00Z,0,16,0,0,0,0,12,0,90812,1,1,0.0,0,-44763,4369,49132,51,False,0,Watford,Southampton,3,2
0,0,14,0,1.4,389,128,3,0,1.4,11.6,2018-11-24T15:00:00Z,90,12,0,0,0,0,13,0,82978,3,0,1.0,2,-9015,2945,11960,51,True,0,Watford,Liverpool,3,4
0,0,6,0,4.5,389,136,2,0,2.8,19.6,2018-12-01T15:00:00Z,89,11,0,0,0,1,14,0,81939,0,2,4.0,-1,-1832,3313,5145,51,False,0,Watford,Leicester,3,3
0,0,0,0,0.0,389,146,0,0,0.0,0.0,2018-12-04T20:00:00Z,0,13,0,0,0,0,15,0,57900,2,1,0.0,0,-23281,448,23729,50,True,0,Watford,Man City,3,4
0,0,0,0,0.0,389,156,0,0,0.0,0.0,2018-12-10T20:00:00Z,0,8,0,0,0,0,16,0,44987,2,2,0.0,0,-13096,36,13132,50,False,0,Watford,Everton,3,3
0,0,0,0,0.0,389,169,0,0,0.0,0.0,2018-12-15T15:00:00Z,0,5,0,0,0,0,17,0,36010,2,3,0.0,0,-9493,46,9539,49,True,0,Watford,Cardiff,3,2
0,0,23,1,13.1,389,179,0,0,4.4,30.4,2018-12-22T15:00:00Z,90,19,0,0,0,0,18,0,34763,2,0,0.0,3,-1710,570,2280,49,False,0,Watford,West Ham,3,3
0,0,16,0,5.2,389,190,2,0,2.0,14.6,2018-12-26T19:30:00Z,90,6,0,0,0,0,19,0,33742,2,1,0.0,2,-1074,702,1776,49,True,0,Watford,Chelsea,3,4
0,0,16,0,3.8,389,200,1,0,2.9,25.6,2018-12-29T15:00:00Z,90,15,0,0,0,0,20,0,33346,1,1,0.0,2,-515,1305,1820,49,True,0,Watford,Newcastle,3,2
0,0,11,0,13.9,389,202,3,0,2.5,11.2,2019-01-02T19:45:00Z,90,2,0,0,0,0,21,0,31982,3,3,0.0,1,-1382,547,1929,49,False,1,Watford,Bournemouth,3,3
0,0,8,0,11.3,389,215,1,0,3.8,10.2,2019-01-12T15:00:00Z,90,7,0,0,0,0,22,0,30505,2,1,16.0,2,-1538,897,2435,49,False,0,Watford,Crystal Palace,3,2
0,0,22,1,5.8,389,229,0,0,3.1,25.2,2019-01-19T15:00:00Z,90,4,0,0,0,0,23,0,29290,0,0,0.0,3,-1260,1101,2361,49,True,0,Watford,Burnley,3,2
0,0,11,0,2.8,389,240,2,0,2.6,23.2,2019-01-30T20:00:00Z,90,17,0,0,0,0,24,0,28571,1,2,0.0,1,-795,665,1460,48,False,1,Watford,Spurs,3,4
0,0,12,1,16.1,389,241,0,0,3.5,19.2,2019-02-02T15:00:00Z,90,3,0,0,0,0,25,0,28164,0,0,0.0,3,-390,589,979,48,False,0,Watford,Brighton,3,2
0,0,4,1,2.2,389,259,0,0,5.1,16.2,2019-02-09T15:00:00Z,90,8,0,0,0,0,26,0,28549,0,1,33.0,3,229,1234,1005,48,True,0,Watford,Everton,3,2
1,0,25,1,27.7,389,264,0,0,6.6,38.4,2019-02-22T19:45:00Z,78,5,0,0,0,0,27,0,29748,5,1,0.0,5,910,1802,892,48,False,1,Watford,Cardiff,3,2
0,0,12,0,2.0,389,277,5,0,1.8,16.0,2019-02-27T20:00:00Z,90,12,0,0,0,0,28,0,30104,0,5,0.0,2,523,1224,701,48,False,0,Watford,Liverpool,3,5
0,0,10,0,3.8,389,288,1,0,2.5,21.4,2019-03-03T12:00:00Z,90,11,0,0,0,0,29,0,30259,1,2,0.0,1,121,995,874,48,True,1,Watford,Leicester,3,3
0,0,23,0,1.0,389,298,3,0,2.4,23.0,2019-03-09T17:30:00Z,90,13,0,0,0,0,30,0,29883,1,3,0.0,2,-393,755,1148,48,False,0,Watford,Man City,3,5
0,0,15,0,11.7,389,319,2,0,2.1,5.4,2019-03-30T15:00:00Z,90,14,0,0,0,0,32,0,31793,1,2,4.0,2,1484,2527,1043,48,False,0,Watford,Man Utd,3,4
0,0,19,0,3.3,389,329,1,0,1.6,12.2,2019-04-02T18:45:00Z,77,9,0,0,0,0,32,0,31793,1,4,0.0,2,1484,2527,1043,48,True,0,Watford,Fulham,3,2
0,0,11,0,2.8,389,340,1,0,2.3,13.6,2019-04-15T19:00:00Z,90,1,0,0,0,0,34,0,29500,1,0,7.0,1,-248,942,1190,48,True,1,Watford,Arsenal,3,4
0,0,15,0,2.1,389,346,1,0,2.4,17.4,2019-04-20T14:00:00Z,90,10,0,0,0,0,35,0,32548,2,1,4.0,1,2753,3733,980,48,False,1,Watford,Huddersfield,3,2
0,0,17,0,9.2,389,308,1,0,2.9,18.2,2019-04-23T18:45:00Z,90,16,0,0,0,0,35,0,32548,1,1,2.0,1,2753,3733,980,48,True,1,Watford,Southampton,3,2
0,0,14,0,6.8,389,360,2,0,4.2,31.6,2019-04-27T14:00:00Z,90,20,0,0,0,0,36,0,31507,2,1,4.0,1,-752,394,1146,48,True,1,Watford,Wolves,3,3
0,0,0,0,0.0,389,364,0,0,0.0,0.0,2019-05-05T13:00:00Z,0,6,0,0,0,0,37,0,30337,0,3,0.0,0,-1164,221,1385,48,False,0,Watford,Chelsea,3,4
0,0,10,0,4.9,389,380,4,0,2.0,13.0,2019-05-12T14:00:00Z,90,19,0,0,0,0,38,0,29057,4,1,2.0,1,-1213,367,1580,48,True,1,Watford,West Ham,3,3
