assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,186,3,0,0,0.0,0.0,2018-08-11T14:00:00Z,0,7,0,0,0,0,1,0,8882,2,0,0.0,0,0,0,0,45,True,0,Fulham,Crystal Palace,2,2
0,0,0,0,0.0,186,19,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,17,0,0,0,0,2,0,7878,1,3,0.0,0,-1377,145,1522,45,False,0,Fulham,Spurs,2,4
0,0,0,0,0.0,186,23,0,0,0.0,0.0,2018-08-26T15:00:00Z,0,4,0,0,0,0,3,0,7758,2,4,0.0,0,-844,1542,2386,44,True,0,Fulham,Burnley,2,2
0,0,0,0,0.0,186,31,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,3,0,0,0,0,4,0,7066,2,2,0.0,0,-877,479,1356,44,False,0,Fulham,Brighton,2,2
0,0,0,0,1.5,186,45,0,0,0.6,0.0,2018-09-15T14:00:00Z,21,13,0,0,0,0,5,0,6465,0,3,7.0,1,-661,171,832,44,False,0,Fulham,Man City,2,5
0,0,5,0,1.1,186,56,0,0,0.6,5.0,2018-09-22T11:30:00Z,45,18,0,0,0,0,6,0,6424,1,1,0.0,1,-141,281,422,44,True,0,Fulham,Watford,2,3
0,0,3,0,0.3,186,65,1,0,0.1,1.0,2018-09-29T14:00:00Z,6,8,0,0,0,0,7,0,6407,0,3,0.0,1,-102,234,336,44,False,0,Fulham,Everton,2,3
0,0,0,0,0.0,186,74,0,0,0.0,0.0,2018-10-07T11:00:00Z,0,1,0,0,0,0,8,0,6383,5,1,0.0,0,-51,211,262,44,True,0,Fulham,Arsenal,2,4
0,0,2,0,2.5,186,83,2,0,0.7,2.4,2018-10-20T14:00:00Z,32,5,0,0,0,0,9,0,6184,2,4,2.0,1,-204,153,357,44,False,0,Fulham,Cardiff,2,2
0,0,0,0,0.0,186,94,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,2,0,0,0,0,10,0,6061,3,0,0.0,0,-145,108,253,44,True,0,Fulham,Bournemouth,2,2
0,0,0,0,0.0,186,106,0,0,0.0,0.0,2018-11-05T20:00:00Z,0,10,0,0,0,0,11,0,5824,0,1,0.0,0,-239,74,313,44,False,0,Fulham,Huddersfield,2,2
