assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,497,7,0,0,0.0,0.0,2018-08-11T11:30:00Z,0,15,0,0,0,0,1,0,997,2,1,0.0,0,0,0,0,50,False,0,Spurs,Newcastle,4,3
0,0,0,0,0.0,497,19,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,9,0,0,0,0,2,0,1038,1,3,0.0,0,-224,83,307,50,True,0,Spurs,Fulham,4,2
0,0,0,0,0.0,497,26,0,0,0.0,0.0,2018-08-27T19:00:00Z,0,14,0,0,0,0,3,0,969,3,0,0.0,0,-172,37,209,50,False,0,Spurs,Man Utd,4,4
0,0,0,0,0.0,497,39,0,0,0.0,0.0,2018-09-02T15:00:00Z,0,18,0,0,0,0,4,0,931,1,2,0.0,0,-86,61,147,50,False,0,Spurs,Watford,4,3
0,0,0,0,0.0,497,48,0,0,0.0,0.0,2018-09-15T11:30:00Z,0,12,0,0,0,0,5,0,925,2,1,0.0,0,-68,67,135,49,True,0,Spurs,Liverpool,4,4
0,0,0,0,0.0,497,52,0,0,0.0,0.0,2018-09-22T16:30:00Z,0,3,0,0,0,0,6,0,913,2,1,0.0,0,-46,23,69,49,False,0,Spurs,Brighton,4,2
0,0,0,0,0.0,497,66,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,10,0,0,0,0,7,0,910,2,0,0.0,0,-29,21,50,49,False,0,Spurs,Huddersfield,4,2
0,0,0,0,0.0,497,79,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,5,0,0,0,0,8,0,922,0,1,0.0,0,-23,25,48,49,True,0,Spurs,Cardiff,4,2
0,0,0,0,0.0,497,89,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,19,0,0,0,0,9,0,949,1,0,0.0,0,-7,39,46,49,False,0,Spurs,West Ham,4,3
0,0,0,0,0.0,497,99,0,0,0.0,0.0,2018-10-29T20:00:00Z,0,13,0,0,0,0,10,0,947,1,0,0.0,0,-15,24,39,49,True,0,Spurs,Man City,4,4
0,0,0,0,0.0,497,110,0,0,0.0,0.0,2018-11-03T19:45:00Z,0,20,0,0,0,0,11,0,949,3,2,0.0,0,-19,20,39,49,False,0,Spurs,Wolves,4,3
0,0,0,0,0.0,497,114,0,0,0.0,0.0,2018-11-10T17:30:00Z,0,7,0,0,0,0,12,0,956,1,0,0.0,0,-15,15,30,48,False,0,Spurs,Crystal Palace,4,2
0,0,0,0,0.0,497,127,0,0,0.0,0.0,2018-11-24T17:30:00Z,0,6,0,0,0,0,13,0,952,1,3,0.0,0,-19,21,40,48,True,0,Spurs,Chelsea,4,4
0,0,0,0,0.0,497,131,0,0,0.0,0.0,2018-12-02T14:05:00Z,0,1,0,0,0,0,14,0,963,2,4,0.0,0,0,13,13,48,False,0,Spurs,Arsenal,4,4
0,0,0,0,0.0,497,150,0,0,0.0,0.0,2018-12-05T20:00:00Z,0,16,0,0,0,0,15,0,962,1,3,0.0,0,-7,10,17,48,True,0,Spurs,Southampton,4,2
0,0,0,0,0.0,497,157,0,0,0.0,0.0,2018-12-08T19:45:00Z,0,11,0,0,0,0,16,0,968,2,0,0.0,0,-5,14,19,48,False,0,Spurs,Leicester,4,3
0,0,0,0,0.0,497,168,0,0,0.0,0.0,2018-12-15T15:00:00Z,0,4,0,0,0,0,17,0,984,0,1,0.0,0,-2,19,21,48,True,0,Spurs,Burnley,4,2
0,0,0,0,0.0,497,175,0,0,0.0,0.0,2018-12-23T16:00:00Z,0,8,0,0,0,0,18,0,998,6,2,0.0,0,1,23,22,48,False,0,Spurs,Everton,4,3
0,0,0,0,0.0,497,189,0,0,0.0,0.0,2018-12-26T15:00:00Z,0,2,0,0,0,0,19,0,1023,0,5,0.0,0,3,30,27,48,True,0,Spurs,Bournemouth,4,2
0,0,0,0,0.0,497,199,0,0,0.0,0.0,2018-12-29T15:00:00Z,0,20,0,0,0,0,20,0,1041,3,1,0.0,0,-3,24,27,48,True,0,Spurs,Wolves,4,3
0,0,0,0,0.0,497,203,0,0,0.0,0.0,2019-01-01T17:30:00Z,0,5,0,0,0,0,21,0,1044,3,0,0.0,0,-10,23,33,48,False,0,Spurs,Cardiff,4,2
0,0,0,0,0.0,497,219,0,0,0.0,0.0,2019-01-13T16:30:00Z,0,14,0,0,0,0,22,0,1057,1,0,0.0,0,-14,40,54,48,True,0,Spurs,Man Utd,4,4
1,0,17,0,14.3,497,223,0,0,3.3,19.0,2019-01-20T16:00:00Z,4,9,0,0,0,0,23,0,1085,2,1,0.0,4,4,34,30,48,False,0,Spurs,Fulham,4,2
0,0,0,0,0.0,497,240,0,0,0.0,0.0,2019-01-30T20:00:00Z,0,18,0,0,0,0,24,0,1246,1,2,0.0,0,128,213,85,48,True,0,Spurs,Watford,4,3
0,0,0,0,0.0,497,249,0,0,0.0,0.0,2019-02-02T12:30:00Z,0,15,0,0,0,0,25,0,1158,0,1,0.0,0,-80,12,92,48,True,0,Spurs,Newcastle,4,2
0,0,0,0,0.0,497,258,0,0,0.0,0.0,2019-02-10T13:30:00Z,0,11,0,0,0,0,26,0,1084,1,3,0.0,0,-79,5,84,48,True,0,Spurs,Leicester,4,3
0,0,0,0,0.0,497,263,0,0,0.0,0.0,2019-02-23T12:30:00Z,0,4,0,0,0,0,27,0,1044,1,2,0.0,0,-42,5,47,48,False,0,Spurs,Burnley,4,3
0,0,0,0,0.0,497,276,0,0,0.0,0.0,2019-02-27T20:00:00Z,0,6,0,0,0,0,28,0,1040,0,2,0.0,0,-6,0,6,48,False,0,Spurs,Chelsea,4,4
0,0,0,0,0.0,497,287,0,0,0.0,0.0,2019-03-02T12:30:00Z,0,1,0,0,0,0,29,0,1033,1,1,0.0,0,-8,0,8,48,True,0,Spurs,Arsenal,4,4
0,0,0,0,0.0,497,300,0,0,0.0,0.0,2019-03-09T15:00:00Z,0,16,0,0,0,0,30,0,1020,1,2,0.0,0,-12,1,13,48,False,0,Spurs,Southampton,4,2
0,0,0,0,0.0,497,318,0,0,0.0,0.0,2019-03-31T15:30:00Z,0,12,0,0,0,0,32,0,1011,1,2,0.0,0,-4,0,4,48,False,0,Spurs,Liverpool,4,5
