assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,350,8,0,0,0.0,0.0,2018-08-12T12:30:00Z,0,4,0,0,0,0,1,0,196,0,0,0.0,0,0,0,0,55,True,0,Southampton,Burnley,2,2
0,0,0,0,0.0,350,16,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,8,0,0,0,0,2,0,187,1,2,0.0,0,-38,16,54,55,False,0,Southampton,Everton,2,3
0,0,0,0,0.0,350,28,0,0,0.0,0.0,2018-08-25T14:00:00Z,0,11,0,0,0,0,3,0,170,2,1,0.0,0,-26,14,40,55,True,0,Southampton,Leicester,2,3
0,0,0,0,0.0,350,35,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,7,0,0,0,0,4,0,178,2,0,0.0,0,-15,6,21,55,False,0,Southampton,Crystal Palace,2,2
0,0,0,0,0.0,350,47,0,0,0.0,0.0,2018-09-17T19:00:00Z,0,3,0,0,0,0,5,0,212,2,2,0.0,0,-12,9,21,55,True,0,Southampton,Brighton,2,2
0,0,0,0,0.0,350,58,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,12,0,0,0,0,6,0,259,0,3,0.0,0,-1,12,13,55,False,0,Southampton,Liverpool,2,5
0,0,0,0,0.0,350,70,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,20,0,0,0,0,7,0,269,0,2,0.0,0,-13,4,17,55,False,0,Southampton,Wolves,2,3
0,0,0,0,0.0,350,78,0,0,0.0,0.0,2018-10-07T13:15:00Z,0,6,0,0,0,0,8,0,281,3,0,0.0,0,-5,6,11,55,True,0,Southampton,Chelsea,2,4
0,0,0,0,0.0,350,82,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,2,0,0,0,0,9,0,292,0,0,0.0,0,-8,6,14,55,False,0,Southampton,Bournemouth,2,3
0,0,0,0,0.0,350,98,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,15,0,0,0,0,10,0,294,0,0,0.0,0,0,5,5,55,True,0,Southampton,Newcastle,2,2
0,0,0,0,0.0,350,107,0,0,0.0,0.0,2018-11-04T15:00:00Z,0,13,0,0,0,0,11,0,288,1,6,0.0,0,-6,2,8,55,False,0,Southampton,Man City,2,5
0,0,0,0,0.0,350,120,0,0,0.0,0.0,2018-11-10T15:00:00Z,0,18,0,0,0,0,12,0,286,1,1,0.0,0,-2,5,7,55,True,0,Southampton,Watford,2,3
0,0,0,0,0.0,350,125,0,0,0.0,0.0,2018-11-24T15:00:00Z,0,9,0,0,0,0,13,0,289,2,3,0.0,0,0,2,2,55,False,0,Southampton,Fulham,2,2
0,0,0,0,0.0,350,140,0,0,0.0,0.0,2018-12-01T17:30:00Z,0,14,0,0,0,0,14,0,288,2,2,0.0,0,-2,5,7,55,True,0,Southampton,Man Utd,2,4
0,0,0,0,0.0,350,150,0,0,0.0,0.0,2018-12-05T20:00:00Z,0,17,0,0,0,0,15,0,289,1,3,0.0,0,-1,3,4,55,False,0,Southampton,Spurs,2,4
0,0,0,0,0.0,350,154,0,0,0.0,0.0,2018-12-08T15:00:00Z,0,5,0,0,0,0,16,0,288,0,1,0.0,0,-1,0,1,55,False,0,Southampton,Cardiff,2,2
0,0,0,0,0.0,350,167,0,0,0.0,0.0,2018-12-16T13:30:00Z,0,1,0,0,0,0,17,0,286,2,3,0.0,0,-3,1,4,55,True,0,Southampton,Arsenal,2,4
0,0,0,0,0.0,350,176,0,0,0.0,0.0,2018-12-22T15:00:00Z,0,10,0,0,0,0,18,0,281,3,1,0.0,0,-6,1,7,55,False,0,Southampton,Huddersfield,2,2
0,0,0,0,0.0,350,188,0,0,0.0,0.0,2018-12-27T19:45:00Z,0,19,0,0,0,0,19,0,284,2,1,0.0,0,0,6,6,55,True,0,Southampton,West Ham,2,3
0,0,0,0,0.0,350,198,0,0,0.0,0.0,2018-12-30T14:15:00Z,0,13,0,0,0,0,20,0,283,3,1,0.0,0,-2,2,4,55,True,0,Southampton,Man City,2,4
0,0,0,0,0.0,350,204,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,6,0,0,0,0,21,0,287,0,0,0.0,0,3,7,4,55,False,0,Southampton,Chelsea,2,4
0,0,0,0,0.0,350,217,0,0,0.0,0.0,2019-01-12T15:00:00Z,0,11,0,0,0,0,22,0,289,2,1,0.0,0,-2,5,7,55,False,0,Southampton,Leicester,2,3
0,0,0,0,0.0,350,228,0,0,0.0,0.0,2019-01-19T15:00:00Z,0,8,0,0,0,0,23,0,289,1,2,0.0,0,-2,10,12,55,True,0,Southampton,Everton,2,2
0,0,0,0,0.0,350,239,0,0,0.0,0.0,2019-01-30T19:45:00Z,0,7,0,0,0,0,24,0,291,1,1,0.0,0,2,3,1,55,True,0,Southampton,Crystal Palace,2,2
0,0,0,0,0.0,350,242,0,0,0.0,0.0,2019-02-02T15:00:00Z,0,4,0,0,0,0,25,0,289,1,1,0.0,0,-3,0,3,55,False,0,Southampton,Burnley,2,3
0,0,0,0,0.0,350,257,0,0,0.0,0.0,2019-02-09T15:00:00Z,0,5,0,0,0,0,26,0,289,2,1,0.0,0,0,0,0,55,True,0,Southampton,Cardiff,2,2
0,0,0,0,0.0,350,261,0,0,0.0,0.0,2019-02-24T14:05:00Z,0,1,0,0,0,0,27,0,287,0,2,0.0,0,-2,3,5,55,False,0,Southampton,Arsenal,2,4
0,0,0,0,0.0,350,280,0,0,0.0,0.0,2019-02-27T19:45:00Z,0,9,0,0,0,0,28,0,287,0,2,0.0,0,0,0,0,55,True,0,Southampton,Fulham,2,2
0,0,0,0,0.0,350,286,0,0,0.0,0.0,2019-03-02T15:00:00Z,0,14,0,0,0,0,29,0,289,2,3,0.0,0,2,3,1,55,False,0,Southampton,Man Utd,2,4
0,0,0,0,0.0,350,300,0,0,0.0,0.0,2019-03-09T15:00:00Z,0,17,0,0,0,0,30,0,292,1,2,0.0,0,2,4,2,55,True,0,Southampton,Spurs,2,4
0,0,0,0,0.0,350,312,0,0,0.0,0.0,2019-03-30T15:00:00Z,0,3,0,0,0,0,32,0,292,1,0,0.0,0,0,3,3,55,False,0,Southampton,Brighton,2,2
0,0,0,0,0.0,350,327,0,0,0.0,0.0,2019-04-05T19:00:00Z,0,12,0,0,0,0,33,0,292,3,1,0.0,0,2,3,1,55,True,0,Southampton,Liverpool,2,4
0,0,0,0,0.0,350,338,0,0,0.0,0.0,2019-04-13T14:00:00Z,0,20,0,0,0,0,34,0,294,1,3,0.0,0,1,2,1,55,True,0,Southampton,Wolves,2,3
0,0,0,0,0.0,350,348,0,0,0.0,0.0,2019-04-20T16:30:00Z,0,15,0,0,0,0,35,0,295,1,3,0.0,0,0,2,2,55,False,0,Southampton,Newcastle,2,3
0,0,0,0,0.0,350,308,0,0,0.0,0.0,2019-04-23T18:45:00Z,0,18,0,0,0,0,35,0,295,1,1,0.0,0,0,2,2,55,False,0,Southampton,Watford,2,3
0,0,0,0,0.0,350,358,0,0,0.0,0.0,2019-04-27T14:00:00Z,0,2,0,0,0,0,36,0,294,3,3,0.0,0,-2,1,3,55,True,0,Southampton,Bournemouth,2,2
0,0,0,0,0.0,350,369,0,0,0.0,0.0,2019-05-04T14:00:00Z,0,19,0,0,0,0,37,0,295,0,3,0.0,0,1,1,0,55,False,0,Southampton,West Ham,2,3
0,0,0,0,0.0,350,378,0,0,0.0,0.0,2019-05-12T14:00:00Z,0,10,0,0,0,0,38,0,300,1,1,0.0,0,4,7,3,55,True,0,Southampton,Huddersfield,2,2
