assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,442,3,0,0,0.0,0.0,2018-08-11T14:00:00Z,0,9,0,0,0,0,1,0,3994,2,0,0.0,0,0,0,0,40,False,0,Crystal Palace,Fulham,2,2
0,0,0,0,0.0,442,15,0,0,0.0,0.0,2018-08-20T19:00:00Z,0,12,0,0,0,0,2,0,3515,2,0,0.0,0,-591,63,654,40,True,0,Crystal Palace,Liverpool,2,4
0,0,0,0,0.0,442,29,0,0,0.0,0.0,2018-08-26T12:30:00Z,0,18,0,0,0,0,3,0,3274,1,2,0.0,0,-333,92,425,40,False,0,Crystal Palace,Watford,2,3
0,0,0,0,0.0,442,35,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,16,0,0,0,0,4,0,3120,2,0,0.0,0,-214,65,279,40,True,0,Crystal Palace,Southampton,2,2
0,0,0,0,0.0,442,44,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,10,0,0,0,0,5,0,2959,1,0,0.0,0,-178,53,231,40,False,0,Crystal Palace,Huddersfield,2,2
0,0,0,0,0.0,442,55,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,15,0,0,0,0,6,0,2872,0,0,0.0,0,-105,32,137,40,True,0,Crystal Palace,Newcastle,2,2
0,0,0,0,0.0,442,62,0,0,0.0,0.0,2018-10-01T19:00:00Z,0,2,0,0,0,0,7,0,2787,1,2,0.0,0,-88,17,105,40,False,0,Crystal Palace,Bournemouth,2,3
0,0,0,0,0.0,442,73,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,20,0,0,0,0,8,0,2737,1,0,0.0,0,-53,17,70,40,True,0,Crystal Palace,Wolves,2,3
0,0,0,0,0.0,442,85,0,0,0.0,0.0,2018-10-21T15:00:00Z,0,8,0,0,0,0,9,0,2665,0,2,0.0,0,-79,26,105,40,False,0,Crystal Palace,Everton,2,3
0,0,0,0,0.0,442,93,0,0,0.0,0.0,2018-10-28T13:30:00Z,0,1,0,0,0,0,10,0,2625,2,2,0.0,0,-44,10,54,40,True,0,Crystal Palace,Arsenal,2,4
0,0,0,0,0.0,442,104,0,0,0.0,0.0,2018-11-04T16:00:00Z,0,6,0,0,0,0,11,0,2588,1,3,0.0,0,-37,17,54,40,False,0,Crystal Palace,Chelsea,2,4
