assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,357,7,0,0,0.0,0.0,2018-08-11T11:30:00Z,0,15,0,0,0,0,1,0,1217102,2,1,0.0,0,0,0,0,60,False,0,Spurs,Newcastle,4,3
0,3,32,0,41.8,357,19,1,1,12.0,47.2,2018-08-18T14:00:00Z,90,9,0,0,0,0,2,0,1124803,1,3,31.0,11,-152190,11416,163606,60,True,0,Spurs,Fulham,4,2
1,2,35,1,39.4,357,26,0,0,6.7,27.8,2018-08-27T19:00:00Z,75,14,0,0,0,0,3,0,1281163,3,0,0.0,11,86177,138150,51973,60,False,0,Spurs,Man Utd,4,4
0,0,28,0,42.3,357,39,2,0,7.4,27.6,2018-09-02T15:00:00Z,90,18,0,0,0,0,4,0,1322075,1,2,4.0,1,22053,98246,76193,60,False,0,Spurs,Watford,4,3
0,0,5,0,2.7,357,48,2,0,0.4,1.0,2018-09-15T11:30:00Z,90,12,0,0,0,0,5,0,1388497,2,1,0.0,1,31542,97238,65696,60,True,0,Spurs,Liverpool,4,4
1,0,23,0,32.2,357,52,1,0,5.7,17.2,2018-09-22T16:30:00Z,90,3,0,0,0,0,6,0,1477645,2,1,8.0,4,71344,119875,48531,60,False,1,Spurs,Brighton,4,2
1,2,40,1,43.6,357,66,0,0,8.3,39.8,2018-09-29T14:00:00Z,90,10,0,0,0,0,7,0,1678462,2,0,0.0,11,177198,203831,26633,61,False,0,Spurs,Huddersfield,4,2
0,1,33,1,44.5,357,79,0,0,7.9,26.2,2018-10-06T14:00:00Z,90,5,0,0,0,0,8,0,1927791,0,1,8.0,7,230750,240079,9329,62,True,0,Spurs,Cardiff,4,2
0,0,26,1,31.2,357,89,0,0,5.6,25.2,2018-10-20T14:00:00Z,90,19,0,0,0,0,9,0,1975110,1,0,0.0,6,47176,102423,55247,63,False,0,Spurs,West Ham,4,3
0,0,7,0,26.0,357,99,1,0,3.9,11.2,2018-10-29T20:00:00Z,90,13,0,0,0,0,10,0,1932727,1,0,2.0,2,-35754,46054,81808,63,True,0,Spurs,Man City,4,4
1,0,25,0,19.9,357,110,2,0,6.4,43.6,2018-11-03T19:45:00Z,90,20,0,0,0,0,11,0,1952132,3,2,0.0,4,-2367,48348,50715,63,False,0,Spurs,Wolves,4,3
0,0,4,0,1.0,357,114,0,0,0.4,2.8,2018-11-10T17:30:00Z,23,7,0,0,0,0,12,0,1978224,1,0,0.0,1,17921,48931,31010,63,False,0,Spurs,Crystal Palace,4,2
0,0,0,0,0.0,357,127,0,0,0.0,0.0,2018-11-24T17:30:00Z,0,6,0,0,0,0,13,0,1446289,1,3,0.0,0,-509379,7095,516474,62,True,0,Spurs,Chelsea,4,4
0,0,0,0,0.0,357,131,0,0,0.0,0.0,2018-12-02T14:05:00Z,0,1,0,0,0,0,14,0,1276030,2,4,0.0,0,-190329,1586,191915,61,False,0,Spurs,Arsenal,4,4
0,0,25,1,30.2,357,150,0,0,6.0,27.6,2018-12-05T20:00:00Z,86,16,0,0,0,0,15,0,1167583,1,3,2.0,6,-111423,8989,120412,61,True,0,Spurs,Southampton,4,2
0,0,0,0,0.0,357,157,0,0,0.0,0.0,2018-12-08T19:45:00Z,0,11,0,0,0,0,16,0,1114976,2,0,0.0,0,-52163,25624,77787,61,False,0,Spurs,Leicester,4,3
0,0,24,1,28.3,357,168,0,0,5.2,17.6,2018-12-15T15:00:00Z,90,4,0,0,0,0,17,0,1017566,0,1,6.0,6,-98813,3293,102106,61,True,0,Spurs,Burnley,4,2
1,0,23,0,16.1,357,175,2,0,5.8,24.0,2018-12-23T16:00:00Z,90,8,0,0,0,0,18,0,1084664,6,2,18.0,3,54875,64621,9746,61,False,1,Spurs,Everton,4,3
0,0,0,0,0.0,357,189,0,0,0.0,0.0,2018-12-26T15:00:00Z,0,2,0,0,0,0,19,0,1142432,0,5,0.0,0,51243,65636,14393,61,True,0,Spurs,Bournemouth,4,2
0,0,11,0,4.3,357,199,3,0,2.8,14.8,2018-12-29T15:00:00Z,90,20,0,0,0,0,20,0,1137252,3,1,9.0,1,-6611,39645,46256,61,True,0,Spurs,Wolves,4,3
0,0,23,1,16.4,357,203,0,0,2.8,11.4,2019-01-01T17:30:00Z,90,5,0,0,0,0,21,0,1131437,3,0,0.0,6,-8661,36655,45316,61,False,0,Spurs,Cardiff,4,2
0,0,21,0,61.8,357,219,1,0,9.6,32.0,2019-01-13T16:30:00Z,90,14,0,0,0,0,22,0,1099530,1,0,2.0,2,-33539,24629,58168,61,True,0,Spurs,Man Utd,4,4
0,0,15,0,29.4,357,223,1,0,5.0,20.6,2019-01-20T16:00:00Z,90,9,0,0,0,0,23,0,1129749,2,1,0.0,2,23021,63991,40970,61,False,0,Spurs,Fulham,4,2
0,0,3,0,14.9,357,240,0,0,1.9,3.6,2019-01-30T20:00:00Z,21,18,0,0,0,0,24,0,1123249,1,2,0.0,1,-7745,29055,36800,61,True,0,Spurs,Watford,4,3
0,2,30,1,64.3,357,249,0,0,8.9,20.8,2019-02-02T12:30:00Z,90,15,0,0,0,0,25,0,1118604,0,1,4.0,8,-5344,25065,30409,61,True,0,Spurs,Newcastle,4,2
0,0,15,0,30.8,357,258,1,0,6.9,20.4,2019-02-10T13:30:00Z,90,11,0,0,0,0,26,0,1141419,1,3,18.0,2,17342,35048,17706,61,True,0,Spurs,Leicester,4,3
0,0,0,0,0.0,357,263,0,0,0.0,0.0,2019-02-23T12:30:00Z,0,4,0,0,0,0,27,0,1252450,1,2,0.0,0,52518,73880,21362,62,False,0,Spurs,Burnley,4,3
0,0,15,0,28.3,357,276,2,0,4.6,17.8,2019-02-27T20:00:00Z,90,6,1,0,0,0,28,0,1134765,0,2,0.0,-1,-60666,4780,65446,62,False,0,Spurs,Chelsea,4,4
