assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,2,0,0.0,589,243,0,0,0.0,0.0,2019-02-02T17:30:00Z,4,2,0,0,0,0,25,0,280,0,2,0.0,1,241,261,20,45,True,0,Cardiff,Bournemouth,2,2
0,0,4,0,3.3,589,257,1,0,1.7,6.8,2019-02-09T15:00:00Z,28,16,0,0,0,0,26,0,321,2,1,7.0,1,26,58,32,45,False,0,Cardiff,Southampton,2,2
0,0,10,0,1.6,589,264,5,0,2.0,9.6,2019-02-22T19:45:00Z,90,18,0,0,0,0,27,0,388,5,1,9.0,0,17,68,51,45,True,0,Cardiff,Watford,2,3
0,0,7,0,10.8,589,272,3,0,2.3,10.6,2019-02-26T19:45:00Z,90,8,0,0,0,0,28,0,404,3,0,2.0,0,4,28,24,45,True,1,Cardiff,Everton,2,2
0,0,0,0,0.0,589,290,0,0,0.0,0.0,2019-03-02T15:00:00Z,0,20,0,0,0,0,29,0,398,0,2,0.0,0,-20,26,46,45,False,0,Cardiff,Wolves,2,3
0,0,6,0,0.0,589,292,0,0,1.1,11.0,2019-03-09T15:00:00Z,28,19,0,0,0,0,30,0,373,0,2,0.0,1,-37,19,56,45,True,0,Cardiff,West Ham,2,3
0,0,0,0,0.0,589,314,0,0,0.0,0.0,2019-03-31T13:05:00Z,0,6,0,0,0,0,32,0,404,2,1,0.0,0,9,51,42,44,True,0,Cardiff,Chelsea,2,4
0,0,5,0,0.0,589,325,0,0,0.3,3.2,2019-04-03T18:45:00Z,9,13,0,0,0,0,32,0,404,0,2,0.0,1,9,51,42,44,False,0,Cardiff,Man City,2,5
0,0,0,0,0.0,589,332,0,0,0.0,0.0,2019-04-13T14:00:00Z,0,4,0,0,0,0,34,0,400,0,2,0.0,0,16,41,25,44,False,0,Cardiff,Burnley,2,3
0,0,9,0,0.2,589,302,0,0,0.8,8.2,2019-04-16T18:45:00Z,35,3,0,0,0,0,34,0,400,2,0,0.0,1,16,41,25,44,False,0,Cardiff,Brighton,2,2
0,0,3,0,0.0,589,343,1,0,0.0,0.0,2019-04-21T15:00:00Z,11,12,0,0,0,0,35,0,392,2,0,0.0,1,-15,21,36,44,True,0,Cardiff,Liverpool,2,4
0,0,6,0,2.2,589,354,1,0,1.3,9.2,2019-04-27T14:00:00Z,90,9,0,0,0,0,36,0,425,0,1,2.0,2,27,43,16,43,False,0,Cardiff,Fulham,2,2
1,0,12,0,0.8,589,363,3,0,0.8,6.8,2019-05-04T16:30:00Z,79,7,0,0,0,0,37,0,455,3,2,0.0,4,27,40,13,43,True,0,Cardiff,Crystal Palace,2,2
0,0,17,1,11.3,589,377,0,0,1.7,3.6,2019-05-12T14:00:00Z,90,14,0,0,0,0,38,0,510,2,0,2.0,5,44,61,17,43,False,1,Cardiff,Man Utd,2,4
