assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,3,0,0.1,523,7,0,0,0.2,2.2,2018-08-11T11:30:00Z,2,15,0,0,0,0,1,0,0,2,1,0.0,1,0,0,0,45,False,0,Spurs,Newcastle,4,3
0,0,0,0,0.0,523,19,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,9,0,0,0,0,2,0,4817,1,3,0.0,0,812,1612,800,45,True,0,Spurs,Fulham,4,2
0,0,0,0,0.0,523,26,0,0,0.0,0.0,2018-08-27T19:00:00Z,0,14,0,0,0,0,3,0,5362,3,0,0.0,0,-290,905,1195,45,False,0,Spurs,Man Utd,4,4
0,0,0,0,0.0,523,39,0,0,0.0,0.0,2018-09-02T15:00:00Z,0,18,0,0,0,0,4,0,5149,1,2,0.0,0,-448,287,735,45,False,0,Spurs,Watford,4,3
0,0,0,0,0.0,523,48,0,0,0.0,0.0,2018-09-15T11:30:00Z,0,12,0,0,0,0,5,0,4997,2,1,0.0,0,-326,205,531,45,True,0,Spurs,Liverpool,4,4
0,0,0,0,0.0,523,52,0,0,0.0,0.0,2018-09-22T16:30:00Z,0,3,0,0,0,0,6,0,6092,2,1,0.0,0,449,1417,968,44,False,0,Spurs,Brighton,4,2
0,0,0,0,0.0,523,66,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,10,0,0,0,0,7,0,6254,2,0,0.0,0,-63,651,714,44,False,0,Spurs,Huddersfield,4,2
0,0,0,0,0.0,523,79,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,5,0,0,0,0,8,0,6323,0,1,0.0,0,-71,474,545,44,True,0,Spurs,Cardiff,4,2
0,0,0,0,0.0,523,89,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,19,0,0,0,0,9,0,6382,1,0,0.0,0,-114,466,580,44,False,0,Spurs,West Ham,4,3
0,0,0,0,0.0,523,99,0,0,0.0,0.0,2018-10-29T20:00:00Z,0,13,0,0,0,0,10,0,6311,1,0,0.0,0,-115,171,286,44,True,0,Spurs,Man City,4,4
0,0,0,0,0.0,523,110,0,0,0.0,0.0,2018-11-03T19:45:00Z,0,20,0,0,0,0,11,0,6217,3,2,0.0,0,-157,137,294,44,False,0,Spurs,Wolves,4,3
0,0,0,0,0.0,523,114,0,0,0.0,0.0,2018-11-10T17:30:00Z,0,7,0,0,0,0,12,0,6149,1,0,0.0,0,-123,82,205,44,False,0,Spurs,Crystal Palace,4,2
0,0,0,0,0.0,523,127,0,0,0.0,0.0,2018-11-24T17:30:00Z,0,6,0,0,0,0,13,0,6094,1,3,0.0,0,-88,76,164,44,True,0,Spurs,Chelsea,4,4
0,0,0,0,0.0,523,131,0,0,0.0,0.0,2018-12-02T14:05:00Z,0,1,0,0,0,0,14,0,6065,2,4,0.0,0,-53,42,95,44,False,0,Spurs,Arsenal,4,4
0,0,0,0,0.0,523,150,0,0,0.0,0.0,2018-12-05T20:00:00Z,0,16,0,0,0,0,15,0,6641,1,3,0.0,0,372,854,482,43,True,0,Spurs,Southampton,4,2
0,0,0,0,0.0,523,157,0,0,0.0,0.0,2018-12-08T19:45:00Z,0,11,0,0,0,0,16,0,6888,2,0,0.0,0,137,717,580,43,False,0,Spurs,Leicester,4,3
0,0,0,0,0.0,523,168,0,0,0.0,0.0,2018-12-15T15:00:00Z,0,4,0,0,0,0,17,0,7640,0,1,0.0,0,342,1357,1015,43,True,0,Spurs,Burnley,4,2
0,0,0,0,0.0,523,175,0,0,0.0,0.0,2018-12-23T16:00:00Z,0,8,0,0,0,0,18,0,7971,6,2,0.0,0,120,962,842,43,False,0,Spurs,Everton,4,3
0,0,0,0,0.0,523,189,0,0,0.0,0.0,2018-12-26T15:00:00Z,0,2,0,0,0,0,19,0,7974,0,5,0.0,0,-139,488,627,43,True,0,Spurs,Bournemouth,4,2
0,0,0,0,0.0,523,199,0,0,0.0,0.0,2018-12-29T15:00:00Z,0,20,0,0,0,0,20,0,8022,3,1,0.0,0,-128,538,666,43,True,0,Spurs,Wolves,4,3
0,0,0,0,0.0,523,203,0,0,0.0,0.0,2019-01-01T17:30:00Z,0,5,0,0,0,0,21,0,8223,3,0,0.0,0,7,732,725,43,False,0,Spurs,Cardiff,4,2
0,0,0,0,0.0,523,219,0,0,0.0,0.0,2019-01-13T16:30:00Z,0,14,0,0,0,0,22,0,8243,1,0,0.0,0,-139,519,658,43,True,0,Spurs,Man Utd,4,4
0,0,0,0,0.0,523,223,0,0,0.0,0.0,2019-01-20T16:00:00Z,0,9,0,0,0,0,23,0,8141,2,1,0.0,0,-164,262,426,43,False,0,Spurs,Fulham,4,2
0,0,0,0,0.0,523,240,0,0,0.0,0.0,2019-01-30T20:00:00Z,0,18,0,0,0,0,24,0,8156,1,2,0.0,0,-71,232,303,43,True,0,Spurs,Watford,4,3
0,0,0,0,0.0,523,249,0,0,0.0,0.0,2019-02-02T12:30:00Z,0,15,0,0,0,0,25,0,8291,0,1,0.0,0,37,192,155,43,True,0,Spurs,Newcastle,4,2
0,0,0,0,0.0,523,258,0,0,0.0,0.0,2019-02-10T13:30:00Z,0,11,0,0,0,0,26,0,8482,1,3,0.0,0,169,429,260,43,True,0,Spurs,Leicester,4,3
0,0,0,0,0.0,523,263,0,0,0.0,0.0,2019-02-23T12:30:00Z,0,4,0,0,0,0,27,0,8582,1,2,0.0,0,-14,324,338,43,False,0,Spurs,Burnley,4,3
