assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,-1,0,2.6,417,5,3,0,2.6,0.0,2018-08-12T12:30:00Z,66,12,0,0,0,0,1,0,973948,0,4,28.0,2,0,0,0,70,False,0,West Ham,Liverpool,3,5
0,2,35,0,38.5,417,20,2,1,13.2,45.0,2018-08-18T14:00:00Z,90,2,0,0,0,0,2,0,1024707,2,1,48.0,8,-3581,68153,71734,70,True,0,West Ham,Bournemouth,3,2
0,0,19,0,13.9,417,21,1,1,9.0,33.4,2018-08-25T14:00:00Z,58,1,0,0,0,0,3,0,1043371,1,3,43.0,5,-7520,112101,119621,70,False,0,West Ham,Arsenal,3,4
0,0,0,0,1.3,417,40,1,0,4.2,6.8,2018-09-01T14:00:00Z,90,20,0,0,0,0,4,0,980692,1,0,34.0,2,-71323,67863,139186,70,True,0,West Ham,Wolves,3,3
1,3,43,0,12.3,417,43,1,1,8.7,49.4,2018-09-16T15:00:00Z,63,8,0,0,0,0,5,0,927762,3,1,25.0,12,-64657,65059,129716,70,False,0,West Ham,Everton,3,3
0,0,0,0,0.0,417,60,0,0,0.0,0.0,2018-09-23T12:30:00Z,0,6,0,0,0,0,6,0,829511,0,0,0.0,0,-98552,31498,130050,70,True,0,West Ham,Chelsea,3,4
0,1,30,0,16.3,417,69,1,1,8.6,32.6,2018-09-29T11:30:00Z,82,14,0,0,0,0,7,0,753356,1,3,37.0,7,-79622,18211,97833,69,True,0,West Ham,Man Utd,3,4
0,0,3,0,36.3,417,71,1,0,11.0,7.6,2018-10-05T19:00:00Z,90,3,0,0,0,0,8,0,1030596,0,1,66.0,1,245484,260445,14961,70,False,1,West Ham,Brighton,3,2
0,0,7,0,15.7,417,89,1,0,10.5,18.6,2018-10-20T14:00:00Z,90,17,0,0,0,0,9,0,958191,1,0,71.0,1,-56331,61401,117732,70,True,1,West Ham,Spurs,3,4
0,0,0,0,0.0,417,95,0,0,0.0,0.0,2018-10-27T16:30:00Z,0,11,0,0,0,0,10,0,1007897,1,1,0.0,0,41294,102095,60801,70,False,0,West Ham,Leicester,3,3
1,3,47,0,33.4,417,109,2,1,15.7,50.6,2018-11-03T15:00:00Z,90,4,0,0,0,0,11,0,1030984,2,4,73.0,12,17446,132132,114686,70,True,0,West Ham,Burnley,3,2
0,0,11,0,29.1,417,115,1,0,6.5,12.8,2018-11-10T15:00:00Z,90,10,0,0,0,0,12,0,1306843,1,1,23.0,2,261286,277710,16424,71,False,0,West Ham,Huddersfield,3,2
0,0,5,0,24.9,417,129,4,0,6.6,5.0,2018-11-24T15:00:00Z,90,13,0,0,0,0,13,0,1245910,4,0,36.0,2,-46585,60865,107450,71,True,0,West Ham,Man City,3,4
1,0,25,1,41.0,417,139,0,0,8.4,29.0,2018-12-01T15:00:00Z,70,15,0,0,0,0,14,0,1256024,3,0,14.0,5,310,74637,74327,71,False,0,West Ham,Newcastle,3,3
0,0,-6,0,11.0,417,147,0,0,3.3,0.0,2018-12-04T19:45:00Z,39,5,0,0,0,0,15,0,1382838,1,3,25.0,0,116720,144273,27553,72,True,1,West Ham,Cardiff,3,2
0,0,0,0,0.0,417,160,0,0,0.0,0.0,2018-12-08T15:00:00Z,0,7,0,0,0,0,16,0,643833,2,3,0.0,0,-713753,2400,716153,70,True,0,West Ham,Crystal Palace,3,2
0,0,0,0,0.0,417,163,0,0,0.0,0.0,2018-12-15T17:30:00Z,0,9,0,0,0,0,17,0,473603,2,0,0.0,0,-189769,1035,190804,69,False,0,West Ham,Fulham,3,2
0,0,0,0,0.0,417,179,0,0,0.0,0.0,2018-12-22T15:00:00Z,0,18,0,0,0,0,18,0,425634,2,0,0.0,0,-53035,357,53392,69,True,0,West Ham,Watford,3,3
0,0,0,0,0.0,417,188,0,0,0.0,0.0,2018-12-27T19:45:00Z,0,16,0,0,0,0,19,0,395569,2,1,0.0,0,-30589,434,31023,69,False,0,West Ham,Southampton,3,2
0,0,8,0,12.6,417,192,2,0,1.6,3.0,2018-12-30T14:15:00Z,72,4,0,0,0,0,20,0,377928,0,2,0.0,2,-18158,968,19126,69,False,0,West Ham,Burnley,3,3
0,3,52,0,13.9,417,209,2,2,16.0,73.2,2019-01-02T19:45:00Z,90,3,0,0,0,0,21,0,429433,2,2,73.0,13,48690,60084,11394,69,True,0,West Ham,Brighton,3,2
0,0,4,1,12.5,417,220,0,0,3.1,0.8,2019-01-12T12:30:00Z,70,1,0,0,0,0,22,0,513325,0,1,18.0,2,81293,116649,35356,69,True,0,West Ham,Arsenal,3,4
0,0,0,0,0.0,417,222,0,0,0.0,0.0,2019-01-19T15:00:00Z,0,2,0,0,0,0,23,0,466265,0,2,0.0,0,-46109,34462,80571,69,False,0,West Ham,Bournemouth,3,3
0,0,4,0,7.4,417,236,1,0,1.3,5.4,2019-01-29T19:45:00Z,76,20,0,0,0,0,24,0,449977,0,3,0.0,2,-18761,21482,40243,69,False,0,West Ham,Wolves,3,3
0,0,0,0,0.0,417,250,0,0,0.0,0.0,2019-02-04T20:00:00Z,0,12,0,0,0,0,25,0,406418,1,1,0.0,0,-41208,1927,43135,69,True,0,West Ham,Liverpool,3,4
0,0,2,0,1.6,417,252,1,0,0.2,0.2,2019-02-09T15:00:00Z,22,7,0,0,0,0,26,0,399829,1,1,0.0,1,-10104,11333,21437,68,False,0,West Ham,Crystal Palace,3,2
1,0,6,0,22.7,417,270,0,0,8.6,23.2,2019-02-22T19:45:00Z,26,9,0,0,0,0,27,0,459863,1,3,40.0,4,39481,49537,10056,68,True,0,West Ham,Fulham,3,2
0,0,0,0,0.0,417,278,0,0,0.0,0.0,2019-02-27T20:00:00Z,0,13,0,0,0,0,28,0,431265,0,1,0.0,0,-9795,9732,19527,68,False,0,West Ham,Man City,3,5
0,0,4,0,12.3,417,289,0,0,2.1,2.4,2019-03-02T17:30:00Z,20,15,0,0,0,0,29,0,430838,0,2,6.0,1,-958,18085,19043,68,True,0,West Ham,Newcastle,3,2
0,0,1,0,12.7,417,292,1,0,3.3,3.6,2019-03-09T15:00:00Z,45,5,0,0,0,0,30,0,438060,0,2,17.0,1,6462,21035,14573,68,False,0,West Ham,Cardiff,3,2
0,0,0,0,13.8,417,309,3,0,4.2,4.8,2019-03-16T15:00:00Z,67,10,0,0,0,0,31,0,583973,3,4,23.0,2,51046,61299,10253,69,True,0,West Ham,Huddersfield,3,2
