assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,384,9,0,0,0.0,0.0,2018-08-11T14:00:00Z,0,3,0,0,0,0,1,0,5698,0,2,0.0,0,0,0,0,45,True,0,Watford,Brighton,3,2
0,0,0,0,0.0,384,12,0,0,0.0,0.0,2018-08-19T12:30:00Z,0,4,0,0,0,0,2,0,5223,3,1,0.0,0,-946,59,1005,45,False,0,Watford,Burnley,3,3
0,0,0,0,0.0,384,29,0,0,0.0,0.0,2018-08-26T12:30:00Z,0,7,0,0,0,0,3,0,4658,1,2,0.0,0,-714,76,790,44,True,0,Watford,Crystal Palace,3,2
0,0,0,0,0.0,384,39,0,0,0.0,0.0,2018-09-02T15:00:00Z,0,17,0,0,0,0,4,0,4234,1,2,0.0,0,-482,43,525,44,True,0,Watford,Spurs,3,4
0,0,0,0,0.0,384,49,0,0,0.0,0.0,2018-09-15T16:30:00Z,0,14,0,0,0,0,5,0,3933,2,1,0.0,0,-364,36,400,43,True,0,Watford,Man Utd,3,4
0,0,0,0,0.0,384,56,0,0,0.0,0.0,2018-09-22T11:30:00Z,0,9,0,0,0,0,6,0,3811,1,1,0.0,0,-179,49,228,43,False,0,Watford,Fulham,3,2
0,0,0,0,0.0,384,61,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,1,0,0,0,0,7,0,3672,0,2,0.0,0,-160,29,189,43,False,0,Watford,Arsenal,3,4
0,0,0,0,0.0,384,80,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,2,0,0,0,0,8,0,3597,4,0,0.0,0,-96,35,131,43,True,0,Watford,Bournemouth,3,2
0,0,0,0,0.0,384,90,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,20,0,0,0,0,9,0,3514,2,0,0.0,0,-96,33,129,43,False,0,Watford,Wolves,3,3
0,0,0,0,0.0,384,100,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,10,0,0,0,0,10,0,3457,0,3,0.0,0,-66,29,95,43,True,0,Watford,Huddersfield,3,2
0,0,0,0,0.0,384,108,0,0,0.0,0.0,2018-11-03T15:00:00Z,0,15,0,0,0,0,11,0,3451,0,1,0.0,0,-36,75,111,42,False,0,Watford,Newcastle,3,3
0,0,0,0,0.0,384,120,0,0,0.0,0.0,2018-11-10T15:00:00Z,0,16,0,0,0,0,12,0,3415,1,1,0.0,0,-52,49,101,42,False,0,Watford,Southampton,3,2
0,0,0,0,0.0,384,128,0,0,0.0,0.0,2018-11-24T15:00:00Z,0,12,0,0,0,0,13,0,3407,3,0,0.0,0,-32,52,84,42,True,0,Watford,Liverpool,3,4
0,0,0,0,0.0,384,136,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,11,0,0,0,0,14,0,3396,0,2,0.0,0,-21,30,51,42,False,0,Watford,Leicester,3,3
0,0,0,0,0.0,384,146,0,0,0.0,0.0,2018-12-04T20:00:00Z,0,13,0,0,0,0,15,0,3369,2,1,0.0,0,-32,20,52,42,True,0,Watford,Man City,3,4
0,0,0,0,0.0,384,156,0,0,0.0,0.0,2018-12-10T20:00:00Z,0,8,0,0,0,0,16,0,3349,2,2,0.0,0,-32,21,53,42,False,0,Watford,Everton,3,3
0,0,0,0,0.0,384,169,0,0,0.0,0.0,2018-12-15T15:00:00Z,0,5,0,0,0,0,17,0,3336,2,3,0.0,0,-29,33,62,42,True,0,Watford,Cardiff,3,2
0,0,0,0,0.0,384,179,0,0,0.0,0.0,2018-12-22T15:00:00Z,0,19,0,0,0,0,18,0,3316,2,0,0.0,0,-26,30,56,42,False,0,Watford,West Ham,3,3
0,0,0,0,0.0,384,190,0,0,0.0,0.0,2018-12-26T19:30:00Z,0,6,0,0,0,0,19,0,3373,2,1,0.0,0,-2,56,58,42,True,0,Watford,Chelsea,3,4
0,0,0,0,0.0,384,200,0,0,0.0,0.0,2018-12-29T15:00:00Z,0,15,0,0,0,0,20,0,3368,1,1,0.0,0,-9,58,67,42,True,0,Watford,Newcastle,3,2
0,0,0,0,0.0,384,202,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,2,0,0,0,0,21,0,3371,3,3,0.0,0,-13,63,76,42,False,0,Watford,Bournemouth,3,3
0,0,0,0,0.0,384,215,0,0,0.0,0.0,2019-01-12T15:00:00Z,0,7,0,0,0,0,22,0,3314,2,1,0.0,0,-70,60,130,42,False,0,Watford,Crystal Palace,3,2
0,0,0,0,0.0,384,229,0,0,0.0,0.0,2019-01-19T15:00:00Z,0,4,0,0,0,0,23,0,3150,0,0,0.0,0,-160,19,179,42,True,0,Watford,Burnley,3,2
0,0,0,0,0.0,384,240,0,0,0.0,0.0,2019-01-30T20:00:00Z,0,17,0,0,0,0,24,0,3061,1,2,0.0,0,-99,3,102,42,False,0,Watford,Spurs,3,4
0,0,0,0,0.0,384,241,0,0,0.0,0.0,2019-02-02T15:00:00Z,0,3,0,0,0,0,25,0,3023,0,0,0.0,0,-34,1,35,42,False,0,Watford,Brighton,3,2
0,0,0,0,0.0,384,259,0,0,0.0,0.0,2019-02-09T15:00:00Z,0,8,0,0,0,0,26,0,2969,0,1,0.0,0,-58,1,59,42,True,0,Watford,Everton,3,2
0,0,0,0,0.0,384,264,0,0,0.0,0.0,2019-02-22T19:45:00Z,0,5,0,0,0,0,27,0,2916,5,1,0.0,0,-51,2,53,42,False,0,Watford,Cardiff,3,2
0,0,0,0,0.0,384,277,0,0,0.0,0.0,2019-02-27T20:00:00Z,0,12,0,0,0,0,28,0,2902,0,5,0.0,0,-16,1,17,42,False,0,Watford,Liverpool,3,5
0,0,0,0,0.0,384,288,0,0,0.0,0.0,2019-03-03T12:00:00Z,0,11,0,0,0,0,29,0,2891,1,2,0.0,0,-14,1,15,42,True,0,Watford,Leicester,3,3
0,0,0,0,0.0,384,298,0,0,0.0,0.0,2019-03-09T17:30:00Z,0,13,0,0,0,0,30,0,2864,1,3,0.0,0,-25,0,25,42,False,0,Watford,Man City,3,5
0,0,0,0,0.0,384,319,0,0,0.0,0.0,2019-03-30T15:00:00Z,0,14,0,0,0,0,32,0,2823,1,2,0.0,0,-22,2,24,42,False,0,Watford,Man Utd,3,4
0,0,0,0,0.0,384,329,0,0,0.0,0.0,2019-04-02T18:45:00Z,0,9,0,0,0,0,32,0,2823,1,4,0.0,0,-22,2,24,42,True,0,Watford,Fulham,3,2
0,0,0,0,0.0,384,340,0,0,0.0,0.0,2019-04-15T19:00:00Z,0,1,0,0,0,0,34,0,2811,1,0,0.0,0,-8,2,10,42,True,0,Watford,Arsenal,3,4
0,0,0,0,0.0,384,346,0,0,0.0,0.0,2019-04-20T14:00:00Z,0,10,0,0,0,0,35,0,2797,2,1,0.0,0,-15,2,17,42,False,0,Watford,Huddersfield,3,2
0,0,0,0,0.0,384,308,0,0,0.0,0.0,2019-04-23T18:45:00Z,0,16,0,0,0,0,35,0,2797,1,1,0.0,0,-15,2,17,42,True,0,Watford,Southampton,3,2
0,0,0,0,0.0,384,360,0,0,0.0,0.0,2019-04-27T14:00:00Z,0,20,0,0,0,0,36,0,2780,2,1,0.0,0,-12,1,13,42,True,0,Watford,Wolves,3,3
0,0,0,0,0.0,384,364,0,0,0.0,0.0,2019-05-05T13:00:00Z,0,6,0,0,0,0,37,0,2773,0,3,0.0,0,-10,1,11,42,False,0,Watford,Chelsea,3,4
0,0,0,0,0.0,384,380,0,0,0.0,0.0,2019-05-12T14:00:00Z,0,19,0,0,0,0,38,0,2772,4,1,0.0,0,-2,7,9,42,True,0,Watford,West Ham,3,3
