assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,16,0,2.3,289,6,1,0,3.0,20.6,2018-08-10T19:00:00Z,90,11,0,0,0,0,1,0,20155,1,2,7.0,2,0,0,0,50,True,0,Man Utd,Leicester,4,3
0,0,0,0,0.0,289,11,0,0,0.0,0.0,2018-08-19T15:00:00Z,0,3,0,0,0,0,2,0,26541,2,3,0.0,0,-92,3411,3503,50,False,0,Man Utd,Brighton,4,2
0,0,0,0,0.0,289,26,0,0,0.0,0.0,2018-08-27T19:00:00Z,0,17,0,0,0,0,3,0,18611,3,0,0.0,0,-8301,614,8915,49,True,0,Man Utd,Spurs,4,4
0,0,0,0,0.0,289,32,0,0,0.0,0.0,2018-09-02T15:00:00Z,0,4,0,0,0,0,4,0,15480,2,0,0.0,0,-3817,402,4219,48,False,0,Man Utd,Burnley,4,3
0,0,0,0,0.0,289,49,0,0,0.0,0.0,2018-09-15T16:30:00Z,0,18,0,0,0,0,5,0,13758,2,1,0.0,0,-2116,251,2367,48,False,0,Man Utd,Watford,4,3
0,0,0,0,0.0,289,59,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,20,0,0,0,0,6,0,12914,1,1,0.0,0,-1071,169,1240,47,True,0,Man Utd,Wolves,4,3
0,0,0,0,0.0,289,69,0,0,0.0,0.0,2018-09-29T11:30:00Z,0,19,0,0,0,0,7,0,12276,1,3,0.0,0,-792,130,922,47,False,0,Man Utd,West Ham,4,3
0,0,0,0,0.0,289,77,0,0,0.0,0.0,2018-10-06T16:30:00Z,0,15,0,0,0,0,8,0,11854,2,3,0.0,0,-524,79,603,47,True,0,Man Utd,Newcastle,4,2
0,0,0,0,0.0,289,84,0,0,0.0,0.0,2018-10-20T11:30:00Z,0,6,0,0,0,0,9,0,11615,2,2,0.0,0,-432,171,603,46,False,0,Man Utd,Chelsea,4,4
0,0,0,0,0.0,289,97,0,0,0.0,0.0,2018-10-28T16:00:00Z,0,8,0,0,0,0,10,0,11386,1,2,0.0,0,-310,70,380,46,True,0,Man Utd,Everton,4,2
0,0,0,0,0.0,289,102,0,0,0.0,0.0,2018-11-03T12:30:00Z,0,2,0,0,0,0,11,0,11241,2,1,0.0,0,-243,65,308,46,False,0,Man Utd,Bournemouth,4,3
0,0,0,0,0.0,289,118,0,0,0.0,0.0,2018-11-11T16:30:00Z,0,13,0,0,0,0,12,0,11128,1,3,0.0,0,-199,59,258,46,False,0,Man Utd,Man City,4,5
0,2,32,1,18.0,289,126,0,0,3.9,20.6,2018-11-24T15:00:00Z,90,7,0,0,0,0,13,0,11197,0,0,0.0,8,-61,175,236,46,True,0,Man Utd,Crystal Palace,4,2
0,0,0,0,0.0,289,140,0,0,0.0,0.0,2018-12-01T17:30:00Z,0,16,0,0,0,0,14,0,11618,2,2,0.0,0,305,664,359,46,False,0,Man Utd,Southampton,4,2
