assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,2,0,0.5,362,7,0,0,0.5,3.0,2018-08-11T11:30:00Z,22,15,0,0,0,0,1,0,72326,2,1,1.0,1,0,0,0,50,False,0,Spurs,Newcastle,4,3
0,0,4,0,1.7,362,19,0,0,0.5,3.2,2018-08-18T14:00:00Z,27,9,0,0,0,0,2,0,79455,1,3,0.0,1,-7219,3683,10902,50,True,0,Spurs,Fulham,4,2
0,0,19,1,1.5,362,26,0,0,1.7,15.6,2018-08-27T19:00:00Z,90,14,0,0,0,0,3,0,73887,3,0,0.0,3,-8930,2579,11509,49,False,0,Spurs,Man Utd,4,4
0,0,5,0,3.0,362,39,2,0,0.4,1.2,2018-09-02T15:00:00Z,85,18,0,0,0,0,4,0,76050,1,2,0.0,1,-1686,5000,6686,49,False,1,Spurs,Watford,4,3
0,0,7,0,1.8,362,48,2,0,0.2,0.0,2018-09-15T11:30:00Z,59,12,0,0,0,0,5,0,75633,2,1,0.0,1,-3207,3568,6775,49,True,0,Spurs,Liverpool,4,4
0,0,17,0,5.2,362,52,1,0,2.2,16.4,2018-09-22T16:30:00Z,90,3,0,0,0,0,6,0,75073,2,1,0.0,2,-2140,2827,4967,49,False,0,Spurs,Brighton,4,2
0,0,5,0,1.8,362,66,0,0,0.7,4.8,2018-09-29T14:00:00Z,45,10,0,0,0,0,7,0,74835,2,0,0.0,1,-1339,2488,3827,49,False,0,Spurs,Huddersfield,4,2
0,0,0,0,0.0,362,79,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,5,0,0,0,0,8,0,66639,0,1,0.0,0,-8150,354,8504,49,True,0,Spurs,Cardiff,4,2
0,0,1,0,0.3,362,89,0,0,0.1,0.2,2018-10-20T14:00:00Z,14,19,0,0,0,0,9,0,61166,1,0,0.0,1,-5946,625,6571,49,False,0,Spurs,West Ham,4,3
0,0,11,0,1.6,362,99,1,0,0.8,6.6,2018-10-29T20:00:00Z,74,13,0,0,0,0,10,0,60978,1,0,0.0,2,-767,801,1568,49,True,0,Spurs,Man City,4,4
