assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,405,5,0,0,0.0,0.0,2018-08-12T12:30:00Z,0,12,0,0,0,0,1,0,177648,0,4,0.0,0,0,0,0,45,False,0,West Ham,Liverpool,3,5
0,0,11,0,18.2,405,20,2,0,4.6,21.8,2018-08-18T14:00:00Z,90,2,0,0,0,0,2,0,163954,2,1,6.0,0,-21487,1956,23443,45,True,1,West Ham,Bournemouth,3,2
0,0,0,0,0.0,405,21,0,0,0.0,0.0,2018-08-25T14:00:00Z,0,1,0,0,0,0,3,0,142110,1,3,0.0,0,-23727,1382,25109,44,False,0,West Ham,Arsenal,3,4
0,0,0,0,0.0,405,40,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,20,0,0,0,0,4,0,125414,1,0,0.0,0,-18331,810,19141,44,True,0,West Ham,Wolves,3,3
0,0,9,0,0.9,405,43,1,0,1.9,14.4,2018-09-16T15:00:00Z,90,8,0,0,0,0,5,0,111501,3,1,4.0,1,-14909,593,15502,43,False,1,West Ham,Everton,3,3
0,1,27,1,0.9,405,60,0,0,2.3,22.0,2018-09-23T12:30:00Z,90,6,0,0,0,0,6,0,106705,0,0,0.0,7,-5784,1061,6845,43,True,0,West Ham,Chelsea,3,4
1,3,32,0,17.6,405,69,1,0,6.6,42.0,2018-09-29T11:30:00Z,90,14,0,0,0,0,7,0,108361,1,3,6.0,8,443,3980,3537,43,True,0,West Ham,Man Utd,3,4
0,0,7,0,6.2,405,71,1,0,2.4,15.4,2018-10-05T19:00:00Z,90,3,0,0,0,0,8,0,134406,0,1,2.0,2,21744,24930,3186,43,False,0,West Ham,Brighton,3,2
0,0,15,0,2.8,405,89,1,0,1.9,14.6,2018-10-20T14:00:00Z,90,17,0,0,0,0,9,0,142833,1,0,2.0,2,8050,15976,7926,43,True,0,West Ham,Spurs,3,4
0,0,10,0,1.6,405,95,1,0,2.7,23.8,2018-10-27T16:30:00Z,90,11,0,0,0,0,10,0,148345,1,1,2.0,1,4855,10338,5483,43,False,1,West Ham,Leicester,3,3
0,0,13,0,3.6,405,109,2,0,3.1,15.6,2018-11-03T15:00:00Z,90,4,0,0,0,0,11,0,154551,2,4,12.0,1,5199,10606,5407,43,True,0,West Ham,Burnley,3,2
0,0,7,0,2.1,405,115,1,0,0.9,4.6,2018-11-10T15:00:00Z,72,10,0,0,0,0,12,0,155141,1,1,2.0,2,81,5561,5480,43,False,0,West Ham,Huddersfield,3,2
0,0,16,0,2.3,405,129,4,0,3.5,28.4,2018-11-24T15:00:00Z,90,13,0,0,0,0,13,0,150052,4,0,4.0,0,-4809,2967,7776,43,True,0,West Ham,Man City,3,4
0,0,23,1,1.5,405,139,0,0,2.3,21.2,2018-12-01T15:00:00Z,90,15,0,0,0,0,14,0,149395,3,0,0.0,5,-1325,2707,4032,43,False,1,West Ham,Newcastle,3,3
0,0,0,0,0.0,405,147,0,0,0.0,0.0,2018-12-04T19:45:00Z,0,5,0,0,0,0,15,0,159147,1,3,0.0,0,8440,10813,2373,43,True,0,West Ham,Cardiff,3,2
0,0,15,0,7.9,405,160,2,0,3.2,19.4,2018-12-08T15:00:00Z,90,7,0,0,0,0,16,0,156594,2,3,5.0,1,-2030,3461,5491,43,True,0,West Ham,Crystal Palace,3,2
0,0,25,1,17.2,405,163,0,0,4.6,23.0,2018-12-15T17:30:00Z,90,9,0,0,0,0,17,0,157081,2,0,6.0,6,-111,5007,5118,43,False,0,West Ham,Fulham,3,2
0,0,15,0,6.5,405,179,2,0,3.8,29.0,2018-12-22T15:00:00Z,90,18,0,0,0,0,18,0,169539,2,0,2.0,1,11061,13936,2875,43,True,0,West Ham,Watford,3,3
0,0,0,0,0.0,405,188,0,0,0.0,0.0,2018-12-27T19:45:00Z,0,16,0,0,0,0,19,0,169530,2,1,0.0,0,147,5933,5786,43,False,0,West Ham,Southampton,3,2
0,0,0,0,0.0,405,192,0,0,0.0,0.0,2018-12-30T14:15:00Z,0,4,0,0,0,0,20,0,153360,0,2,0.0,0,-15628,1409,17037,43,False,0,West Ham,Burnley,3,3
0,0,14,0,1.8,405,209,2,0,1.9,16.8,2019-01-02T19:45:00Z,90,3,0,0,0,0,21,0,141050,2,2,0.0,1,-12899,335,13234,43,True,0,West Ham,Brighton,3,2
0,0,23,1,11.9,405,220,0,0,2.8,14.0,2019-01-12T12:30:00Z,90,1,0,0,0,0,22,0,132691,0,1,2.0,6,-9000,1503,10503,43,True,0,West Ham,Arsenal,3,4
0,0,12,0,4.5,405,222,2,0,1.7,8.0,2019-01-19T15:00:00Z,90,2,0,0,0,0,23,0,132125,0,2,4.0,1,-1260,4420,5680,43,False,0,West Ham,Bournemouth,3,3
0,0,13,0,2.2,405,236,3,0,1.9,15.8,2019-01-29T19:45:00Z,90,20,0,0,0,0,24,0,130586,0,3,1.0,1,-1901,1799,3700,43,False,0,West Ham,Wolves,3,3
0,0,0,0,0.0,405,250,0,0,0.0,0.0,2019-02-04T20:00:00Z,0,12,0,0,0,0,25,0,127919,1,1,0.0,0,-2161,1116,3277,43,True,0,West Ham,Liverpool,3,4
0,0,4,0,0.0,405,252,0,0,0.7,7.2,2019-02-09T15:00:00Z,6,7,0,0,0,0,26,0,126438,1,1,0.0,1,-2392,1029,3421,43,False,0,West Ham,Crystal Palace,3,2
0,0,3,0,2.6,405,270,1,0,2.4,3.2,2019-02-22T19:45:00Z,45,9,0,0,0,0,27,0,125046,1,3,18.0,1,-1401,1801,3202,43,True,0,West Ham,Fulham,3,2
0,0,7,0,14.1,405,278,0,0,2.3,8.8,2019-02-27T20:00:00Z,27,13,0,0,0,0,28,0,123382,0,1,0.0,1,-2110,598,2708,43,False,0,West Ham,Man City,3,5
0,0,0,0,0.0,405,289,0,0,0.0,0.0,2019-03-02T17:30:00Z,0,15,0,0,0,0,29,0,121982,0,2,0.0,0,-1585,899,2484,43,True,0,West Ham,Newcastle,3,2
0,0,0,0,0.0,405,292,0,0,0.0,0.0,2019-03-09T15:00:00Z,0,5,0,0,0,0,30,0,119318,0,2,0.0,0,-2762,687,3449,43,False,0,West Ham,Cardiff,3,2
0,0,10,0,14.4,405,309,3,0,3.5,12.4,2019-03-16T15:00:00Z,90,10,0,0,0,0,31,0,119083,3,4,8.0,1,-437,1847,2284,43,True,0,West Ham,Huddersfield,3,2
0,0,8,0,1.8,405,320,2,0,1.6,13.4,2019-03-30T17:30:00Z,90,8,0,0,0,0,32,0,114514,2,0,1.0,1,-3135,654,3789,43,True,0,West Ham,Everton,3,2
0,0,0,0,0.0,405,322,0,0,0.0,0.0,2019-04-08T19:00:00Z,0,6,0,0,0,0,33,0,114666,0,2,0.0,0,-1362,329,1691,43,False,0,West Ham,Chelsea,3,4
0,0,11,0,2.3,405,337,1,0,3.9,19.4,2019-04-13T16:30:00Z,75,14,0,0,0,0,34,0,111887,1,2,17.0,2,-3060,209,3269,43,False,0,West Ham,Man Utd,3,4
0,0,13,0,2.0,405,349,2,0,2.8,26.4,2019-04-20T14:00:00Z,90,11,0,0,0,0,35,0,110296,2,2,0.0,1,-1502,665,2167,43,True,0,West Ham,Leicester,3,3
