assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,3,0,0.1,443,3,0,0,0.1,1.0,2018-08-11T14:00:00Z,1,9,0,0,0,0,1,0,6259,2,0,0.0,1,0,0,0,45,False,0,Crystal Palace,Fulham,2,2
0,0,0,0,0.0,443,15,0,0,0.0,0.0,2018-08-20T19:00:00Z,0,12,0,0,0,0,2,0,6924,2,0,0.0,0,-492,229,721,45,True,0,Crystal Palace,Liverpool,2,4
0,0,0,0,0.0,443,29,0,0,0.0,0.0,2018-08-26T12:30:00Z,0,18,0,0,0,0,3,0,6373,1,2,0.0,0,-792,124,916,45,False,0,Crystal Palace,Watford,2,3
0,0,0,0,0.0,443,35,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,16,0,0,0,0,4,0,5379,2,0,0.0,0,-1050,30,1080,44,True,0,Crystal Palace,Southampton,2,2
0,0,0,0,0.0,443,44,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,10,0,0,0,0,5,0,4829,1,0,0.0,0,-603,25,628,44,False,0,Crystal Palace,Huddersfield,2,2
0,0,0,0,0.0,443,55,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,15,0,0,0,0,6,0,4616,0,0,0.0,0,-263,43,306,43,True,0,Crystal Palace,Newcastle,2,2
0,0,0,0,0.0,443,62,0,0,0.0,0.0,2018-10-01T19:00:00Z,0,2,0,0,0,0,7,0,4567,1,2,0.0,0,-119,63,182,43,False,0,Crystal Palace,Bournemouth,2,3
0,0,0,0,0.0,443,73,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,20,0,0,0,0,8,0,4485,1,0,0.0,0,-97,35,132,43,True,0,Crystal Palace,Wolves,2,3
0,0,0,0,0.0,443,85,0,0,0.0,0.0,2018-10-21T15:00:00Z,0,8,0,0,0,0,9,0,4366,0,2,0.0,0,-137,33,170,43,False,0,Crystal Palace,Everton,2,3
0,0,0,0,0.0,443,93,0,0,0.0,0.0,2018-10-28T13:30:00Z,0,1,0,0,0,0,10,0,4313,2,2,0.0,0,-71,17,88,43,True,0,Crystal Palace,Arsenal,2,4
0,0,0,0,0.0,443,104,0,0,0.0,0.0,2018-11-04T16:00:00Z,0,6,0,0,0,0,11,0,4246,1,3,0.0,0,-77,22,99,43,False,0,Crystal Palace,Chelsea,2,4
0,0,0,0,0.0,443,114,0,0,0.0,0.0,2018-11-10T17:30:00Z,0,17,0,0,0,0,12,0,4229,1,0,0.0,0,-39,28,67,43,True,0,Crystal Palace,Spurs,2,4
0,0,0,0,0.0,443,126,0,0,0.0,0.0,2018-11-24T15:00:00Z,0,14,0,0,0,0,13,0,4194,0,0,0.0,0,-50,31,81,43,False,0,Crystal Palace,Man Utd,2,4
0,0,0,0,0.0,443,134,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,4,0,0,0,0,14,0,4178,0,2,0.0,0,-26,17,43,43,True,0,Crystal Palace,Burnley,2,2
0,0,0,0,0.0,443,142,0,0,0.0,0.0,2018-12-04T19:45:00Z,0,3,0,0,0,0,15,0,4155,1,3,0.0,0,-26,25,51,42,False,0,Crystal Palace,Brighton,2,2
0,0,0,0,0.0,443,160,0,0,0.0,0.0,2018-12-08T15:00:00Z,0,19,0,0,0,0,16,0,4130,2,3,0.0,0,-35,18,53,42,False,0,Crystal Palace,West Ham,2,3
0,0,0,0,0.0,443,162,0,0,0.0,0.0,2018-12-15T15:00:00Z,0,11,0,0,0,0,17,0,4134,0,1,0.0,0,-24,35,59,42,True,0,Crystal Palace,Leicester,2,3
0,0,0,0,0.0,443,177,0,0,0.0,0.0,2018-12-22T15:00:00Z,0,13,0,0,0,0,18,0,4124,3,2,0.0,0,-21,46,67,42,False,0,Crystal Palace,Man City,2,5
0,0,0,0,0.0,443,183,0,0,0.0,0.0,2018-12-26T15:00:00Z,0,5,0,0,0,0,19,0,4161,0,0,0.0,0,-2,73,75,42,True,0,Crystal Palace,Cardiff,2,2
0,0,0,0,0.0,443,193,0,0,0.0,0.0,2018-12-30T12:00:00Z,0,6,0,0,0,0,20,0,4139,1,0,0.0,0,-35,44,79,42,True,0,Crystal Palace,Chelsea,2,4
0,0,0,0,0.0,443,210,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,20,0,0,0,0,21,0,4118,2,0,0.0,0,-33,32,65,42,False,0,Crystal Palace,Wolves,2,3
0,0,0,0,0.0,443,215,0,0,0.0,0.0,2019-01-12T15:00:00Z,0,18,0,0,0,0,22,0,4037,2,1,0.0,0,-94,48,142,42,True,0,Crystal Palace,Watford,2,3
0,0,0,0,0.0,443,225,0,0,0.0,0.0,2019-01-19T15:00:00Z,0,12,0,0,0,0,23,0,3902,3,4,0.0,0,-135,30,165,42,False,0,Crystal Palace,Liverpool,2,5
0,0,0,0,0.0,443,239,0,0,0.0,0.0,2019-01-30T19:45:00Z,0,16,0,0,0,0,24,0,3795,1,1,0.0,0,-119,10,129,42,False,0,Crystal Palace,Southampton,2,2
0,0,0,0,0.0,443,245,0,0,0.0,0.0,2019-02-02T15:00:00Z,0,9,0,0,0,0,25,0,3748,0,2,0.0,0,-50,12,62,42,True,0,Crystal Palace,Fulham,2,2
0,0,0,0,0.0,443,252,0,0,0.0,0.0,2019-02-09T15:00:00Z,0,19,0,0,0,0,26,0,3698,1,1,0.0,0,-50,19,69,42,True,0,Crystal Palace,West Ham,2,3
