assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,557,143,0,0,0.0,0.0,2018-12-05T19:45:00Z,0,4,0,0,0,0,15,0,0,3,1,0.0,0,0,0,0,50,False,0,Liverpool,Burnley,4,3
0,0,0,0,0.0,557,152,0,0,0.0,0.0,2018-12-08T12:30:00Z,0,2,0,0,0,0,16,0,16,4,0,0.0,0,13,19,6,50,False,0,Liverpool,Bournemouth,4,3
0,0,0,0,0.0,557,165,0,0,0.0,0.0,2018-12-16T16:00:00Z,0,14,0,0,0,0,17,0,27,1,3,0.0,0,3,13,10,50,True,0,Liverpool,Man Utd,5,4
0,0,0,0,0.0,557,180,0,0,0.0,0.0,2018-12-21T20:00:00Z,0,20,0,0,0,0,18,0,42,2,0,0.0,0,9,18,9,50,False,0,Liverpool,Wolves,4,3
0,0,0,0,0.0,557,186,0,0,0.0,0.0,2018-12-26T15:00:00Z,0,15,0,0,0,0,19,0,51,0,4,0.0,0,3,20,17,50,True,0,Liverpool,Newcastle,5,2
0,0,0,0,0.0,557,196,0,0,0.0,0.0,2018-12-29T17:30:00Z,0,1,0,0,0,0,20,0,55,1,5,0.0,0,1,15,14,50,True,0,Liverpool,Arsenal,5,4
0,0,0,0,0.0,557,207,0,0,0.0,0.0,2019-01-03T20:00:00Z,0,13,0,0,0,0,21,0,69,1,2,0.0,0,5,18,13,50,False,0,Liverpool,Man City,4,5
0,0,0,0,0.0,557,211,0,0,0.0,0.0,2019-01-12T15:00:00Z,0,3,0,0,0,0,22,0,81,1,0,0.0,0,3,32,29,50,False,0,Liverpool,Brighton,4,2
0,0,3,0,0.0,557,225,1,0,0.2,2.0,2019-01-19T15:00:00Z,1,7,0,0,0,0,23,0,98,3,4,0.0,1,11,32,21,50,True,0,Liverpool,Crystal Palace,5,2
0,0,0,0,0.0,557,237,0,0,0.0,0.0,2019-01-30T20:00:00Z,0,11,0,0,0,0,24,0,110,1,1,0.0,0,6,27,21,50,True,0,Liverpool,Leicester,5,3
0,0,0,0,0.0,557,250,0,0,0.0,0.0,2019-02-04T20:00:00Z,0,19,0,0,0,0,25,0,114,1,1,0.0,0,0,12,12,50,False,0,Liverpool,West Ham,4,3
0,0,0,0,0.0,557,255,0,0,0.0,0.0,2019-02-09T15:00:00Z,0,2,0,0,0,0,26,0,116,0,3,0.0,0,-5,15,20,50,True,0,Liverpool,Bournemouth,5,2
0,0,0,0,0.0,557,268,0,0,0.0,0.0,2019-02-24T14:05:00Z,0,14,0,0,0,0,27,0,124,0,0,0.0,0,-1,17,18,50,False,0,Liverpool,Man Utd,4,4
0,0,0,0,0.0,557,277,0,0,0.0,0.0,2019-02-27T20:00:00Z,0,18,0,0,0,0,28,0,124,0,5,0.0,0,1,9,8,50,True,0,Liverpool,Watford,5,3
0,0,0,0,0.0,557,284,0,0,0.0,0.0,2019-03-03T16:15:00Z,0,8,0,0,0,0,29,0,125,0,0,0.0,0,-2,10,12,50,False,0,Liverpool,Everton,4,3
0,0,0,0,0.0,557,297,0,0,0.0,0.0,2019-03-10T12:00:00Z,0,4,0,0,0,0,30,0,123,2,4,0.0,0,-3,7,10,50,True,0,Liverpool,Burnley,5,2
0,0,0,0,0.0,557,305,0,0,0.0,0.0,2019-03-17T14:15:00Z,0,9,0,0,0,0,31,0,128,2,1,0.0,0,4,7,3,50,False,0,Liverpool,Fulham,4,2
0,0,0,0,0.0,557,318,0,0,0.0,0.0,2019-03-31T15:30:00Z,0,17,0,0,0,0,32,0,138,1,2,0.0,0,-1,10,11,50,True,0,Liverpool,Spurs,5,4
0,0,0,0,0.0,557,327,0,0,0.0,0.0,2019-04-05T19:00:00Z,0,16,0,0,0,0,33,0,142,3,1,0.0,0,4,7,3,50,False,0,Liverpool,Southampton,4,2
0,0,0,0,0.0,557,336,0,0,0.0,0.0,2019-04-14T15:30:00Z,0,6,0,0,0,0,34,0,142,0,2,0.0,0,-1,10,11,50,True,0,Liverpool,Chelsea,5,4
0,0,0,0,0.0,557,343,0,0,0.0,0.0,2019-04-21T15:00:00Z,0,5,0,0,0,0,35,0,141,2,0,0.0,0,-2,9,11,50,False,0,Liverpool,Cardiff,4,2
0,0,0,0,0.0,557,356,0,0,0.0,0.0,2019-04-26T19:00:00Z,0,10,0,0,0,0,36,0,145,0,5,0.0,0,3,8,5,50,True,0,Liverpool,Huddersfield,5,2
0,0,0,0,0.0,557,368,0,0,0.0,0.0,2019-05-04T18:45:00Z,0,15,0,0,0,0,37,0,157,3,2,0.0,0,7,10,3,50,False,0,Liverpool,Newcastle,4,3
0,0,0,0,0.0,557,376,0,0,0.0,0.0,2019-05-12T14:00:00Z,0,20,0,0,0,0,38,0,173,0,2,0.0,0,15,23,8,50,True,0,Liverpool,Wolves,5,3
