assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,2,0,0.0,84,8,0,0,0.2,0.0,2018-08-12T12:30:00Z,17,16,0,0,0,0,1,0,53452,0,0,4.0,1,0,0,0,55,False,0,Burnley,Southampton,2,2
0,0,3,0,11.7,84,12,0,0,3.6,2.2,2018-08-19T12:30:00Z,20,18,0,0,0,0,2,0,55272,3,1,22.0,1,-3945,3413,7358,55,True,0,Burnley,Watford,3,3
0,0,1,0,1.3,84,23,1,0,0.4,0.0,2018-08-26T15:00:00Z,24,9,0,0,0,0,3,0,47931,2,4,4.0,1,-8378,2048,10426,55,False,0,Burnley,Fulham,2,2
0,0,-5,0,12.0,84,32,0,0,7.4,5.2,2018-09-02T15:00:00Z,32,14,0,0,0,0,4,0,42133,2,0,57.0,1,-6818,1155,7973,54,True,0,Burnley,Man Utd,3,4
0,0,8,0,11.8,84,50,1,0,2.2,8.6,2018-09-16T12:30:00Z,69,20,0,0,0,0,5,0,37947,0,1,2.0,2,-4811,1306,6117,54,False,0,Burnley,Wolves,2,3
0,0,3,1,13.7,84,53,0,0,2.4,0.0,2018-09-22T14:00:00Z,68,2,0,0,0,0,6,0,36187,0,4,10.0,2,-2203,1606,3809,53,True,0,Burnley,Bournemouth,3,2
0,2,29,0,2.4,84,63,1,1,7.3,47.2,2018-09-30T15:00:00Z,90,5,0,0,0,0,7,0,34566,2,1,23.0,8,-1944,1172,3116,53,False,0,Burnley,Cardiff,2,2
0,3,29,0,12.2,84,72,1,1,11.1,42.2,2018-10-06T14:00:00Z,89,10,0,0,0,0,8,0,45236,1,1,57.0,9,8688,11340,2652,53,True,0,Burnley,Huddersfield,3,2
0,0,3,0,4.5,84,87,3,0,1.3,0.0,2018-10-20T14:00:00Z,68,13,0,0,0,0,9,0,54016,0,5,13.0,2,7908,15104,7196,53,False,0,Burnley,Man City,2,5
0,0,0,0,1.5,84,92,2,0,0.9,0.4,2018-10-28T13:30:00Z,58,6,0,0,0,0,10,0,66149,4,0,7.0,1,10833,16678,5845,53,True,0,Burnley,Chelsea,3,4
0,0,6,0,1.3,84,109,2,0,1.4,4.6,2018-11-03T15:00:00Z,71,19,0,0,0,0,11,0,81896,2,4,8.0,2,14315,21932,7617,53,False,0,Burnley,West Ham,2,3
0,0,4,1,7.3,84,116,0,0,0.8,0.0,2018-11-10T15:00:00Z,72,11,0,0,0,0,12,0,80214,0,0,2.0,2,-1323,8288,9611,53,False,0,Burnley,Leicester,2,3
0,2,26,0,24.3,84,123,2,1,11.5,33.6,2018-11-26T20:30:00Z,90,15,0,0,0,0,13,0,89947,2,1,57.0,8,7920,16057,8137,53,True,0,Burnley,Newcastle,3,2
0,0,4,0,1.3,84,134,1,0,2.2,3.0,2018-12-01T15:00:00Z,30,7,0,0,0,0,14,0,105208,0,2,18.0,1,14580,20400,5820,53,False,0,Burnley,Crystal Palace,2,2
0,0,3,0,0.5,84,143,1,0,0.5,4.0,2018-12-05T19:45:00Z,19,12,0,0,0,0,15,0,103761,3,1,0.0,1,-828,11498,12326,53,True,0,Burnley,Liverpool,3,4
0,0,0,0,0.0,84,153,0,0,0.0,0.0,2018-12-08T15:00:00Z,0,3,0,0,0,0,16,0,103245,0,1,0.0,0,-1085,10209,11294,53,True,0,Burnley,Brighton,3,2
0,0,3,0,0.0,84,168,0,0,0.0,0.0,2018-12-15T15:00:00Z,1,17,0,0,0,0,17,0,99057,0,1,0.0,1,-4683,9961,14644,53,False,0,Burnley,Spurs,2,4
0,0,3,0,1.3,84,171,1,0,0.2,0.2,2018-12-22T12:30:00Z,13,1,0,0,0,0,18,0,88268,1,3,0.0,1,-10896,2668,13564,53,False,0,Burnley,Arsenal,2,4
0,0,3,0,1.0,84,182,4,0,0.4,0.8,2018-12-26T15:00:00Z,72,8,0,0,0,0,19,0,83720,5,1,2.0,2,-5004,5319,10323,53,True,0,Burnley,Everton,3,2
0,0,2,0,0.5,84,192,0,0,0.5,0.0,2018-12-30T14:15:00Z,1,19,0,0,0,0,20,0,84889,0,2,6.0,1,470,7369,6899,53,True,0,Burnley,West Ham,3,3
0,0,0,0,0.0,84,206,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,10,0,0,0,0,21,0,83276,2,1,0.0,0,-1736,6998,8734,53,False,0,Burnley,Huddersfield,2,2
0,0,3,0,0.0,84,212,0,0,0.0,0.0,2019-01-12T15:00:00Z,3,9,0,0,0,0,22,0,79242,1,2,0.0,1,-4512,7827,12339,53,True,0,Burnley,Fulham,3,2
0,0,0,0,0.0,84,229,0,0,0.0,0.0,2019-01-19T15:00:00Z,0,18,0,0,0,0,23,0,72507,0,0,0.0,0,-6706,3174,9880,53,False,0,Burnley,Watford,2,3
0,0,0,0,0.0,84,235,0,0,0.0,0.0,2019-01-29T20:00:00Z,0,14,0,0,0,0,24,0,66706,2,2,0.0,0,-5986,1068,7054,53,False,0,Burnley,Man Utd,2,4
0,0,0,0,0.0,84,242,0,0,0.0,0.0,2019-02-02T15:00:00Z,0,16,0,0,0,0,25,0,58235,1,1,0.0,0,-8202,376,8578,53,True,0,Burnley,Southampton,3,2
0,0,0,0,0.0,84,251,0,0,0.0,0.0,2019-02-09T17:30:00Z,0,3,0,0,0,0,26,0,49539,3,1,0.0,0,-9011,15,9026,53,False,0,Burnley,Brighton,2,2
