assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,337,8,0,0,0.0,0.0,2018-08-12T12:30:00Z,0,4,0,0,0,0,1,0,7799,0,0,0.0,0,0,0,0,50,True,0,Southampton,Burnley,2,2
0,0,0,0,0.0,337,16,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,8,0,0,0,0,2,0,6956,1,2,0.0,0,-1294,132,1426,50,False,0,Southampton,Everton,2,3
0,0,0,0,0.0,337,28,0,0,0.0,0.0,2018-08-25T14:00:00Z,0,11,0,0,0,0,3,0,5843,2,1,0.0,0,-1241,121,1362,49,True,0,Southampton,Leicester,2,3
0,0,0,0,0.0,337,35,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,7,0,0,0,0,4,0,5175,2,0,0.0,0,-783,83,866,49,False,0,Southampton,Crystal Palace,2,2
0,0,3,0,0.2,337,47,1,0,0.1,1.0,2018-09-17T19:00:00Z,6,3,0,0,0,0,5,0,4822,2,2,0.0,1,-463,134,597,48,True,0,Southampton,Brighton,2,2
0,0,0,0,0.0,337,58,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,12,0,0,0,0,6,0,4533,0,3,0.0,0,-332,74,406,48,False,0,Southampton,Liverpool,2,5
0,0,0,0,0.0,337,70,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,20,0,0,0,0,7,0,4258,0,2,0.0,0,-306,43,349,48,False,0,Southampton,Wolves,2,3
0,0,0,0,0.0,337,78,0,0,0.0,0.0,2018-10-07T13:15:00Z,0,6,0,0,0,0,8,0,4154,3,0,0.0,0,-130,69,199,47,True,0,Southampton,Chelsea,2,4
0,0,0,0,0.0,337,82,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,2,0,0,0,0,9,0,4093,0,0,0.0,0,-105,139,244,47,False,0,Southampton,Bournemouth,2,3
0,0,0,0,0.0,337,98,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,15,0,0,0,0,10,0,3986,0,0,0.0,0,-122,80,202,47,True,0,Southampton,Newcastle,2,2
0,0,0,0,0.0,337,107,0,0,0.0,0.0,2018-11-04T15:00:00Z,0,13,0,0,0,0,11,0,3842,1,6,0.0,0,-157,52,209,47,False,0,Southampton,Man City,2,5
0,0,0,0,0.0,337,120,0,0,0.0,0.0,2018-11-10T15:00:00Z,0,18,0,0,0,0,12,0,3768,1,1,0.0,0,-110,41,151,47,True,0,Southampton,Watford,2,3
0,0,0,0,0.0,337,125,0,0,0.0,0.0,2018-11-24T15:00:00Z,0,9,0,0,0,0,13,0,3721,2,3,0.0,0,-61,57,118,46,False,0,Southampton,Fulham,2,2
0,0,3,0,0.1,337,140,0,0,0.0,0.2,2018-12-01T17:30:00Z,1,14,0,0,0,0,14,0,3698,2,2,0.0,1,-37,34,71,46,True,0,Southampton,Man Utd,2,4
1,2,33,0,41.3,337,150,3,0,8.1,37.6,2018-12-05T20:00:00Z,90,17,0,0,0,0,15,0,3659,1,3,2.0,7,-48,38,86,46,False,0,Southampton,Spurs,2,4
