assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,129,4,0,0,0.0,0.0,2018-08-11T14:00:00Z,0,10,0,0,0,0,1,0,14331,3,0,0.0,0,0,0,0,50,False,0,Chelsea,Huddersfield,4,2
0,0,0,0,0.0,129,14,0,0,0.0,0.0,2018-08-18T16:30:00Z,0,1,0,0,0,0,2,0,10102,2,3,0.0,0,-5155,270,5425,49,True,0,Chelsea,Arsenal,4,4
0,0,0,0,0.0,129,27,0,0,0.0,0.0,2018-08-26T15:00:00Z,0,15,0,0,0,0,3,0,7035,2,1,0.0,0,-3275,12,3287,49,False,0,Chelsea,Newcastle,4,3
0,0,0,0,0.0,129,34,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,2,0,0,0,0,4,0,5915,0,2,0.0,0,-1287,8,1295,49,True,0,Chelsea,Bournemouth,4,2
0,0,0,0,0.0,129,42,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,5,0,0,0,0,5,0,5346,1,4,0.0,0,-615,10,625,49,True,0,Chelsea,Cardiff,4,2
0,0,0,0,0.0,129,60,0,0,0.0,0.0,2018-09-23T12:30:00Z,0,19,0,0,0,0,6,0,5104,0,0,0.0,0,-268,3,271,49,False,0,Chelsea,West Ham,4,3
0,0,0,0,0.0,129,64,0,0,0.0,0.0,2018-09-29T16:30:00Z,0,12,0,0,0,0,7,0,4955,1,1,0.0,0,-160,2,162,49,True,0,Chelsea,Liverpool,4,4
0,0,0,0,0.0,129,78,0,0,0.0,0.0,2018-10-07T13:15:00Z,0,16,0,0,0,0,8,0,4875,3,0,0.0,0,-86,2,88,49,False,0,Chelsea,Southampton,4,2
0,0,0,0,0.0,129,84,0,0,0.0,0.0,2018-10-20T11:30:00Z,0,14,0,0,0,0,9,0,4767,2,2,0.0,0,-110,4,114,49,True,0,Chelsea,Man Utd,4,4
0,0,0,0,0.0,129,92,0,0,0.0,0.0,2018-10-28T13:30:00Z,0,4,0,0,0,0,10,0,4716,4,0,0.0,0,-61,2,63,49,False,0,Chelsea,Burnley,4,3
