assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,63,9,0,0,0.0,0.0,2018-08-11T14:00:00Z,0,18,0,0,0,0,1,0,11200,0,2,0.0,0,0,0,0,50,False,0,Brighton,Watford,2,3
0,0,0,0,0.0,63,11,0,0,0.0,0.0,2018-08-19T15:00:00Z,0,14,0,0,0,0,2,0,11069,2,3,0.0,0,-1430,438,1868,50,True,0,Brighton,Man Utd,2,4
0,0,0,0,0.0,63,25,0,0,0.0,0.0,2018-08-25T16:30:00Z,0,12,0,0,0,0,3,0,9446,0,1,0.0,0,-2027,418,2445,49,False,0,Brighton,Liverpool,2,5
0,0,0,0,0.0,63,31,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,9,0,0,0,0,4,0,8059,2,2,0.0,0,-1856,266,2122,49,True,0,Brighton,Fulham,2,2
0,0,0,0,0.0,63,47,0,0,0.0,0.0,2018-09-17T19:00:00Z,0,16,0,0,0,0,5,0,6681,2,2,0.0,0,-1530,64,1594,49,False,0,Brighton,Southampton,2,2
0,0,0,0,0.0,63,52,0,0,0.0,0.0,2018-09-22T16:30:00Z,0,17,0,0,0,0,6,0,6096,2,1,0.0,0,-671,21,692,49,True,0,Brighton,Spurs,2,4
0,0,0,0,0.0,63,67,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,13,0,0,0,0,7,0,5651,0,2,0.0,0,-472,18,490,49,False,0,Brighton,Man City,2,5
0,0,0,0,0.0,63,71,0,0,0.0,0.0,2018-10-05T19:00:00Z,0,19,0,0,0,0,8,0,5406,0,1,0.0,0,-264,7,271,49,True,0,Brighton,West Ham,2,3
0,0,0,0,0.0,63,88,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,15,0,0,0,0,9,0,5114,1,0,0.0,0,-318,18,336,49,False,0,Brighton,Newcastle,2,3
0,0,0,0,0.0,63,91,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,20,0,0,0,0,10,0,4964,0,1,0.0,0,-178,5,183,49,True,0,Brighton,Wolves,2,3
