assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,2,1,6.3,396,9,0,0,3.1,5.0,2018-08-11T14:00:00Z,90,3,0,0,0,0,1,0,52178,0,2,20.0,2,0,0,0,60,True,0,Watford,Brighton,3,2
1,3,39,0,27.4,396,12,1,1,16.1,59.0,2018-08-19T12:30:00Z,88,4,0,0,0,0,2,0,55874,3,1,75.0,12,-2276,3602,5878,60,False,0,Watford,Burnley,3,3
0,0,2,0,13.3,396,29,1,0,4.1,11.2,2018-08-26T12:30:00Z,90,7,0,0,0,0,3,0,209117,1,2,16.0,2,116359,139040,22681,60,True,0,Watford,Crystal Palace,3,2
0,1,29,0,2.7,396,39,1,1,8.4,43.2,2018-09-02T15:00:00Z,90,17,0,0,0,0,4,0,206933,1,2,38.0,7,-2422,34275,36697,60,True,0,Watford,Spurs,3,4
0,0,8,0,14.3,396,49,2,0,4.8,6.8,2018-09-15T16:30:00Z,90,14,0,0,0,0,5,0,330747,2,1,27.0,2,103191,138986,35795,61,True,0,Watford,Man Utd,3,4
0,0,4,0,5.9,396,56,1,0,5.3,5.6,2018-09-22T11:30:00Z,90,9,0,0,0,0,6,0,364157,1,1,41.0,2,29982,61307,31325,61,False,0,Watford,Fulham,3,2
0,0,10,0,47.5,396,61,2,0,12.2,14.8,2018-09-29T14:00:00Z,90,1,0,0,0,0,7,0,333543,0,2,60.0,1,-28760,15933,44693,61,False,1,Watford,Arsenal,3,4
0,0,6,0,25.8,396,80,4,0,9.8,6.2,2018-10-06T14:00:00Z,90,2,0,0,0,0,8,0,317752,4,0,66.0,2,-19632,15572,35204,61,True,0,Watford,Bournemouth,3,2
0,0,0,0,0.0,396,90,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,20,0,0,0,0,9,0,271790,2,0,0.0,0,-46277,8010,54287,60,False,0,Watford,Wolves,3,3
0,0,0,0,0.0,396,100,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,10,0,0,0,0,10,0,217090,0,3,0.0,0,-55287,2564,57851,60,True,0,Watford,Huddersfield,3,2
0,0,0,0,0.0,396,108,0,0,0.0,0.0,2018-11-03T15:00:00Z,0,15,0,0,0,0,11,0,175937,0,1,0.0,0,-42498,1229,43727,59,False,0,Watford,Newcastle,3,3
