assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,2,0,1.2,500,10,0,0,1.8,4.2,2019-08-11T13:00:00Z,23,1,0,0,0,0,1,0,34113,1,0,13.0,1,0,0,0,55,True,0,Newcastle,Arsenal,2,3,2,1920
0,0,0,0,0.0,500,17,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,14,0,0,0,0,2,0,41233,1,3,0.0,0,1284,8222,6938,55,False,0,Newcastle,Norwich,2,2,2,1920
0,0,3,0,1.0,500,28,0,0,0.2,0.0,2019-08-25T15:30:00Z,16,17,0,0,0,0,3,0,27513,1,0,2.0,1,-13193,455,13648,55,False,0,Newcastle,Spurs,2,4,2,1920
0,0,0,0,0.0,500,38,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,18,0,0,0,0,4,0,19260,1,1,0.0,0,-8807,304,9111,54,True,0,Newcastle,Watford,2,2,2,1920
0,0,0,0,0.0,500,44,0,0,0.0,0.0,2019-09-14T11:30:00Z,0,10,0,0,0,0,5,0,14955,1,3,0.0,0,-4559,73,4632,54,False,0,Newcastle,Liverpool,2,5,2,1920
0,0,6,0,10.2,500,58,0,0,3.0,8.4,2019-09-21T16:30:00Z,17,4,0,0,0,0,6,0,13869,0,0,11.0,1,-1315,254,1569,54,True,0,Newcastle,Brighton,2,2,2,1920
0,0,0,0,0.0,500,66,0,0,0.0,0.0,2019-09-29T15:30:00Z,0,9,0,0,0,0,7,0,14173,0,5,0.0,0,114,964,850,54,False,0,Newcastle,Leicester,2,3,2,1920
0,0,9,1,22.0,500,76,0,0,4.3,6.2,2019-10-06T15:30:00Z,82,12,0,0,0,0,8,0,14236,0,1,15.0,3,-96,693,789,54,True,0,Newcastle,Man Utd,2,4,2,1920
0,0,9,0,39.4,500,83,1,0,5.3,11.0,2019-10-19T14:00:00Z,84,6,0,0,0,0,9,0,17156,0,1,3.0,2,2424,3123,699,54,False,0,Newcastle,Chelsea,2,4,2,1920
0,0,8,0,15.7,500,96,1,0,7.2,10.2,2019-10-27T14:00:00Z,89,20,0,0,0,0,10,0,20015,1,1,46.0,2,2658,3327,669,54,True,0,Newcastle,Wolves,2,4,2,1920
