assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,0,0,0.0,512,3,0,0,0.0,0.0,2018-08-11T14:00:00Z,0,7,0,0,0,0,1,0,6826,2,0,0.0,0,0,0,0,45,True,0,Fulham,Crystal Palace,2,2,2,1819
0,0,14,0,2.7,512,19,3,0,2.3,18.2,2018-08-18T14:00:00Z,90,17,0,0,0,0,2,0,7130,1,3,2.0,2,-667,354,1021,45,False,0,Fulham,Spurs,2,4,2,1819
0,0,5,0,13.3,512,23,0,0,3.9,12.0,2018-08-26T15:00:00Z,12,4,0,0,0,0,3,0,8083,2,4,14.0,1,344,1648,1304,45,True,0,Fulham,Burnley,2,2,2,1819
0,0,13,0,5.8,512,31,1,0,1.2,6.6,2018-09-01T14:00:00Z,73,3,0,0,0,0,4,0,7732,2,2,0.0,2,-440,541,981,45,False,0,Fulham,Brighton,2,2,2,1819
0,0,5,0,1.8,512,45,0,0,0.7,5.4,2018-09-15T14:00:00Z,34,13,0,0,0,0,5,0,7345,0,3,0.0,1,-478,444,922,45,False,0,Fulham,Man City,2,5,2,1819
0,0,5,0,11.0,512,56,0,0,1.8,5.8,2018-09-22T11:30:00Z,26,18,0,0,0,0,6,0,6886,1,1,1.0,1,-523,209,732,45,True,0,Fulham,Watford,2,3,2,1819
0,0,15,0,1.8,512,65,3,0,2.0,17.4,2018-09-29T14:00:00Z,90,8,0,0,0,0,7,0,6595,0,3,1.0,2,-346,216,562,44,False,0,Fulham,Everton,2,3,2,1819
0,0,7,0,13.3,512,74,2,0,4.7,8.4,2018-10-07T11:00:00Z,61,1,0,0,0,0,8,0,8771,5,1,25.0,2,1572,2509,937,44,True,0,Fulham,Arsenal,2,4,2,1819
0,0,0,0,0.0,512,83,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,5,0,0,0,0,9,0,10416,2,4,0.0,0,1415,2803,1388,44,False,0,Fulham,Cardiff,2,2,2,1819
0,0,3,0,0.7,512,94,1,0,0.3,1.8,2018-10-27T14:00:00Z,10,2,0,0,0,0,10,0,9881,3,0,0.0,1,-428,634,1062,44,True,0,Fulham,Bournemouth,2,2,2,1819
