assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,21,1,1.3,268,1,0,0,5.3,14.2,2018-08-12T15:00:00Z,90,1,0,0,0,0,1,0,55175,2,0,37.0,6,0,0,0,55,False,0,Man City,Arsenal,4,4,1,1819
0,0,14,0,18.4,268,18,1,0,4.9,17.6,2018-08-19T12:30:00Z,90,10,0,0,0,0,2,0,88355,1,6,13.0,2,11348,15807,4459,55,True,0,Man City,Huddersfield,5,2,1,1819
0,0,25,0,2.9,268,30,1,1,8.6,50.2,2018-08-25T11:30:00Z,90,20,0,0,0,0,3,0,93856,1,1,33.0,8,-683,10748,11431,55,False,0,Man City,Wolves,4,3,1,1819
0,0,10,0,7.0,268,38,1,0,2.5,15.2,2018-09-01T16:30:00Z,90,15,0,0,0,0,4,0,170654,1,2,3.0,2,57223,68343,11120,55,True,0,Man City,Newcastle,5,2,1,1819
0,0,29,1,16.2,268,45,0,0,4.5,18.8,2018-09-15T14:00:00Z,90,9,0,0,0,0,5,0,187676,0,3,10.0,6,12186,29141,16955,55,True,0,Man City,Fulham,5,2,1,1819
0,0,29,1,2.8,268,54,0,0,3.9,18.4,2018-09-22T14:00:00Z,90,5,0,0,0,0,6,0,272750,5,0,18.0,6,75108,86266,11158,56,False,0,Man City,Cardiff,4,2,1,1819
0,0,25,1,3.4,268,67,0,0,3.5,27.8,2018-09-29T14:00:00Z,90,3,0,0,0,0,7,0,423025,0,2,4.0,6,141161,150716,9555,57,True,0,Man City,Brighton,5,2,1,1819
0,0,27,1,0.1,268,76,0,0,2.3,20.8,2018-10-07T15:30:00Z,90,12,0,0,0,0,8,0,426281,0,0,2.0,6,10920,34170,23250,57,False,0,Man City,Liverpool,4,5,1,1819
0,0,30,1,1.3,268,87,0,0,2.0,18.2,2018-10-20T14:00:00Z,90,4,0,0,0,0,9,0,497762,0,5,0.0,6,56114,75026,18912,57,True,0,Man City,Burnley,5,2,1,1819
0,1,24,1,0.4,268,99,0,0,1.5,14.6,2018-10-29T20:00:00Z,90,17,0,0,0,0,10,0,517040,1,0,0.0,6,20796,41294,20498,58,False,1,Man City,Spurs,4,4,1,1819
0,0,13,0,3.1,268,107,1,0,1.6,10.8,2018-11-04T15:00:00Z,90,16,0,0,0,0,11,0,642954,1,6,2.0,2,111874,122929,11055,59,True,0,Man City,Southampton,5,2,1,1819
0,0,11,0,3.0,268,118,1,0,1.9,14.8,2018-11-11T16:30:00Z,90,14,0,0,0,0,12,0,656584,1,3,1.0,2,17534,45788,28254,59,True,0,Man City,Man Utd,5,4,1,1819
0,0,31,1,1.1,268,129,0,0,2.5,23.4,2018-11-24T15:00:00Z,90,19,0,0,0,0,13,0,896778,4,0,0.0,6,225548,244969,19421,60,False,0,Man City,West Ham,4,3,1,1819
0,0,17,0,12.5,268,138,1,0,3.7,24.2,2018-12-01T15:00:00Z,90,2,0,0,0,0,14,0,963418,1,3,0.0,2,69886,92018,22132,61,True,0,Man City,Bournemouth,5,2,1,1819
0,0,3,0,0.0,268,146,0,0,0.5,5.0,2018-12-04T20:00:00Z,1,18,0,0,0,0,15,0,988417,2,1,0.0,1,22839,48310,25471,61,False,0,Man City,Watford,4,3,1,1819
0,0,13,0,1.3,268,155,2,0,3.2,15.2,2018-12-08T17:30:00Z,90,6,0,0,0,0,16,0,965209,0,2,15.0,1,-16865,28355,45220,61,False,0,Man City,Chelsea,4,4,1,1819
0,0,13,0,22.1,268,166,1,0,5.4,23.8,2018-12-15T12:30:00Z,90,8,0,0,0,0,17,0,972179,1,3,8.0,2,-5278,31705,36983,61,True,0,Man City,Everton,5,2,1,1819
0,0,13,0,28.4,268,177,3,0,5.7,12.4,2018-12-22T15:00:00Z,90,7,0,0,0,0,18,0,985941,3,2,16.0,1,8408,40343,31935,61,True,0,Man City,Crystal Palace,5,2,1,1819
0,0,14,0,3.0,268,185,2,0,2.5,19.8,2018-12-26T15:00:00Z,90,11,0,0,0,0,19,0,907782,1,2,2.0,1,-74721,9586,84307,61,False,0,Man City,Leicester,4,3,1,1819
0,0,13,0,2.3,268,198,1,0,2.0,13.8,2018-12-30T14:15:00Z,90,16,0,0,0,0,20,0,808346,3,1,4.0,2,-102588,8404,110992,60,False,0,Man City,Southampton,4,2,1,1819
0,0,4,0,2.4,268,207,1,0,0.6,1.2,2019-01-03T20:00:00Z,85,12,0,0,0,0,21,0,713654,1,2,2.0,1,-97029,6944,103973,59,True,1,Man City,Liverpool,5,4,1,1819
0,0,26,1,4.1,268,218,0,0,2.1,16.8,2019-01-14T20:00:00Z,90,20,0,0,0,0,22,0,654411,0,3,0.0,6,-65549,21117,86666,59,True,0,Man City,Wolves,5,3,1,1819
0,0,29,1,1.9,268,224,0,0,2.6,24.4,2019-01-20T13:30:00Z,90,10,0,0,0,0,23,0,674963,3,0,0.0,6,14456,51913,37457,59,False,0,Man City,Huddersfield,4,2,1,1819
0,0,15,0,5.1,268,238,2,0,3.2,26.8,2019-01-29T20:00:00Z,90,15,0,0,0,0,24,0,707952,1,2,0.0,0,30538,51699,21161,59,False,1,Man City,Newcastle,4,3,1,1819
1,0,26,0,16.5,268,248,1,0,5.4,35.0,2019-02-03T16:30:00Z,90,1,0,0,0,0,25,0,767305,1,3,2.0,5,52002,82797,30795,59,True,0,Man City,Arsenal,5,4,1,1819
0,3,36,1,3.0,268,266,0,1,8.1,54.4,2019-02-06T19:45:00Z,90,8,0,0,0,0,25,0,767305,2,0,24.0,15,52002,82797,30795,59,False,0,Man City,Everton,4,3,1,1819
0,0,27,1,0.6,268,256,0,0,2.2,21.4,2019-02-10T16:00:00Z,90,6,0,0,0,0,26,0,792436,0,6,0.0,6,27439,55657,28218,59,True,0,Man City,Chelsea,5,4,1,1819
0,0,0,0,0.0,268,278,0,0,0.0,0.0,2019-02-27T20:00:00Z,0,19,0,0,0,0,28,0,687565,0,1,0.0,0,-146969,29942,176911,60,True,0,Man City,West Ham,5,3,1,1819
0,0,0,0,0.0,268,281,0,0,0.0,0.0,2019-03-02T15:00:00Z,0,2,0,0,0,0,29,0,525124,1,0,0.0,0,-164799,1364,166163,59,False,0,Man City,Bournemouth,4,3,1,1819
