assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,2,34,0,2.9,365,7,1,1,12.0,59.2,2018-08-11T11:30:00Z,79,15,0,0,0,0,1,0,175864,2,1,58.0,9,0,0,0,90,False,0,Spurs,Newcastle,4,3,2,1819
1,0,18,0,20.3,365,19,1,0,10.4,18.2,2018-08-18T14:00:00Z,90,9,0,0,0,0,2,0,381319,1,3,65.0,5,126809,145612,18803,91,True,0,Spurs,Fulham,4,2,2,1819
0,0,9,1,4.5,365,26,0,0,8.0,18.6,2018-08-27T19:00:00Z,90,14,0,0,0,0,3,0,392509,3,0,57.0,3,334,57563,57229,91,False,0,Spurs,Man Utd,4,4,2,1819
0,0,8,0,18.1,365,39,2,0,4.1,12.6,2018-09-02T15:00:00Z,90,18,0,0,0,0,4,0,398636,1,2,10.0,2,-6932,37811,44743,91,False,0,Spurs,Watford,4,3,2,1819
0,0,0,0,0.0,365,48,0,0,0.0,0.0,2018-09-15T11:30:00Z,0,12,0,0,0,0,5,0,286881,2,1,0.0,0,-113584,13364,126948,91,True,0,Spurs,Liverpool,4,4,2,1819
0,0,3,0,2.3,365,52,1,0,0.7,2.8,2018-09-22T16:30:00Z,12,3,0,0,0,0,6,0,222599,2,1,2.0,1,-68109,738,68847,90,False,0,Spurs,Brighton,4,2,2,1819
0,0,0,0,0.0,365,66,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,10,0,0,0,0,7,0,219883,2,0,0.0,0,-7025,14963,21988,90,False,0,Spurs,Huddersfield,4,2,2,1819
0,0,0,0,0.0,365,79,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,5,0,0,0,0,8,0,182472,0,1,0.0,0,-36626,464,37090,90,True,0,Spurs,Cardiff,4,2,2,1819
0,0,0,0,0.0,365,89,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,19,0,0,0,0,9,0,160236,1,0,0.0,0,-23112,370,23482,90,False,0,Spurs,West Ham,4,3,2,1819
0,0,9,0,11.0,365,99,0,0,2.1,3.6,2018-10-29T20:00:00Z,15,13,0,0,0,0,10,0,153367,1,0,6.0,1,-7662,251,7913,89,True,0,Spurs,Man City,4,4,2,1819
0,0,0,0,0.0,365,110,0,0,0.0,0.0,2018-11-03T19:45:00Z,0,20,0,0,0,0,11,0,156142,3,2,0.0,0,1598,5225,3627,89,False,0,Spurs,Wolves,4,3,2,1819
0,0,11,1,8.7,365,114,0,0,1.7,3.6,2018-11-10T17:30:00Z,90,7,0,0,0,0,12,0,154212,1,0,5.0,3,-2439,2071,4510,89,False,0,Spurs,Crystal Palace,4,2,2,1819
