assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,5,1,21.8,348,8,0,0,3.5,5.2,2018-08-12T12:30:00Z,71,4,0,0,0,0,1,0,85810,0,0,8.0,2,0,0,0,60,True,0,Southampton,Burnley,2,2,3,1819
0,0,0,0,0.6,348,16,2,0,4.1,6.4,2018-08-18T14:00:00Z,57,8,0,0,0,0,2,0,82895,1,2,34.0,1,-7264,3311,10575,60,False,0,Southampton,Everton,2,3,3,1819
0,0,3,0,0.0,348,28,1,0,0.4,4.0,2018-08-25T14:00:00Z,21,11,0,0,0,0,3,0,63580,2,1,0.0,1,-20279,2108,22387,59,True,0,Southampton,Leicester,2,3,3,1819
0,0,-12,0,0.8,348,35,0,0,4.3,3.2,2018-09-01T14:00:00Z,28,7,0,1,0,0,4,0,50475,2,0,39.0,-1,-14096,1482,15578,58,False,0,Southampton,Crystal Palace,2,2,3,1819
0,0,0,0,0.0,348,47,0,0,0.0,0.0,2018-09-17T19:00:00Z,0,3,0,0,0,0,5,0,36641,2,2,0.0,0,-14220,905,15125,57,True,0,Southampton,Brighton,2,2,3,1819
0,0,3,0,0.1,348,58,0,0,2.2,5.0,2018-09-22T14:00:00Z,11,12,0,0,0,0,6,0,31155,0,3,17.0,1,-5854,405,6259,57,False,0,Southampton,Liverpool,2,5,3,1819
0,0,5,1,13.9,348,70,0,0,3.5,8.2,2018-09-29T14:00:00Z,76,20,0,0,0,0,7,0,28263,0,2,13.0,2,-3151,355,3506,56,False,0,Southampton,Wolves,2,3,3,1819
0,0,0,0,0.0,348,78,0,0,0.0,0.0,2018-10-07T13:15:00Z,0,6,0,0,0,0,8,0,26771,3,0,0.0,0,-1653,292,1945,56,True,0,Southampton,Chelsea,2,4,3,1819
0,0,6,1,13.1,348,82,0,0,3.1,11.6,2018-10-20T14:00:00Z,77,2,0,0,0,0,9,0,24880,0,0,6.0,2,-2091,330,2421,55,False,0,Southampton,Bournemouth,2,3,3,1819
0,0,2,1,1.1,348,98,0,0,0.8,0.0,2018-10-27T14:00:00Z,62,15,0,0,0,0,10,0,24899,0,0,11.0,2,-212,810,1022,55,True,0,Southampton,Newcastle,2,2,3,1819
0,0,0,0,0.0,348,107,0,0,0.0,0.0,2018-11-04T15:00:00Z,0,13,0,0,0,0,11,0,23325,1,6,0.0,0,-1588,250,1838,55,False,0,Southampton,Man City,2,5,3,1819
0,0,1,0,1.3,348,120,1,0,3.0,0.2,2018-11-10T15:00:00Z,50,18,0,0,0,0,12,0,22782,1,1,28.0,1,-706,357,1063,55,True,0,Southampton,Watford,2,3,3,1819
0,0,4,0,0.3,348,125,3,0,0.7,1.0,2018-11-24T15:00:00Z,67,9,0,0,0,0,13,0,24864,2,3,6.0,2,1690,2592,902,55,False,0,Southampton,Fulham,2,2,3,1819
0,0,0,0,0.0,348,140,0,0,0.0,0.0,2018-12-01T17:30:00Z,0,14,0,0,0,0,14,0,24939,2,2,0.0,0,136,1020,884,55,True,0,Southampton,Man Utd,2,4,3,1819
0,0,27,0,10.9,348,150,0,1,8.9,36.0,2018-12-05T20:00:00Z,20,17,0,0,0,0,15,0,24350,1,3,42.0,5,-619,526,1145,55,False,0,Southampton,Spurs,2,4,3,1819
0,0,3,0,1.8,348,154,1,0,3.6,1.4,2018-12-08T15:00:00Z,74,5,0,0,0,0,16,0,28200,0,1,33.0,2,3375,4224,849,55,False,0,Southampton,Cardiff,2,2,3,1819
0,1,29,0,0.3,348,167,0,1,7.0,34.4,2018-12-16T13:30:00Z,19,1,0,0,0,0,17,0,29049,2,3,35.0,6,837,2690,1853,55,True,0,Southampton,Arsenal,2,4,3,1819
