assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,12,0,19.3,460,3,2,0,4.6,17.8,2018-08-11T14:00:00Z,90,7,0,0,0,0,1,0,14289,2,0,9.0,1,0,0,0,45,True,0,Fulham,Crystal Palace,2,2,1,1819
0,0,3,0,0.0,460,19,0,0,0.1,1.0,2018-08-18T14:00:00Z,5,17,0,0,0,0,2,0,14640,1,3,0.0,1,-890,564,1454,45,False,0,Fulham,Spurs,2,4,1,1819
0,0,0,0,0.0,460,23,0,0,0.0,0.0,2018-08-26T15:00:00Z,0,4,0,0,0,0,3,0,13302,2,4,0.0,0,-1585,266,1851,45,True,0,Fulham,Burnley,2,2,1,1819
0,0,0,0,0.0,460,31,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,3,0,0,0,0,4,0,11937,2,2,0.0,0,-1554,98,1652,44,False,0,Fulham,Brighton,2,2,1,1819
0,0,15,0,22.5,460,45,3,0,5.2,27.0,2018-09-15T14:00:00Z,90,13,0,0,0,0,5,0,10676,0,3,2.0,1,-1337,66,1403,44,False,0,Fulham,Man City,2,5,1,1819
0,0,0,0,0.0,460,56,0,0,0.0,0.0,2018-09-22T11:30:00Z,0,18,0,0,0,0,6,0,10202,1,1,0.0,0,-551,106,657,44,True,0,Fulham,Watford,2,3,1,1819
0,0,7,0,6.0,460,65,3,0,3.8,30.4,2018-09-29T14:00:00Z,82,8,0,0,0,0,7,0,9657,0,3,2.0,0,-576,45,621,43,False,1,Fulham,Everton,2,3,1,1819
0,0,20,0,63.3,460,74,5,0,9.5,21.6,2018-10-07T11:00:00Z,90,1,0,0,0,0,8,0,9318,5,1,10.0,0,-367,63,430,43,True,0,Fulham,Arsenal,2,4,1,1819
0,0,0,0,0.0,460,83,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,5,0,0,0,0,9,0,8973,2,4,0.0,0,-374,158,532,43,False,0,Fulham,Cardiff,2,2,1,1819
0,0,0,0,0.0,460,94,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,2,0,0,0,0,10,0,8629,3,0,0.0,0,-343,28,371,43,True,0,Fulham,Bournemouth,2,2,1,1819
