assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,21,0,0.5,243,9,0,1,5.1,33.0,2019-08-11T15:30:00Z,16,6,0,0,0,0,1,0,128489,0,4,17.0,6,0,0,0,60,True,0,Man Utd,Chelsea,4,4,2,1920
0,0,6,0,6.4,243,20,1,0,2.9,2.8,2019-08-19T19:00:00Z,88,20,0,0,0,0,2,0,171379,1,1,20.0,1,18587,37336,18749,60,False,1,Man Utd,Wolves,4,3,2,1920
0,0,13,0,4.3,243,25,2,1,10.6,36.0,2019-08-24T14:00:00Z,90,7,0,0,0,0,3,0,159810,2,1,66.0,6,-15327,15528,30855,60,True,1,Man Utd,Crystal Palace,4,3,2,1920
0,1,23,0,33.0,243,39,1,1,15.3,52.2,2019-08-31T11:30:00Z,90,16,0,0,0,0,4,0,305785,1,1,68.0,8,119436,147514,28078,60,False,0,Man Utd,Southampton,4,2,2,1920
0,0,-2,1,1.4,243,45,0,0,0.4,0.0,2019-09-14T14:00:00Z,90,9,0,0,0,0,5,0,970465,0,1,6.0,2,596751,649342,52591,62,True,1,Man Utd,Leicester,4,3,2,1920
0,0,7,0,16.5,243,60,2,0,2.7,2.8,2019-09-22T13:00:00Z,90,19,0,0,0,0,6,0,909015,0,2,8.0,2,-41449,106361,147810,62,False,0,Man Utd,West Ham,4,2,2,1920
0,0,8,0,3.4,243,67,1,0,2.9,7.6,2019-09-30T19:00:00Z,90,1,0,0,0,0,7,0,842931,1,1,18.0,2,-75483,62670,138153,62,True,0,Man Utd,Arsenal,4,3,2,1920
0,0,5,0,3.7,243,76,1,0,2.9,5.8,2019-10-06T15:30:00Z,90,13,0,0,0,0,8,0,823518,0,1,19.0,2,-28488,54305,82793,62,False,0,Man Utd,Newcastle,4,2,2,1920
1,1,22,0,26.2,243,87,1,0,5.2,25.8,2019-10-20T15:30:00Z,90,10,0,0,0,0,9,0,721096,1,1,0.0,6,-104028,20554,124582,61,True,0,Man Utd,Liverpool,4,4,2,1920
1,0,22,1,28.4,243,97,0,0,6.0,27.4,2019-10-27T16:30:00Z,79,14,0,0,0,0,10,0,791060,3,1,4.0,6,58232,85058,26826,61,False,0,Man Utd,Norwich,4,2,2,1920
0,0,13,0,37.5,243,103,1,0,5.0,9.0,2019-11-02T12:30:00Z,79,3,0,0,0,0,11,0,858325,0,1,3.0,2,60415,102262,41847,61,False,0,Man Utd,Bournemouth,4,2,2,1920
0,0,10,0,23.0,243,115,1,0,7.4,14.0,2019-11-10T14:00:00Z,90,4,0,0,0,0,12,0,903504,1,3,37.0,2,37848,85925,48077,62,True,0,Man Utd,Brighton,4,2,2,1920
1,0,25,0,17.7,243,128,3,0,5.6,27.0,2019-11-24T16:30:00Z,90,15,0,0,0,0,13,0,891659,3,3,11.0,5,-14683,64198,78881,62,False,0,Man Utd,Sheffield Utd,4,3,2,1920
0,0,7,0,27.6,243,135,2,0,5.4,6.4,2019-12-01T16:30:00Z,90,2,0,0,0,0,14,0,882292,2,2,20.0,2,-13018,41922,54940,62,True,0,Man Utd,Aston Villa,4,2,2,1920
0,0,6,0,6.3,243,144,1,0,3.8,17.4,2019-12-04T19:30:00Z,90,17,0,0,0,0,15,0,805515,1,2,14.0,2,-76551,9830,86381,62,True,0,Man Utd,Spurs,4,3,2,1920
1,0,19,0,42.6,243,155,1,0,9.5,33.8,2019-12-07T17:30:00Z,90,11,0,0,0,0,16,0,737675,2,1,19.0,5,-70256,14898,85154,61,False,0,Man Utd,Man City,4,4,2,1920
1,0,21,0,40.8,243,167,1,0,11.7,29.2,2019-12-15T14:00:00Z,85,8,0,0,0,0,17,0,783659,1,1,47.0,5,38052,72111,34059,61,True,0,Man Utd,Everton,4,2,2,1920
0,0,5,0,11.3,243,179,2,0,1.6,4.4,2019-12-22T14:00:00Z,57,18,0,0,0,0,18,0,883198,0,2,0.0,1,82562,108342,25780,62,False,0,Man Utd,Watford,4,3,2,1920
0,0,0,0,0.0,243,187,0,0,0.0,0.0,2019-12-26T17:30:00Z,0,13,0,0,0,0,19,0,816547,1,4,0.0,0,-52469,21266,73735,62,True,0,Man Utd,Newcastle,4,2,2,1920
1,0,21,1,16.5,243,193,0,0,6.7,24.2,2019-12-28T19:45:00Z,90,5,0,0,0,0,20,0,736125,2,0,26.0,6,-81990,11096,93086,61,False,0,Man Utd,Burnley,4,3,2,1920
0,0,3,0,1.8,243,201,2,0,0.6,0.0,2020-01-01T20:00:00Z,57,1,0,0,0,0,21,0,711716,0,2,4.0,1,-29093,30350,59443,61,False,0,Man Utd,Arsenal,4,4,2,1920
0,0,4,0,1.7,243,217,0,0,2.7,6.8,2020-01-11T15:00:00Z,31,14,0,0,0,0,22,0,650448,0,4,18.0,1,-63292,15917,79209,61,True,0,Man Utd,Norwich,4,2,2,1920
0,0,4,0,2.8,243,224,2,0,0.9,3.8,2020-01-19T16:30:00Z,90,10,0,0,0,0,23,0,567585,0,2,2.0,2,-83397,7659,91056,60,False,0,Man Utd,Liverpool,4,5,2,1920
