assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,0,0,0.0,354,7,0,0,0.0,0.0,2018-08-11T11:30:00Z,0,15,0,0,0,0,1,0,69060,2,1,0.0,0,0,0,0,60,False,0,Spurs,Newcastle,4,3,1,1819
0,0,0,0,0.0,354,19,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,9,0,0,0,0,2,0,65473,1,3,0.0,0,-9971,599,10570,60,True,0,Spurs,Fulham,4,2,1,1819
0,0,18,1,0.6,354,26,0,0,1.4,11.4,2018-08-27T19:00:00Z,81,14,0,0,0,0,3,0,56283,3,0,2.0,5,-10702,334,11036,59,False,1,Spurs,Man Utd,4,4,1,1819
0,0,2,0,0.0,354,39,0,0,0.2,0.0,2018-09-02T15:00:00Z,1,18,0,0,0,0,4,0,52190,1,2,4.0,1,-5206,463,5669,59,False,0,Spurs,Watford,4,3,1,1819
0,0,4,0,2.3,354,48,2,0,2.9,6.2,2018-09-15T11:30:00Z,90,12,0,0,0,0,5,0,51400,2,1,20.0,1,-2266,455,2721,59,True,0,Spurs,Liverpool,4,4,1,1819
1,2,29,0,41.3,354,52,1,0,8.1,35.2,2018-09-22T16:30:00Z,90,3,0,0,0,0,6,0,52045,2,1,4.0,7,-438,1075,1513,59,False,0,Spurs,Brighton,4,2,1,1819
1,0,23,1,1.5,354,66,0,0,1.9,7.2,2018-09-29T14:00:00Z,90,10,0,0,0,0,7,0,62845,2,0,10.0,8,7999,9582,1583,59,False,1,Spurs,Huddersfield,4,2,1,1819
0,0,24,1,26.9,354,79,0,0,5.2,21.4,2018-10-06T14:00:00Z,87,5,0,0,0,0,8,0,77619,0,1,4.0,6,12345,14573,2228,59,True,0,Spurs,Cardiff,4,2,1,1819
0,0,0,0,0.0,354,89,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,19,0,0,0,0,9,0,60742,1,0,0.0,0,-14359,1203,15562,59,False,0,Spurs,West Ham,4,3,1,1819
0,0,0,0,0.0,354,99,0,0,0.0,0.0,2018-10-29T20:00:00Z,0,13,0,0,0,0,10,0,54275,1,0,0.0,0,-7100,101,7201,59,True,0,Spurs,Man City,4,4,1,1819
0,0,0,0,0.0,354,110,0,0,0.0,0.0,2018-11-03T19:45:00Z,0,20,0,0,0,0,11,0,50427,3,2,0.0,0,-4050,71,4121,59,False,0,Spurs,Wolves,4,3,1,1819
0,0,0,0,0.0,354,114,0,0,0.0,0.0,2018-11-10T17:30:00Z,0,7,0,0,0,0,12,0,47757,1,0,0.0,0,-2778,43,2821,59,False,0,Spurs,Crystal Palace,4,2,1,1819
0,0,0,0,0.0,354,127,0,0,0.0,0.0,2018-11-24T17:30:00Z,0,6,0,0,0,0,13,0,45934,1,3,0.0,0,-1910,70,1980,58,True,0,Spurs,Chelsea,4,4,1,1819
0,0,3,0,10.8,354,131,0,0,1.3,2.4,2018-12-02T14:05:00Z,8,1,0,0,0,0,14,0,45648,2,4,0.0,1,-429,148,577,58,False,0,Spurs,Arsenal,4,4,1,1819
0,0,12,0,2.6,354,150,1,0,1.3,8.4,2018-12-05T20:00:00Z,90,16,0,0,0,0,15,0,47739,1,3,2.0,2,1487,1889,402,58,True,0,Spurs,Southampton,4,2,1,1819
0,0,0,0,0.0,354,157,0,0,0.0,0.0,2018-12-08T19:45:00Z,0,11,0,0,0,0,16,0,49498,2,0,0.0,0,1368,2224,856,58,False,0,Spurs,Leicester,4,3,1,1819
0,0,21,1,32.7,354,168,0,0,5.0,13.4,2018-12-15T15:00:00Z,90,4,0,0,0,0,17,0,50486,0,1,4.0,6,546,2122,1576,58,True,0,Spurs,Burnley,4,2,1,1819
0,0,0,0,0.0,354,175,0,0,0.0,0.0,2018-12-23T16:00:00Z,0,8,0,0,0,0,18,0,52101,6,2,0.0,0,1160,2132,972,58,False,0,Spurs,Everton,4,3,1,1819
0,0,23,1,4.2,354,189,0,0,3.0,14.4,2018-12-26T15:00:00Z,90,2,0,0,0,0,19,0,51938,0,5,11.0,6,-649,1141,1790,58,True,0,Spurs,Bournemouth,4,2,1,1819
0,0,0,0,0.0,354,199,0,0,0.0,0.0,2018-12-29T15:00:00Z,0,20,0,0,0,0,20,0,54500,3,1,0.0,0,1838,2993,1155,58,True,0,Spurs,Wolves,4,3,1,1819
0,0,21,1,11.3,354,203,0,0,3.6,19.2,2019-01-01T17:30:00Z,90,5,0,0,0,0,21,0,53427,3,0,5.0,6,-1305,1048,2353,58,False,0,Spurs,Cardiff,4,2,1,1819
0,0,0,0,0.0,354,219,0,0,0.0,0.0,2019-01-13T16:30:00Z,0,14,0,0,0,0,22,0,54183,1,0,0.0,0,-410,1794,2204,58,True,0,Spurs,Man Utd,4,4,1,1819
0,0,15,0,35.3,354,223,1,0,7.3,13.4,2019-01-20T16:00:00Z,90,9,0,0,0,0,23,0,53937,2,1,24.0,1,-775,1255,2030,58,False,1,Spurs,Fulham,4,2,1,1819
1,2,26,0,51.9,354,240,1,0,11.2,38.4,2019-01-30T20:00:00Z,90,18,0,0,0,0,24,0,56076,1,2,22.0,7,1440,3005,1565,58,True,0,Spurs,Watford,4,3,1,1819
0,0,2,0,0.7,354,249,0,0,0.3,0.6,2019-02-02T12:30:00Z,12,15,0,0,0,0,25,0,70128,0,1,2.0,1,10703,12068,1365,58,True,0,Spurs,Newcastle,4,2,1,1819
0,0,1,0,15.1,354,258,1,0,5.2,13.4,2019-02-10T13:30:00Z,87,11,0,0,0,0,26,0,64784,1,3,23.0,1,-2866,1635,4501,58,True,1,Spurs,Leicester,4,3,1,1819
