assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,0,0,0.0,553,80,0,0,0.0,0.0,2019-10-05T16:30:00Z,0,7,0,0,0,0,8,0,0,2,1,0.0,0,0,0,0,40,True,0,West Ham,Crystal Palace,2,3,0,1920
0,0,0,0,0.0,553,85,0,0,0.0,0.0,2019-10-19T11:30:00Z,0,8,0,0,0,0,9,0,5249,0,2,0.0,0,3316,3665,349,40,False,0,West Ham,Everton,2,4,0,1920
0,0,0,0,0.0,553,100,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,15,0,0,0,0,10,0,7414,1,1,0.0,0,1688,2101,413,40,True,0,West Ham,Sheffield Utd,2,3,0,1920
0,0,0,0,0.0,553,110,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,13,0,0,0,0,11,0,11605,3,2,0.0,0,2698,3355,657,40,True,0,West Ham,Newcastle,2,2,0,1920
0,0,0,0,0.0,553,111,0,0,0.0,0.0,2019-11-09T15:00:00Z,0,5,0,0,0,0,12,0,14188,0,3,0.0,0,1517,2287,770,40,False,0,West Ham,Burnley,2,3,0,1920
0,0,0,0,0.0,553,130,0,0,0.0,0.0,2019-11-23T12:30:00Z,0,17,0,0,0,0,13,0,18175,3,2,0.0,0,2832,3881,1049,40,True,0,West Ham,Spurs,2,3,0,1920
0,2,34,1,0.0,553,132,0,0,4.2,42.2,2019-11-30T15:00:00Z,90,6,0,0,0,0,14,6,21285,1,0,0.0,10,2565,3360,795,40,False,0,West Ham,Chelsea,2,4,0,1920
0,0,17,0,0.0,553,146,2,0,4.1,41.0,2019-12-04T19:30:00Z,90,20,0,0,0,0,15,5,55973,0,2,0.0,2,31410,32238,828,40,False,0,West Ham,Wolves,2,3,0,1920
0,0,7,0,0.0,553,160,3,0,0.1,0.8,2019-12-09T20:00:00Z,90,1,0,0,0,0,16,0,90820,3,1,0.0,1,30572,32268,1696,40,True,0,West Ham,Arsenal,2,3,0,1920
0,0,20,1,0.0,553,169,0,0,1.4,14.2,2019-12-14T17:30:00Z,90,16,0,0,0,0,17,2,137146,1,0,0.0,5,39173,42233,3060,40,False,1,West Ham,Southampton,2,2,0,1920
0,0,0,0,0.0,553,184,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,7,0,0,0,0,19,0,134851,1,2,0.0,0,241,6363,6122,41,False,0,West Ham,Crystal Palace,2,3,0,1920
0,0,0,0,0.0,553,200,0,0,0.0,0.0,2019-12-28T17:30:00Z,0,9,0,0,0,0,20,0,133357,2,1,0.0,0,-1818,3378,5196,41,True,0,West Ham,Leicester,2,3,0,1920
0,0,0,0,0.0,553,210,0,0,0.0,0.0,2020-01-01T17:30:00Z,0,3,0,0,0,0,21,0,128080,0,4,0.0,0,-5446,3835,9281,41,True,0,West Ham,Bournemouth,2,2,0,1920
0,0,8,0,0.0,553,218,1,0,1.4,13.8,2020-01-10T20:00:00Z,75,15,0,0,0,0,22,2,121974,0,1,0.0,2,-6281,3596,9877,41,False,0,West Ham,Sheffield Utd,2,3,0,1920
0,0,0,0,0.0,553,230,0,0,0.0,0.0,2020-01-18T15:00:00Z,0,8,0,0,0,0,23,0,140483,1,1,0.0,0,16961,24905,7944,41,True,0,West Ham,Everton,2,2,0,1920
0,0,0,0,0.0,553,234,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,9,0,0,0,0,24,0,138923,1,4,0.0,0,-1517,8013,9530,41,False,0,West Ham,Leicester,2,3,0,1920
0,0,0,0,0.0,553,180,0,0,0.0,0.0,2020-01-29T19:45:00Z,0,10,0,0,0,0,24,0,138923,2,0,0.0,0,-1517,8013,9530,41,True,0,West Ham,Liverpool,2,4,0,1920
0,0,0,0,0.0,553,250,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,4,0,0,0,0,25,0,132869,3,3,0.0,0,-6165,4510,10675,41,True,0,West Ham,Brighton,2,2,0,1920
0,0,0,0,0.0,553,256,0,0,0.0,0.0,2020-02-19T19:30:00Z,0,11,0,0,0,0,26,0,128940,0,2,0.0,0,-4161,2536,6697,41,False,0,West Ham,Man City,2,4,0,1920
0,0,0,0,0.0,553,266,0,0,0.0,0.0,2020-02-24T20:00:00Z,0,10,0,0,0,0,27,0,125635,2,3,0.0,0,-3534,1902,5436,40,False,0,West Ham,Liverpool,2,5,0,1920
0,0,0,0,0.0,553,280,0,0,0.0,0.0,2020-02-29T15:00:00Z,0,16,0,0,0,0,28,0,122384,1,3,0.0,0,-4176,2513,6689,40,True,0,West Ham,Southampton,2,3,0,1920
0,0,0,0,0.0,553,281,0,0,0.0,0.0,2020-03-07T15:00:00Z,0,1,0,0,0,0,29,0,118976,0,1,0.0,0,-2906,2562,5468,40,False,0,West Ham,Arsenal,2,4,0,1920
0,0,0,0,0.0,553,300,0,0,0.0,0.0,2020-06-20T16:30:00Z,0,20,0,0,0,0,39,0,203561,2,0,0.0,0,72143,102521,30378,39,True,0,West Ham,Wolves,2,4,0,1920
0,0,0,0,0.0,553,309,0,0,0.0,0.0,2020-06-23T19:15:00Z,0,17,0,0,0,0,40,0,227142,0,2,0.0,0,23506,40255,16749,39,False,0,West Ham,Spurs,2,4,0,1920
0,0,0,0,0.0,553,320,0,0,0.0,0.0,2020-07-01T19:15:00Z,0,6,0,0,0,0,41,0,229615,2,3,0.0,0,6715,12448,5733,39,True,0,West Ham,Chelsea,2,4,0,1920
0,0,0,0,0.0,553,326,0,0,0.0,0.0,2020-07-05T13:15:00Z,0,13,0,0,0,0,42,0,244122,2,2,0.0,0,9804,16133,6329,39,False,0,West Ham,Newcastle,2,2,0,1920
0,0,0,0,0.0,553,340,0,0,0.0,0.0,2020-07-08T17:00:00Z,0,5,0,0,0,0,43,0,245062,1,0,0.0,0,3807,9149,5342,39,True,0,West Ham,Burnley,2,3,0,1920
0,0,0,0,0.0,553,346,0,0,0.0,0.0,2020-07-11T11:30:00Z,0,14,0,0,0,0,44,0,250343,4,0,0.0,0,1648,9240,7592,39,False,0,West Ham,Norwich,2,2,0,1920
0,0,0,0,0.0,553,360,0,0,0.0,0.0,2020-07-17T19:00:00Z,0,18,0,0,0,0,45,0,256197,1,3,0.0,0,850,7911,7061,39,True,0,West Ham,Watford,2,2,0,1920
0,0,0,0,0.0,553,365,0,0,0.0,0.0,2020-07-22T17:00:00Z,0,12,0,0,0,0,46,0,254071,1,1,0.0,0,486,8233,7747,39,False,0,West Ham,Man Utd,2,4,0,1920
0,0,0,0,0.0,553,380,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,2,0,0,0,0,47,0,279025,1,1,0.0,0,4032,13902,9870,39,True,0,West Ham,Aston Villa,2,2,0,1920
0,0,0,0,0.0,429,6,0,0,0.0,0.0,2020-09-12T19:00:00Z,0,14,0,0,0,0,1,0,498030,2,0,0.0,0,0,0,0,40,True,0,West Ham,Newcastle,4,2,0,2021
0,0,0,0,0.0,429,9,0,0,0.0,0.0,2020-09-19T19:00:00Z,0,1,0,0,0,0,2,0,518484,1,2,0.0,0,-9726,13989,23715,40,False,0,West Ham,Arsenal,4,4,0,2021
0,0,0,0,0.0,429,28,0,0,0.0,0.0,2020-09-27T18:00:00Z,0,20,0,0,0,0,3,0,518377,0,4,0.0,0,-11062,19148,30210,40,True,0,West Ham,Wolves,4,2,0,2021
0,0,0,0,0.0,429,34,0,0,0.0,0.0,2020-10-04T11:00:00Z,0,9,0,0,0,0,4,0,518235,3,0,0.0,0,-6454,12034,18488,40,False,0,West Ham,Leicester,4,4,0,2021
0,0,0,0,0.0,429,47,0,0,0.0,0.0,2020-10-18T15:30:00Z,0,17,0,0,0,0,5,0,529570,3,3,0.0,0,4868,32616,27748,40,False,0,West Ham,Spurs,4,4,0,2021
0,0,0,0,0.0,429,57,0,0,0.0,0.0,2020-10-24T11:30:00Z,0,12,0,0,0,0,6,0,544952,1,1,0.0,0,11269,26575,15306,40,True,0,West Ham,Man City,4,4,0,2021
0,0,0,0,0.0,429,63,0,0,0.0,0.0,2020-10-31T17:30:00Z,0,11,0,0,0,0,7,0,548870,1,2,0.0,0,2788,12963,10175,40,False,0,West Ham,Liverpool,4,3,0,2021
0,0,0,0,0.0,429,78,0,0,0.0,0.0,2020-11-07T20:00:00Z,0,8,0,0,0,0,8,0,550181,0,1,0.0,0,-389,11129,11518,40,True,0,West Ham,Fulham,4,2,0,2021
0,0,0,0,0.0,429,86,0,0,0.0,0.0,2020-11-22T14:00:00Z,0,15,0,0,0,0,9,0,557295,1,0,0.0,0,3319,16761,13442,40,False,0,West Ham,Sheffield Utd,4,2,0,2021
0,0,0,0,0.0,429,98,0,0,0.0,0.0,2020-11-30T20:00:00Z,0,2,0,0,0,0,10,0,559479,1,2,0.0,0,410,9112,8702,40,True,0,West Ham,Aston Villa,4,2,0,2021
0,0,0,0,0.0,429,108,0,0,0.0,0.0,2020-12-05T17:30:00Z,0,13,0,0,0,0,11,0,559526,3,1,0.0,0,-3422,10820,14242,40,True,0,West Ham,Man Utd,4,4,0,2021
0,0,0,0,0.0,429,113,0,0,0.0,0.0,2020-12-11T20:00:00Z,0,10,0,0,0,0,12,0,562307,2,1,0.0,0,3496,11203,7707,40,False,0,West Ham,Leeds,4,3,0,2021
0,0,0,0,0.0,429,125,0,0,0.0,0.0,2020-12-16T20:00:00Z,0,6,0,0,0,0,13,0,563541,1,1,0.0,0,422,7681,7259,40,True,0,West Ham,Crystal Palace,4,2,0,2021
0,0,0,0,0.0,429,131,0,0,0.0,0.0,2020-12-21T20:00:00Z,0,5,0,0,0,0,14,0,563770,0,3,0.0,0,-166,6981,7147,40,False,0,West Ham,Chelsea,4,4,0,2021
0,0,0,0,0.0,429,147,0,0,0.0,0.0,2020-12-27T14:15:00Z,0,3,0,0,0,0,15,0,573874,2,2,0.0,0,6470,13969,7499,40,True,0,West Ham,Brighton,4,3,0,2021
0,0,0,0,0.0,429,156,0,0,0.0,0.0,2020-12-29T18:00:00Z,0,16,0,0,0,0,16,0,573339,0,0,0.0,0,-545,8178,8723,40,False,0,West Ham,Southampton,4,2,0,2021
0,0,0,0,0.0,429,163,0,0,0.0,0.0,2021-01-01T17:30:00Z,0,7,0,0,0,0,17,0,569206,1,0,0.0,0,-4856,10064,14920,40,False,0,West Ham,Everton,4,3,0,2021
