assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,0,0,0.0,325,7,0,0,0.0,0.0,2018-08-11T11:30:00Z,0,17,0,0,0,0,1,0,10803,2,1,0.0,0,0,0,0,60,True,0,Newcastle,Spurs,3,4,3,1819
0,0,0,0,0.0,325,13,0,0,0.0,0.0,2018-08-18T11:30:00Z,0,5,0,0,0,0,2,0,6544,0,0,0.0,0,-4142,45,4187,60,False,0,Newcastle,Cardiff,2,2,3,1819
0,0,0,0,0.0,325,27,0,0,0.0,0.0,2018-08-26T15:00:00Z,0,6,0,0,0,0,3,0,5047,2,1,0.0,0,-1709,18,1727,60,True,0,Newcastle,Chelsea,3,4,3,1819
0,0,0,0,0.0,325,38,0,0,0.0,0.0,2018-09-01T16:30:00Z,0,13,0,0,0,0,4,0,4299,1,2,0.0,0,-824,25,849,60,False,0,Newcastle,Man City,2,5,3,1819
0,0,0,0,0.0,325,46,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,1,0,0,0,0,5,0,3856,2,1,0.0,0,-467,17,484,60,True,0,Newcastle,Arsenal,3,4,3,1819
0,0,0,0,0.0,325,55,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,7,0,0,0,0,6,0,3693,0,0,0.0,0,-180,16,196,60,False,0,Newcastle,Crystal Palace,2,2,3,1819
0,0,0,0,0.0,325,68,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,11,0,0,0,0,7,0,3569,2,0,0.0,0,-135,3,138,60,True,0,Newcastle,Leicester,3,3,3,1819
0,0,0,0,0.0,325,77,0,0,0.0,0.0,2018-10-06T16:30:00Z,0,14,0,0,0,0,8,0,3503,2,3,0.0,0,-83,11,94,60,False,0,Newcastle,Man Utd,2,4,3,1819
0,0,0,0,0.0,325,88,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,3,0,0,0,0,9,0,3415,1,0,0.0,0,-109,5,114,60,True,0,Newcastle,Brighton,3,2,3,1819
0,0,0,0,0.0,325,98,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,16,0,0,0,0,10,0,3389,0,0,0.0,0,-48,9,57,60,False,0,Newcastle,Southampton,2,2,3,1819
0,0,0,0,0.0,325,108,0,0,0.0,0.0,2018-11-03T15:00:00Z,0,18,0,0,0,0,11,0,3358,0,1,0.0,0,-43,2,45,60,True,0,Newcastle,Watford,3,3,3,1819
