assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,18,0,38.6,534,32,2,0,6.2,12.8,2018-09-02T15:00:00Z,79,14,0,0,0,0,4,0,0,2,0,11.0,1,0,0,0,45,True,1,Burnley,Man Utd,3,4,2,1819
0,0,0,0,0.0,534,50,0,0,0.0,0.0,2018-09-16T12:30:00Z,0,20,0,0,0,0,5,0,360,0,1,0.0,0,227,355,128,45,False,0,Burnley,Wolves,2,3,2,1819
0,0,0,0,0.0,534,53,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,2,0,0,0,0,6,0,384,0,4,0.0,0,11,73,62,45,True,0,Burnley,Bournemouth,3,2,2,1819
0,0,0,0,0.0,534,63,0,0,0.0,0.0,2018-09-30T15:00:00Z,0,5,0,0,0,0,7,0,384,2,1,0.0,0,-14,48,62,45,False,0,Burnley,Cardiff,2,2,2,1819
0,0,0,0,0.0,534,72,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,10,0,0,0,0,8,0,408,1,1,0.0,0,4,53,49,45,True,0,Burnley,Huddersfield,3,2,2,1819
0,0,0,0,0.0,534,87,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,13,0,0,0,0,9,0,414,0,5,0.0,0,-14,38,52,45,False,0,Burnley,Man City,2,5,2,1819
0,0,0,0,0.0,534,92,0,0,0.0,0.0,2018-10-28T13:30:00Z,0,6,0,0,0,0,10,0,422,4,0,0.0,0,2,29,27,45,True,0,Burnley,Chelsea,3,4,2,1819
0,0,0,0,0.0,534,109,0,0,0.0,0.0,2018-11-03T15:00:00Z,0,19,0,0,0,0,11,0,417,2,4,0.0,0,-18,36,54,45,False,0,Burnley,West Ham,2,3,2,1819
0,0,0,0,0.0,534,116,0,0,0.0,0.0,2018-11-10T15:00:00Z,0,11,0,0,0,0,12,0,423,0,0,0.0,0,-4,31,35,45,False,0,Burnley,Leicester,2,3,2,1819
0,0,0,0,0.0,534,123,0,0,0.0,0.0,2018-11-26T20:30:00Z,0,15,0,0,0,0,13,0,434,2,1,0.0,0,-3,28,31,45,True,0,Burnley,Newcastle,3,2,2,1819
