assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
2,2,43,1,25.1,447,3,0,0,8.3,56.8,2019-08-10T14:00:00Z,90,16,0,0,0,0,1,0,9332,0,3,1.0,14,0,0,0,45,True,0,Burnley,Southampton,3,3,1,1920
0,0,18,0,5.3,447,11,2,0,2.3,16.8,2019-08-17T11:30:00Z,90,1,0,0,0,0,2,0,210815,1,2,1.0,1,103519,120857,17338,45,False,0,Burnley,Arsenal,3,4,1,1920
0,0,7,0,11.3,447,30,1,0,1.7,4.6,2019-08-25T15:30:00Z,90,20,0,0,0,0,3,0,367103,1,1,1.0,2,122132,162133,40001,46,False,0,Burnley,Wolves,3,3,1,1920
0,0,12,0,1.3,447,32,3,0,2.3,21.4,2019-08-31T16:30:00Z,90,10,0,0,0,0,4,0,474289,3,0,0.0,1,88980,134574,45594,46,True,0,Burnley,Liverpool,3,4,1,1920
0,0,21,0,15.9,447,43,1,0,3.5,19.2,2019-09-14T14:00:00Z,90,4,0,0,0,0,5,0,660147,1,1,0.0,2,165575,216103,50528,47,False,0,Burnley,Brighton,3,2,1,1920
0,1,27,1,13.7,447,52,0,0,3.0,16.6,2019-09-21T14:00:00Z,90,14,0,0,0,0,6,0,678654,0,2,0.0,7,21542,54374,32832,47,True,0,Burnley,Norwich,3,2,1,1920
1,2,27,0,29.2,447,61,2,0,6.2,33.0,2019-09-28T14:00:00Z,90,2,0,0,0,0,7,0,808878,2,2,0.0,6,117151,141942,24791,47,False,0,Burnley,Aston Villa,3,2,1,1920
0,0,5,0,14.6,447,73,0,0,2.0,4.8,2019-10-05T14:00:00Z,54,8,0,0,0,0,8,0,888618,0,1,1.0,1,74056,90963,16907,48,True,0,Burnley,Everton,3,2,1,1920
0,0,10,0,1.8,447,86,2,0,1.8,16.2,2019-10-19T14:00:00Z,90,9,0,0,0,0,9,0,826755,1,2,0.0,1,-52826,20584,73410,48,False,0,Burnley,Leicester,3,3,1,1920
0,0,7,0,2.7,447,93,4,0,2.3,13.6,2019-10-26T16:30:00Z,90,6,0,0,0,0,10,0,822497,4,2,7.0,-1,-10290,15190,25480,48,True,1,Burnley,Chelsea,3,4,1,1920
0,0,4,0,10.9,447,108,3,0,1.5,4.4,2019-11-02T15:00:00Z,45,15,0,0,0,0,11,0,794330,0,3,0.0,0,-28341,14067,42408,48,False,0,Burnley,Sheffield Utd,3,3,1,1920
0,0,0,0,0.0,447,111,0,0,0.0,0.0,2019-11-09T15:00:00Z,0,19,0,0,0,0,12,0,741949,0,3,0.0,0,-52731,6396,59127,47,True,0,Burnley,West Ham,3,2,1,1920
0,0,0,0,0.0,447,129,0,0,0.0,0.0,2019-11-23T15:00:00Z,0,18,0,0,0,0,13,0,668178,3,0,0.0,0,-74134,4356,78490,47,False,0,Burnley,Watford,3,3,1,1920
0,0,-1,0,0.8,447,131,2,0,0.7,0.0,2019-11-30T15:00:00Z,54,7,0,0,0,0,14,0,585112,2,0,8.0,0,-84322,1879,86201,46,True,0,Burnley,Crystal Palace,3,3,1,1920
