assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,0,0,0.0,269,1,0,0,0.0,0.0,2018-08-12T15:00:00Z,0,1,0,0,0,0,1,0,18028,2,0,0.0,0,0,0,0,55,False,0,Man City,Arsenal,4,4,2,1819
0,0,0,0,0.0,269,18,0,0,0.0,0.0,2018-08-19T12:30:00Z,0,10,0,0,0,0,2,0,17704,1,6,0.0,0,-2660,269,2929,55,True,0,Man City,Huddersfield,5,2,2,1819
0,0,0,0,0.0,269,30,0,0,0.0,0.0,2018-08-25T11:30:00Z,0,20,0,0,0,0,3,0,15202,1,1,0.0,0,-3011,213,3224,54,False,0,Man City,Wolves,4,3,2,1819
0,0,0,0,0.0,269,38,0,0,0.0,0.0,2018-09-01T16:30:00Z,0,15,0,0,0,0,4,0,13552,1,2,0.0,0,-1994,150,2144,54,True,0,Man City,Newcastle,5,2,2,1819
0,2,35,1,5.8,269,45,0,0,2.3,17.6,2018-09-15T14:00:00Z,66,9,0,0,0,0,5,0,12728,0,3,0.0,8,-1184,155,1339,53,True,0,Man City,Fulham,5,2,2,1819
0,0,28,1,19.8,269,54,0,0,3.4,14.4,2018-09-22T14:00:00Z,90,5,0,0,0,0,6,0,20326,5,0,0.0,6,6470,7543,1073,53,False,0,Man City,Cardiff,4,2,2,1819
0,0,0,0,0.0,269,67,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,3,0,0,0,0,7,0,35450,0,2,0.0,0,13864,15357,1493,53,True,0,Man City,Brighton,5,2,2,1819
0,0,0,0,0.0,269,76,0,0,0.0,0.0,2018-10-07T15:30:00Z,0,12,0,0,0,0,8,0,22433,0,0,0.0,0,-11830,301,12131,53,False,0,Man City,Liverpool,4,5,2,1819
0,0,0,0,0.0,269,87,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,4,0,0,0,0,9,0,15899,0,5,0.0,0,-6917,87,7004,53,True,0,Man City,Burnley,5,2,2,1819
0,0,0,0,0.0,269,99,0,0,0.0,0.0,2018-10-29T20:00:00Z,0,17,0,0,0,0,10,0,14594,1,0,0.0,0,-1546,80,1626,53,False,0,Man City,Spurs,4,4,2,1819
