assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,16,0,0.0,464,5,4,0,3.8,21.4,2018-08-12T12:30:00Z,90,12,0,0,0,0,1,0,16348,0,4,17.0,-1,0,0,0,45,False,1,West Ham,Liverpool,3,5,1,1819
0,0,12,0,0.8,464,20,2,0,2.6,18.8,2018-08-18T14:00:00Z,90,2,0,0,0,0,2,0,17317,2,1,6.0,1,-589,1070,1659,45,True,0,West Ham,Bournemouth,3,2,1,1819
0,0,11,0,0.4,464,21,3,0,2.3,20.2,2018-08-25T14:00:00Z,90,1,0,0,0,0,3,0,15152,1,3,2.0,1,-2438,303,2741,45,False,0,West Ham,Arsenal,3,4,1,1819
0,0,25,0,0.4,464,40,1,0,4.6,41.4,2018-09-01T14:00:00Z,90,20,0,0,0,0,4,0,14837,1,0,4.0,2,-793,965,1758,45,True,0,West Ham,Wolves,3,3,1,1819
0,0,14,0,0.1,464,43,1,0,2.1,20.8,2018-09-16T15:00:00Z,90,8,0,0,0,0,5,0,13566,3,1,0.0,2,-1419,262,1681,44,False,0,West Ham,Everton,3,3,1,1819
0,2,30,1,10.3,464,60,0,0,3.4,23.6,2018-09-23T12:30:00Z,90,6,0,0,0,0,6,0,13149,0,0,0.0,8,-574,333,907,44,True,0,West Ham,Chelsea,3,4,1,1819
0,0,15,0,0.1,464,69,1,0,3.0,23.8,2018-09-29T11:30:00Z,90,14,0,0,0,0,7,0,15866,1,3,6.0,2,2089,2866,777,44,True,0,West Ham,Man Utd,3,4,1,1819
0,0,10,0,10.8,464,71,1,0,7.6,20.2,2018-10-05T19:00:00Z,90,3,0,0,0,0,8,0,17417,0,1,45.0,2,1323,2075,752,44,False,0,West Ham,Brighton,3,2,1,1819
0,0,14,0,10.8,464,89,1,0,3.6,11.0,2018-10-20T14:00:00Z,90,17,0,0,0,0,9,0,17730,1,0,14.0,2,188,1488,1300,44,True,0,West Ham,Spurs,3,4,1,1819
0,1,25,0,0.3,464,95,1,1,10.7,69.4,2018-10-27T16:30:00Z,90,11,0,0,0,0,10,0,17923,1,1,37.0,9,132,925,793,44,False,0,West Ham,Leicester,3,3,1,1819
0,0,9,0,0.9,464,109,2,0,1.9,9.6,2018-11-03T15:00:00Z,90,4,0,0,0,0,11,0,46177,2,4,8.0,1,25429,27084,1655,44,True,0,West Ham,Burnley,3,2,1,1819
0,0,17,0,0.1,464,115,1,0,2.6,26.0,2018-11-10T15:00:00Z,90,10,0,0,0,0,12,0,54550,1,1,0.0,2,8586,11866,3280,44,False,0,West Ham,Huddersfield,3,2,1,1819
0,0,10,0,0.4,464,129,4,0,1.5,10.4,2018-11-24T15:00:00Z,90,13,0,0,0,0,13,0,53291,4,0,4.0,0,93,6777,6684,44,True,0,West Ham,Man City,3,4,1,1819
0,0,29,1,0.1,464,139,0,0,3.3,32.6,2018-12-01T15:00:00Z,90,15,0,0,0,0,14,0,56639,3,0,0.0,6,2846,5223,2377,44,False,0,West Ham,Newcastle,3,3,1,1819
0,0,0,0,0.0,464,147,0,0,0.0,0.0,2018-12-04T19:45:00Z,0,5,0,0,0,0,15,0,64197,1,3,0.0,0,7553,11556,4003,44,True,0,West Ham,Cardiff,3,2,1,1819
0,0,12,0,0.5,464,160,2,0,3.8,17.4,2018-12-08T15:00:00Z,90,7,0,0,0,0,16,0,72732,2,3,20.0,1,7078,9985,2907,44,True,0,West Ham,Crystal Palace,3,2,1,1819
0,0,25,1,0.1,464,163,0,0,3.2,28.0,2018-12-15T17:30:00Z,90,9,0,0,0,0,17,0,74767,2,0,4.0,6,2726,6812,4086,44,False,0,West Ham,Fulham,3,2,1,1819
0,0,-2,0,0.0,464,179,1,0,0.7,7.0,2018-12-22T15:00:00Z,33,18,0,0,0,0,18,0,100926,2,0,0.0,0,24765,27406,2641,44,True,1,West Ham,Watford,3,3,1,1819
0,0,0,0,0.0,464,188,0,0,0.0,0.0,2018-12-27T19:45:00Z,0,16,0,0,0,0,19,0,82186,2,1,0.0,0,-16828,938,17766,45,False,0,West Ham,Southampton,3,2,1,1819
0,0,0,0,0.0,464,192,0,0,0.0,0.0,2018-12-30T14:15:00Z,0,4,0,0,0,0,20,0,66028,0,2,0.0,0,-16417,161,16578,44,False,0,West Ham,Burnley,3,3,1,1819
0,0,0,0,0.0,464,209,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,3,0,0,0,0,21,0,57046,2,2,0.0,0,-9517,215,9732,44,True,0,West Ham,Brighton,3,2,1,1819
0,0,0,0,0.0,464,220,0,0,0.0,0.0,2019-01-12T12:30:00Z,0,1,0,0,0,0,22,0,38972,0,1,0.0,0,-18138,181,18319,43,True,0,West Ham,Arsenal,3,4,1,1819
0,0,0,0,0.0,464,222,0,0,0.0,0.0,2019-01-19T15:00:00Z,0,2,0,0,0,0,23,0,28694,0,2,0.0,0,-10366,29,10395,43,False,0,West Ham,Bournemouth,3,3,1,1819
0,0,0,0,0.0,464,236,0,0,0.0,0.0,2019-01-29T19:45:00Z,0,20,0,0,0,0,24,0,25100,0,3,0.0,0,-3757,85,3842,42,False,0,West Ham,Wolves,3,3,1,1819
0,0,0,0,0.0,464,250,0,0,0.0,0.0,2019-02-04T20:00:00Z,0,12,0,0,0,0,25,0,22792,1,1,0.0,0,-2081,54,2135,42,True,0,West Ham,Liverpool,3,4,1,1819
0,0,0,0,0.0,464,252,0,0,0.0,0.0,2019-02-09T15:00:00Z,0,7,0,0,0,0,26,0,21509,1,1,0.0,0,-1562,55,1617,42,False,0,West Ham,Crystal Palace,3,2,1,1819
0,0,0,0,0.0,464,270,0,0,0.0,0.0,2019-02-22T19:45:00Z,0,9,0,0,0,0,27,0,19440,1,3,0.0,0,-1773,96,1869,42,True,0,West Ham,Fulham,3,2,1,1819
0,0,0,0,0.0,464,278,0,0,0.0,0.0,2019-02-27T20:00:00Z,0,13,0,0,0,0,28,0,19154,0,1,0.0,0,-645,79,724,42,False,0,West Ham,Man City,3,5,1,1819
0,0,0,0,0.0,464,289,0,0,0.0,0.0,2019-03-02T17:30:00Z,0,15,0,0,0,0,29,0,18585,0,2,0.0,0,-586,73,659,42,True,0,West Ham,Newcastle,3,2,1,1819
0,0,0,0,0.0,464,292,0,0,0.0,0.0,2019-03-09T15:00:00Z,0,5,0,0,0,0,30,0,18579,0,2,0.0,0,-30,441,471,42,False,0,West Ham,Cardiff,3,2,1,1819
0,0,0,0,0.0,464,309,0,0,0.0,0.0,2019-03-16T15:00:00Z,0,10,0,0,0,0,31,0,20628,3,4,0.0,0,581,976,395,42,True,0,West Ham,Huddersfield,3,2,1,1819
0,0,0,0,0.0,464,320,0,0,0.0,0.0,2019-03-30T17:30:00Z,0,8,0,0,0,0,32,0,17260,2,0,0.0,0,-824,197,1021,42,True,0,West Ham,Everton,3,2,1,1819
0,0,13,0,0.1,464,322,2,0,2.2,18.2,2019-04-08T19:00:00Z,90,6,0,0,0,0,33,0,17954,0,2,4.0,1,-423,72,495,42,False,0,West Ham,Chelsea,3,4,1,1819
0,0,11,0,0.8,464,337,2,0,4.0,13.6,2019-04-13T16:30:00Z,90,14,0,0,0,0,34,0,16755,1,2,26.0,1,-1233,174,1407,42,False,0,West Ham,Man Utd,3,4,1,1819
0,0,14,0,0.6,464,349,2,0,1.6,13.6,2019-04-20T14:00:00Z,90,11,0,0,0,0,35,0,16614,2,2,2.0,1,-141,265,406,42,True,0,West Ham,Leicester,3,3,1,1819
0,0,21,1,3.2,464,359,0,0,2.4,20.4,2019-04-27T11:30:00Z,90,17,0,0,0,0,36,0,16636,1,0,0.0,6,-20,188,208,42,False,0,West Ham,Spurs,3,4,1,1819
0,0,27,1,0.0,464,369,0,0,3.1,29.2,2019-05-04T14:00:00Z,90,16,0,0,0,0,37,0,17854,0,3,2.0,6,1097,1266,169,42,True,0,West Ham,Southampton,3,2,1,1819
0,0,17,0,0.1,464,380,1,0,3.8,38.0,2019-05-12T14:00:00Z,90,18,0,0,0,0,38,0,18766,4,1,0.0,2,804,1145,341,42,False,0,West Ham,Watford,3,3,1,1819
0,0,6,0,0.4,382,8,5,0,0.6,5.6,2019-08-10T11:30:00Z,90,11,0,0,0,0,1,0,27470,5,0,0.0,-1,0,0,0,45,True,1,West Ham,Man City,2,4,1,1920
0,0,0,0,0.0,382,13,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,4,0,0,0,0,2,0,27970,1,1,0.0,0,-1768,891,2659,45,False,0,West Ham,Brighton,2,2,1,1920
0,0,0,0,0.0,382,29,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,18,0,0,0,0,3,0,25125,3,1,0.0,0,-3427,489,3916,45,False,0,West Ham,Watford,2,3,1,1920
0,0,0,0,0.0,382,40,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,14,0,0,0,0,4,0,23130,0,2,0.0,0,-2618,608,3226,44,True,0,West Ham,Norwich,2,2,1,1920
0,0,3,0,0.0,382,41,0,0,0.0,0.0,2019-09-16T19:00:00Z,1,2,0,0,0,0,5,0,21481,0,0,0.0,1,-2243,705,2948,44,False,0,West Ham,Aston Villa,2,2,1,1920
0,0,0,0,0.0,382,60,0,0,0.0,0.0,2019-09-22T13:00:00Z,0,12,0,0,0,0,6,0,20734,0,2,0.0,0,-940,416,1356,44,True,0,West Ham,Man Utd,2,4,1,1920
0,0,0,0,0.0,382,62,0,0,0.0,0.0,2019-09-28T14:00:00Z,0,3,0,0,0,0,7,0,19527,2,2,0.0,0,-1375,294,1669,44,False,0,West Ham,Bournemouth,2,2,1,1920
0,0,0,0,0.0,382,80,0,0,0.0,0.0,2019-10-05T16:30:00Z,0,7,0,0,0,0,8,0,18985,2,1,0.0,0,-730,424,1154,43,True,0,West Ham,Crystal Palace,2,3,1,1920
0,0,0,0,0.0,382,85,0,0,0.0,0.0,2019-10-19T11:30:00Z,0,8,0,0,0,0,9,0,18372,0,2,0.0,0,-718,255,973,43,False,0,West Ham,Everton,2,4,1,1920
0,0,11,0,0.6,382,100,1,0,1.5,10.8,2019-10-26T14:00:00Z,90,15,0,0,0,0,10,0,18009,1,1,4.0,1,-458,122,580,43,True,1,West Ham,Sheffield Utd,2,3,1,1920
0,0,20,0,2.0,382,110,3,1,13.1,48.2,2019-11-02T15:00:00Z,90,13,0,0,0,0,11,0,17923,3,2,81.0,7,-179,399,578,43,True,0,West Ham,Newcastle,2,2,1,1920
0,0,8,0,0.3,382,111,3,0,1.8,15.4,2019-11-09T15:00:00Z,90,5,0,0,0,0,12,0,18419,0,3,2.0,1,299,736,437,43,False,0,West Ham,Burnley,2,3,1,1920
0,0,0,0,0.0,382,130,0,0,0.0,0.0,2019-11-23T12:30:00Z,0,17,0,0,0,0,13,0,18314,3,2,0.0,0,-186,598,784,43,True,0,West Ham,Spurs,2,3,1,1920
0,1,30,1,10.2,382,132,0,0,5.0,20.4,2019-11-30T15:00:00Z,90,6,0,0,0,0,14,0,17951,1,0,19.0,7,-424,258,682,43,False,0,West Ham,Chelsea,2,4,1,1920
0,0,13,0,3.3,382,146,2,0,2.6,20.8,2019-12-04T19:30:00Z,90,20,0,0,0,0,15,0,19860,0,2,2.0,1,1595,1898,303,43,False,0,West Ham,Wolves,2,3,1,1920
0,0,10,0,0.6,382,160,3,0,2.4,21.4,2019-12-09T20:00:00Z,90,1,0,0,0,0,16,0,19828,3,1,2.0,1,21,532,511,43,True,0,West Ham,Arsenal,2,3,1,1920
0,2,25,1,0.0,382,169,0,0,2.7,27.0,2019-12-14T17:30:00Z,90,16,0,0,0,0,17,0,20336,1,0,0.0,8,313,1016,703,43,False,0,West Ham,Southampton,2,2,1,1920
0,0,10,0,0.1,382,184,2,0,1.6,16.0,2019-12-26T15:00:00Z,90,7,0,0,0,0,19,0,26605,1,2,0.0,1,1831,2568,737,43,False,0,West Ham,Crystal Palace,2,3,1,1920
0,0,10,0,0.5,382,200,2,0,6.1,21.2,2019-12-28T17:30:00Z,90,9,0,0,0,0,20,0,26978,2,1,39.0,1,320,1305,985,43,True,0,West Ham,Leicester,2,3,1,1920
0,0,29,1,0.0,382,210,0,0,1.5,15.2,2020-01-01T17:30:00Z,90,3,0,0,0,0,21,0,29480,0,4,0.0,6,2297,4127,1830,43,True,0,West Ham,Bournemouth,2,2,1,1920
0,0,14,0,0.2,382,218,1,0,2.6,26.0,2020-01-10T20:00:00Z,90,15,0,0,0,0,22,0,35731,0,1,0.0,2,5873,8551,2678,43,False,0,West Ham,Sheffield Utd,2,3,1,1920
0,0,0,0,0.0,382,230,0,0,0.0,0.0,2020-01-18T15:00:00Z,0,8,0,0,0,0,23,0,39093,1,1,0.0,0,3210,6024,2814,43,True,0,West Ham,Everton,2,2,1,1920
0,0,0,0,0.0,382,234,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,9,0,0,0,0,24,0,36572,1,4,0.0,0,-2418,1137,3555,43,False,0,West Ham,Leicester,2,3,1,1920
0,0,0,0,0.0,382,180,0,0,0.0,0.0,2020-01-29T19:45:00Z,0,10,0,0,0,0,24,0,36572,2,0,0.0,0,-2418,1137,3555,43,True,0,West Ham,Liverpool,2,4,1,1920
0,0,0,0,0.0,382,250,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,4,0,0,0,0,25,0,33037,3,3,0.0,0,-3572,211,3783,43,True,0,West Ham,Brighton,2,2,1,1920
0,0,0,0,0.0,382,256,0,0,0.0,0.0,2020-02-19T19:30:00Z,0,11,0,0,0,0,26,0,30067,0,2,0.0,0,-3084,59,3143,43,False,0,West Ham,Man City,2,4,1,1920
0,0,0,0,0.0,382,266,0,0,0.0,0.0,2020-02-24T20:00:00Z,0,10,0,0,0,0,27,0,28152,2,3,0.0,0,-1986,84,2070,43,False,0,West Ham,Liverpool,2,5,1,1920
0,0,0,0,0.0,382,280,0,0,0.0,0.0,2020-02-29T15:00:00Z,0,16,0,0,0,0,28,0,26471,1,3,0.0,0,-1502,56,1558,43,True,0,West Ham,Southampton,2,3,1,1920
0,0,0,0,0.0,382,281,0,0,0.0,0.0,2020-03-07T15:00:00Z,0,1,0,0,0,0,29,0,25568,0,1,0.0,0,-1032,39,1071,43,False,0,West Ham,Arsenal,2,4,1,1920
0,0,0,0,0.0,382,300,0,0,0.0,0.0,2020-06-20T16:30:00Z,0,20,0,0,0,0,39,0,23335,2,0,0.0,0,-1952,338,2290,43,True,0,West Ham,Wolves,2,4,1,1920
0,0,12,0,0.3,382,309,2,0,2.0,19.2,2020-06-23T19:15:00Z,90,17,0,0,0,0,40,0,23152,0,2,0.0,1,-278,55,333,43,False,0,West Ham,Spurs,2,4,1,1920
0,0,3,0,0.0,382,320,0,0,0.0,0.0,2020-07-01T19:15:00Z,1,6,0,0,0,0,41,0,23030,2,3,0.0,1,-144,68,212,43,True,0,West Ham,Chelsea,2,4,1,1920
0,0,0,0,0.0,382,326,0,0,0.0,0.0,2020-07-05T13:15:00Z,0,13,0,0,0,0,42,0,22952,2,2,0.0,0,-119,144,263,43,False,0,West Ham,Newcastle,2,2,1,1920
0,0,0,0,0.0,382,340,0,0,0.0,0.0,2020-07-08T17:00:00Z,0,5,0,0,0,0,43,0,22840,1,0,0.0,0,-152,115,267,43,True,0,West Ham,Burnley,2,3,1,1920
0,0,3,0,0.0,382,346,0,0,0.1,0.8,2020-07-11T11:30:00Z,3,14,0,0,0,0,44,0,22670,4,0,0.0,1,-183,130,313,43,False,0,West Ham,Norwich,2,2,1,1920
0,0,3,0,0.0,382,360,0,0,0.0,0.0,2020-07-17T19:00:00Z,1,18,0,0,0,0,45,0,22618,1,3,0.0,1,-105,93,198,43,True,0,West Ham,Watford,2,2,1,1920
0,0,0,0,0.0,382,365,0,0,0.0,0.0,2020-07-22T17:00:00Z,0,12,0,0,0,0,46,0,22483,1,1,0.0,0,-109,74,183,43,False,0,West Ham,Man Utd,2,4,1,1920
0,0,0,0,0.0,382,380,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,2,0,0,0,0,47,0,22498,1,1,0.0,0,-26,257,283,43,True,0,West Ham,Aston Villa,2,2,1,1920
0,0,0,0,0.0,443,6,0,0,0.0,0.0,2020-09-12T19:00:00Z,0,14,0,0,0,0,1,0,11269,2,0,0.0,0,0,0,0,45,True,0,West Ham,Newcastle,4,2,1,2021
0,0,0,0,0.0,443,9,0,0,0.0,0.0,2020-09-19T19:00:00Z,0,1,0,0,0,0,2,0,10766,1,2,0.0,0,-1753,316,2069,45,False,0,West Ham,Arsenal,4,4,1,2021
0,0,26,1,3.1,443,28,0,0,2.1,17.4,2020-09-27T18:00:00Z,90,20,0,0,0,0,3,0,9947,0,4,0.0,6,-1411,343,1754,44,True,0,West Ham,Wolves,4,2,1,2021
0,0,24,1,0.1,443,34,0,0,2.4,16.0,2020-10-04T11:00:00Z,90,9,0,0,0,0,4,0,12335,3,0,8.0,6,1417,2697,1280,44,False,0,West Ham,Leicester,4,4,1,2021
0,0,24,0,0.3,443,47,3,1,6.6,49.0,2020-10-18T15:30:00Z,90,17,0,0,0,0,5,0,28050,3,3,17.0,7,12609,18424,5815,44,False,0,West Ham,Spurs,4,4,1,2021
0,0,8,0,0.0,443,57,1,0,1.8,18.2,2020-10-24T11:30:00Z,90,12,0,0,0,0,6,0,59540,1,1,0.0,1,27818,35380,7562,44,True,1,West Ham,Man City,4,4,1,2021
0,0,8,0,0.0,443,63,2,0,1.9,17.0,2020-10-31T17:30:00Z,90,11,0,0,0,0,7,0,72502,1,2,2.0,1,12590,18165,5575,44,False,0,West Ham,Liverpool,4,3,1,2021
0,0,24,1,1.9,443,78,0,0,2.8,18.8,2020-11-07T20:00:00Z,90,8,0,0,0,0,8,0,94399,0,1,7.0,6,19176,25550,6374,44,True,0,West Ham,Fulham,4,2,1,2021
0,0,25,1,0.3,443,86,0,0,1.0,9.8,2020-11-22T14:00:00Z,90,15,0,0,0,0,9,0,109087,1,0,0.0,6,13709,21193,7484,44,False,0,West Ham,Sheffield Utd,4,2,1,2021
0,0,11,0,0.1,443,98,1,0,1.8,17.8,2020-11-30T20:00:00Z,90,2,0,0,0,0,10,0,124540,1,2,0.0,2,14622,19306,4684,44,True,0,West Ham,Aston Villa,4,2,1,2021
0,0,8,0,0.6,443,108,3,0,3.9,20.4,2020-12-05T17:30:00Z,90,13,0,0,0,0,11,0,135996,3,1,18.0,1,11414,19032,7618,44,True,0,West Ham,Man Utd,4,4,1,2021
0,0,1,0,0.2,443,113,1,0,3.7,15.4,2020-12-11T20:00:00Z,90,10,0,0,0,0,12,0,151045,2,1,21.0,2,13669,21417,7748,44,False,0,West Ham,Leeds,4,3,1,2021
0,0,0,0,0.0,443,125,0,0,0.0,0.0,2020-12-16T20:00:00Z,0,6,0,0,0,0,13,0,176253,1,1,0.0,0,24113,30547,6434,45,True,0,West Ham,Crystal Palace,4,2,1,2021
0,0,11,0,0.5,443,131,3,0,2.0,17.2,2020-12-21T20:00:00Z,90,5,0,0,0,0,14,0,149063,0,3,2.0,1,-26027,3555,29582,45,False,0,West Ham,Chelsea,4,4,1,2021
0,0,15,0,0.6,443,147,2,0,2.4,23.4,2020-12-27T14:15:00Z,90,3,0,0,0,0,15,0,164612,2,2,0.0,1,12925,26234,13309,44,True,0,West Ham,Brighton,4,3,1,2021
0,0,0,0,0.0,443,156,0,0,0.0,0.0,2020-12-29T18:00:00Z,0,16,0,0,0,0,16,0,173556,0,0,0.0,0,9140,20108,10968,44,False,0,West Ham,Southampton,4,2,1,2021
0,0,0,0,0.0,443,163,0,0,0.0,0.0,2021-01-01T17:30:00Z,0,7,0,0,0,0,17,0,169469,1,0,0.0,0,-4433,15363,19796,44,False,0,West Ham,Everton,4,3,1,2021
0,0,0,0,0.0,443,187,0,0,0.0,0.0,2021-01-16T15:00:00Z,0,4,0,0,0,0,19,0,103782,0,1,0.0,0,-44221,7268,51489,44,True,0,West Ham,Burnley,4,2,1,2021
