assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,0,0,0.0,329,8,0,0,0.0,0.0,2018-08-12T12:30:00Z,0,4,0,0,0,0,1,0,65137,0,0,0.0,0,0,0,0,45,True,0,Southampton,Burnley,2,2,0,1819
0,0,0,0,0.0,329,16,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,8,0,0,0,0,2,0,62318,1,2,0.0,0,-7075,583,7658,45,False,0,Southampton,Everton,2,3,0,1819
0,0,0,0,0.0,329,28,0,0,0.0,0.0,2018-08-25T14:00:00Z,0,11,0,0,0,0,3,0,55939,2,1,0.0,0,-7527,543,8070,45,True,0,Southampton,Leicester,2,3,0,1819
0,0,0,0,0.0,329,35,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,7,0,0,0,0,4,0,53169,2,0,0.0,0,-4150,862,5012,44,False,0,Southampton,Crystal Palace,2,2,0,1819
0,0,0,0,0.0,329,47,0,0,0.0,0.0,2018-09-17T19:00:00Z,0,3,0,0,0,0,5,0,50209,2,2,0.0,0,-3855,628,4483,44,True,0,Southampton,Brighton,2,2,0,1819
0,0,0,0,0.0,329,58,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,12,0,0,0,0,6,0,48170,0,3,0.0,0,-2474,300,2774,44,False,0,Southampton,Liverpool,2,5,0,1819
0,0,0,0,0.0,329,70,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,20,0,0,0,0,7,0,46452,0,2,0.0,0,-2007,194,2201,44,False,0,Southampton,Wolves,2,3,0,1819
0,0,0,0,0.0,329,78,0,0,0.0,0.0,2018-10-07T13:15:00Z,0,6,0,0,0,0,8,0,45061,3,0,0.0,0,-1541,147,1688,44,True,0,Southampton,Chelsea,2,4,0,1819
0,0,0,0,0.0,329,82,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,2,0,0,0,0,9,0,44251,0,0,0.0,0,-1255,595,1850,43,False,0,Southampton,Bournemouth,2,3,0,1819
0,0,0,0,0.0,329,98,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,15,0,0,0,0,10,0,43654,0,0,0.0,0,-840,376,1216,43,True,0,Southampton,Newcastle,2,2,0,1819
0,0,0,0,0.0,329,107,0,0,0.0,0.0,2018-11-04T15:00:00Z,0,13,0,0,0,0,11,0,42909,1,6,0.0,0,-947,339,1286,43,False,0,Southampton,Man City,2,5,0,1819
0,0,0,0,0.0,329,120,0,0,0.0,0.0,2018-11-10T15:00:00Z,0,18,0,0,0,0,12,0,42327,1,1,0.0,0,-731,237,968,43,True,0,Southampton,Watford,2,3,0,1819
0,0,0,0,0.0,329,125,0,0,0.0,0.0,2018-11-24T15:00:00Z,0,9,0,0,0,0,13,0,41859,2,3,0.0,0,-695,243,938,43,False,0,Southampton,Fulham,2,2,0,1819
0,0,0,0,0.0,329,140,0,0,0.0,0.0,2018-12-01T17:30:00Z,0,14,0,0,0,0,14,0,41589,2,2,0.0,0,-365,148,513,43,True,0,Southampton,Man Utd,2,4,0,1819
0,0,0,0,0.0,329,150,0,0,0.0,0.0,2018-12-05T20:00:00Z,0,17,0,0,0,0,15,0,41249,1,3,0.0,0,-419,169,588,43,False,0,Southampton,Spurs,2,4,0,1819
0,0,0,0,0.0,329,154,0,0,0.0,0.0,2018-12-08T15:00:00Z,0,5,0,0,0,0,16,0,40889,0,1,0.0,0,-442,162,604,43,False,0,Southampton,Cardiff,2,2,0,1819
0,0,0,0,0.0,329,167,0,0,0.0,0.0,2018-12-16T13:30:00Z,0,1,0,0,0,0,17,0,40523,2,3,0.0,0,-544,214,758,43,True,0,Southampton,Arsenal,2,4,0,1819
0,0,0,0,0.0,329,176,0,0,0.0,0.0,2018-12-22T15:00:00Z,0,10,0,0,0,0,18,0,40322,3,1,0.0,0,-359,218,577,43,False,0,Southampton,Huddersfield,2,2,0,1819
0,0,0,0,0.0,329,188,0,0,0.0,0.0,2018-12-27T19:45:00Z,0,19,0,0,0,0,19,0,40023,2,1,0.0,0,-469,276,745,43,True,0,Southampton,West Ham,2,3,0,1819
0,0,0,0,0.0,329,198,0,0,0.0,0.0,2018-12-30T14:15:00Z,0,13,0,0,0,0,20,0,39608,3,1,0.0,0,-531,189,720,43,True,0,Southampton,Man City,2,4,0,1819
0,0,0,0,0.0,329,204,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,6,0,0,0,0,21,0,39160,0,0,0.0,0,-544,142,686,43,False,0,Southampton,Chelsea,2,4,0,1819
0,0,0,0,0.0,329,217,0,0,0.0,0.0,2019-01-12T15:00:00Z,0,11,0,0,0,0,22,0,38940,2,1,0.0,0,-510,353,863,42,False,0,Southampton,Leicester,2,3,0,1819
0,0,0,0,0.0,329,228,0,0,0.0,0.0,2019-01-19T15:00:00Z,0,8,0,0,0,0,23,0,38687,1,2,0.0,0,-419,424,843,42,True,0,Southampton,Everton,2,2,0,1819
0,0,0,0,0.0,329,239,0,0,0.0,0.0,2019-01-30T19:45:00Z,0,7,0,0,0,0,24,0,38696,1,1,0.0,0,-226,347,573,42,True,0,Southampton,Crystal Palace,2,2,0,1819
0,0,0,0,0.0,329,242,0,0,0.0,0.0,2019-02-02T15:00:00Z,0,4,0,0,0,0,25,0,38531,1,1,0.0,0,-187,141,328,42,False,0,Southampton,Burnley,2,3,0,1819
0,0,0,0,0.0,329,257,0,0,0.0,0.0,2019-02-09T15:00:00Z,0,5,0,0,0,0,26,0,38435,2,1,0.0,0,-271,261,532,42,True,0,Southampton,Cardiff,2,2,0,1819
0,0,0,0,0.0,329,261,0,0,0.0,0.0,2019-02-24T14:05:00Z,0,1,0,0,0,0,27,0,38242,0,2,0.0,0,-317,252,569,42,False,0,Southampton,Arsenal,2,4,0,1819
0,0,0,0,0.0,329,280,0,0,0.0,0.0,2019-02-27T19:45:00Z,0,9,0,0,0,0,28,0,38261,0,2,0.0,0,-96,106,202,42,True,0,Southampton,Fulham,2,2,0,1819
0,0,0,0,0.0,329,286,0,0,0.0,0.0,2019-03-02T15:00:00Z,0,14,0,0,0,0,29,0,38125,2,3,0.0,0,-188,102,290,42,False,0,Southampton,Man Utd,2,4,0,1819
0,0,0,0,0.0,329,300,0,0,0.0,0.0,2019-03-09T15:00:00Z,0,17,0,0,0,0,30,0,37999,1,2,0.0,0,-183,97,280,42,True,0,Southampton,Spurs,2,4,0,1819
0,0,0,0,0.0,329,312,0,0,0.0,0.0,2019-03-30T15:00:00Z,0,3,0,0,0,0,32,0,37706,1,0,0.0,0,-185,115,300,42,False,0,Southampton,Brighton,2,2,0,1819
0,0,0,0,0.0,329,327,0,0,0.0,0.0,2019-04-05T19:00:00Z,0,12,0,0,0,0,33,0,37653,3,1,0.0,0,-117,70,187,42,True,0,Southampton,Liverpool,2,4,0,1819
0,0,0,0,0.0,329,338,0,0,0.0,0.0,2019-04-13T14:00:00Z,0,20,0,0,0,0,34,0,37676,1,3,0.0,0,-46,243,289,42,True,0,Southampton,Wolves,2,3,0,1819
0,0,0,0,0.0,329,348,0,0,0.0,0.0,2019-04-20T16:30:00Z,0,15,0,0,0,0,35,0,37742,1,3,0.0,0,-22,346,368,42,False,0,Southampton,Newcastle,2,3,0,1819
0,0,0,0,0.0,329,308,0,0,0.0,0.0,2019-04-23T18:45:00Z,0,18,0,0,0,0,35,0,37742,1,1,0.0,0,-22,346,368,42,False,0,Southampton,Watford,2,3,0,1819
0,0,0,0,0.0,329,358,0,0,0.0,0.0,2019-04-27T14:00:00Z,0,2,0,0,0,0,36,0,37647,3,3,0.0,0,-88,128,216,42,True,0,Southampton,Bournemouth,2,2,0,1819
0,0,13,0,0.0,329,369,3,0,2.2,22.2,2019-05-04T14:00:00Z,90,19,0,0,0,0,37,3,37604,0,3,0.0,2,-89,144,233,42,False,0,Southampton,West Ham,2,3,0,1819
