assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,0,0,0.0,505,2,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,15,0,0,0,0,1,0,62133,1,1,0.0,0,0,0,0,60,True,0,Bournemouth,Sheffield Utd,2,3,2,1920
0,1,26,0,4.3,505,12,1,1,7.8,33.4,2019-08-17T14:00:00Z,75,2,0,0,0,0,2,0,60604,2,1,40.0,8,-9460,8355,17815,60,False,0,Bournemouth,Aston Villa,2,2,2,1920
0,0,28,0,27.7,505,22,2,1,9.4,41.4,2019-08-25T13:00:00Z,53,11,0,0,0,0,3,0,82050,3,1,25.0,6,15595,28672,13077,60,True,0,Bournemouth,Man City,2,4,2,1920
0,0,5,0,13.5,505,36,2,0,3.4,2.0,2019-08-31T14:00:00Z,63,9,0,0,0,0,4,0,186324,1,3,18.0,2,92477,112825,20348,60,False,0,Bournemouth,Leicester,2,3,2,1920
0,0,2,0,2.3,505,42,1,0,2.0,2.2,2019-09-15T13:00:00Z,56,8,0,0,0,0,5,0,212025,1,3,15.0,1,23824,54846,31022,60,True,0,Bournemouth,Everton,2,2,2,1920
0,0,23,0,0.8,505,59,1,1,4.9,31.0,2019-09-20T19:00:00Z,62,16,0,0,0,0,6,0,206403,3,1,17.0,6,-6930,26392,33322,60,False,1,Bournemouth,Southampton,2,2,2,1920
0,0,8,0,20.5,505,62,2,0,3.2,11.0,2019-09-28T14:00:00Z,77,19,0,0,0,0,7,0,268985,2,2,0.0,2,56560,74810,18250,61,True,0,Bournemouth,West Ham,2,2,2,1920
0,0,8,0,14.8,505,71,1,0,2.3,6.6,2019-10-06T13:00:00Z,78,1,0,0,0,0,8,0,248125,0,1,2.0,2,-18152,15704,33856,61,False,0,Bournemouth,Arsenal,2,4,2,1920
0,0,7,1,6.4,505,82,0,0,3.0,11.4,2019-10-19T14:00:00Z,68,14,0,0,0,0,9,0,252978,0,0,12.0,3,930,24352,23422,61,True,0,Bournemouth,Norwich,2,2,2,1920
0,0,5,0,24.2,505,99,0,0,4.9,3.8,2019-10-26T14:00:00Z,29,18,0,0,0,0,10,0,239354,0,0,21.0,1,-13463,7934,21397,61,False,0,Bournemouth,Watford,2,3,2,1920
0,0,4,1,3.3,505,103,0,0,7.8,9.2,2019-11-02T12:30:00Z,85,12,0,0,0,0,11,0,192079,0,1,65.0,3,-46794,3120,49914,60,True,0,Bournemouth,Man Utd,2,4,2,1920
0,3,26,0,1.4,505,116,2,1,7.1,34.6,2019-11-09T15:00:00Z,65,13,0,0,0,0,12,0,188930,1,2,35.0,10,-5497,10104,15601,60,False,0,Bournemouth,Newcastle,2,2,2,1920
0,0,2,0,1.0,505,123,2,0,1.0,0.0,2019-11-23T15:00:00Z,45,20,0,0,0,0,13,0,229781,2,1,10.0,1,35409,45266,9857,60,True,0,Bournemouth,Wolves,2,4,2,1920
0,1,38,0,0.6,505,139,1,2,12.5,66.2,2019-11-30T15:00:00Z,27,17,0,0,0,0,14,0,204969,2,3,58.0,12,-20998,6464,27462,60,False,0,Bournemouth,Spurs,2,4,2,1920
