assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,10,0,13.8,233,6,1,0,5.1,8.2,2018-08-10T19:00:00Z,62,14,0,0,0,0,1,0,32765,1,2,29.0,2,0,0,0,65,False,0,Leicester,Man Utd,3,4,2,1819
0,1,32,1,4.8,233,17,0,1,5.5,41.4,2018-08-18T14:00:00Z,81,20,0,0,0,0,2,0,67445,0,2,9.0,9,21819,27587,5768,65,True,0,Leicester,Wolves,3,3,2,1819
0,0,9,0,21.1,233,28,1,0,3.3,9.6,2018-08-25T14:00:00Z,77,16,0,0,0,0,3,0,129282,2,1,2.0,2,52279,70670,18391,65,False,0,Leicester,Southampton,3,2,2,1819
1,0,23,0,39.4,233,37,2,0,10.9,23.8,2018-09-01T11:30:00Z,82,12,0,0,0,0,4,0,127757,2,1,46.0,5,-1666,18710,20376,65,True,0,Leicester,Liverpool,3,4,2,1819
0,1,32,0,40.7,233,41,4,1,15.0,57.8,2018-09-15T14:00:00Z,90,2,0,0,0,0,5,0,252800,2,4,51.0,8,111040,144958,33918,66,False,0,Leicester,Bournemouth,3,3,2,1819
0,1,35,0,31.9,233,57,1,1,8.3,43.0,2018-09-22T14:00:00Z,84,10,0,0,0,0,6,0,434666,1,3,8.0,8,173090,194162,21072,67,True,0,Leicester,Huddersfield,3,2,2,1819
1,0,25,1,80.5,233,68,0,0,12.3,34.6,2018-09-29T14:00:00Z,84,15,0,0,0,0,7,0,721488,2,0,8.0,6,271802,289208,17406,68,False,0,Leicester,Newcastle,3,3,2,1819
0,0,7,0,10.1,233,75,2,0,2.4,3.2,2018-10-06T14:00:00Z,79,8,0,0,0,0,8,0,1010671,2,1,11.0,2,279587,294811,15224,69,True,0,Leicester,Everton,3,2,2,1819
0,0,16,0,41.8,233,81,3,0,5.4,9.2,2018-10-22T19:00:00Z,74,1,0,0,0,0,9,0,1040056,1,3,3.0,2,39010,118032,79022,70,False,0,Leicester,Arsenal,3,4,2,1819
0,0,18,0,60.5,233,95,1,0,10.3,18.2,2018-10-27T16:30:00Z,90,19,0,0,0,0,10,0,1085753,1,1,24.0,2,39912,95116,55204,70,True,0,Leicester,West Ham,3,3,2,1819
0,0,13,1,61.2,233,103,0,0,10.1,12.6,2018-11-03T15:00:00Z,81,5,0,0,0,0,11,0,975225,1,0,27.0,3,-109405,36182,145587,70,False,0,Leicester,Cardiff,3,2,2,1819
0,0,0,0,0.0,233,116,0,0,0.0,0.0,2018-11-10T15:00:00Z,0,4,0,0,0,0,12,0,536125,0,0,0.0,0,-436049,10989,447038,69,True,0,Leicester,Burnley,3,2,2,1819
0,0,-7,0,2.6,233,122,1,0,0.0,0.0,2018-11-24T15:00:00Z,27,3,0,0,0,1,13,0,324369,1,1,0.0,-2,-214722,1489,216211,68,False,0,Leicester,Brighton,3,2,2,1819
0,1,29,1,17.5,233,136,0,1,8.5,43.6,2018-12-01T15:00:00Z,90,18,0,0,0,0,14,0,307246,0,2,24.0,8,-25820,8249,34069,68,True,1,Leicester,Watford,3,3,2,1819
0,3,39,0,66.8,233,144,1,1,15.6,51.0,2018-12-05T19:45:00Z,90,9,0,0,0,0,15,0,335560,1,1,38.0,10,25648,34285,8637,68,False,0,Leicester,Fulham,3,2,2,1819
0,0,16,0,43.0,233,157,2,0,7.1,15.2,2018-12-08T19:45:00Z,90,17,0,0,0,0,16,0,360481,2,0,13.0,2,23943,34956,11013,68,True,0,Leicester,Spurs,3,4,2,1819
0,0,2,0,16.2,233,162,1,0,2.0,3.8,2018-12-15T15:00:00Z,45,7,0,0,0,0,17,0,366301,0,1,0.0,1,4485,23581,19096,68,False,0,Leicester,Crystal Palace,3,2,2,1819
1,0,26,1,55.2,233,174,0,0,9.8,31.2,2018-12-22T15:00:00Z,81,6,0,0,0,0,18,0,320846,1,0,12.0,6,-44042,3702,47744,68,False,0,Leicester,Chelsea,3,4,2,1819
0,0,5,0,15.9,233,185,1,0,4.5,5.0,2018-12-26T15:00:00Z,77,13,0,0,0,0,19,0,307547,1,2,24.0,2,-14922,8602,23524,68,True,0,Leicester,Man City,3,4,2,1819
0,0,10,0,48.2,233,195,1,0,11.3,30.0,2018-12-29T15:00:00Z,90,5,0,1,0,0,20,0,326699,1,0,35.0,0,15230,33337,18107,68,True,0,Leicester,Cardiff,3,2,2,1819
0,0,0,0,0.0,233,205,0,0,0.0,0.0,2019-01-01T12:30:00Z,0,8,0,0,0,0,21,0,299464,1,0,0.0,0,-25779,7814,33593,68,False,0,Leicester,Everton,3,3,2,1819
0,0,14,0,105.1,233,217,2,0,15.8,23.0,2019-01-12T15:00:00Z,90,16,0,0,0,0,22,0,291025,2,1,30.0,1,-10591,21743,32334,68,True,1,Leicester,Southampton,3,2,2,1819
1,0,16,0,15.8,233,230,1,0,4.3,20.4,2019-01-19T12:30:00Z,17,20,0,0,0,0,23,0,259050,3,4,7.0,4,-31698,5168,36866,67,False,0,Leicester,Wolves,3,3,2,1819
0,0,4,0,5.3,233,237,1,0,1.9,0.2,2019-01-30T20:00:00Z,74,12,0,0,0,0,24,0,239591,1,1,13.0,2,-20329,2846,23175,67,False,0,Leicester,Liverpool,3,5,2,1819
0,0,12,0,51.8,233,247,1,0,10.9,14.2,2019-02-03T14:05:00Z,61,14,0,0,0,0,25,0,229455,1,0,43.0,2,-9611,2594,12205,66,True,0,Leicester,Man Utd,3,4,2,1819
0,0,21,0,114.4,233,258,3,0,14.2,19.4,2019-02-10T13:30:00Z,90,17,0,0,0,0,26,0,229120,1,3,8.0,2,-2005,9591,11596,66,False,0,Leicester,Spurs,3,4,2,1819
0,0,19,0,79.8,233,267,4,0,15.8,23.6,2019-02-23T17:30:00Z,90,7,0,0,0,0,27,0,271324,4,1,55.0,2,36129,50540,14411,66,True,0,Leicester,Crystal Palace,3,2,2,1819
1,1,27,0,63.8,233,275,1,0,10.6,36.0,2019-02-26T19:45:00Z,90,3,0,0,0,0,28,0,283657,1,2,6.0,6,17076,25282,8206,66,True,0,Leicester,Brighton,3,2,2,1819
0,0,15,0,58.0,233,288,2,0,8.6,11.8,2019-03-03T12:00:00Z,90,18,0,0,0,0,29,0,316734,1,2,16.0,2,32819,40841,8022,67,False,0,Leicester,Watford,3,3,2,1819
1,1,27,0,53.4,233,296,1,0,8.2,26.2,2019-03-09T15:00:00Z,80,9,0,0,0,0,30,0,351474,1,3,2.0,6,33732,42388,8656,67,True,0,Leicester,Fulham,3,2,2,1819
0,3,28,0,40.8,233,303,1,1,10.6,45.6,2019-03-16T15:00:00Z,63,4,0,0,0,0,31,0,516611,2,1,20.0,9,67249,74629,7380,68,False,1,Leicester,Burnley,3,3,2,1819
0,0,10,1,64.7,233,317,0,0,10.5,11.6,2019-03-30T15:00:00Z,90,2,0,0,0,0,32,0,370498,0,2,29.0,3,-15559,28432,43991,68,True,0,Leicester,Bournemouth,3,2,2,1819
0,0,26,0,52.5,233,324,1,1,17.2,59.0,2019-04-06T14:00:00Z,90,10,0,0,0,0,33,0,524308,4,1,60.0,7,106164,114592,8428,68,False,0,Leicester,Huddersfield,3,2,2,1819
0,0,12,0,29.0,233,335,1,0,4.7,10.6,2019-04-12T19:00:00Z,90,15,0,0,0,0,34,0,482126,1,0,7.0,2,-28388,30873,59261,69,True,0,Leicester,Newcastle,3,2,2,1819
0,0,11,0,22.6,233,349,2,0,8.1,16.2,2019-04-20T14:00:00Z,90,19,0,0,0,0,35,0,370085,2,2,42.0,2,-106423,3769,110192,68,False,0,Leicester,West Ham,3,3,2,1819
1,0,25,1,49.2,233,355,0,0,11.8,33.0,2019-04-28T11:00:00Z,90,1,0,0,0,0,36,0,344470,0,3,36.0,6,-31336,4358,35694,67,True,0,Leicester,Arsenal,3,4,2,1819
0,0,4,0,11.3,233,367,1,0,3.4,3.6,2019-05-06T19:00:00Z,79,13,0,0,0,0,37,0,320417,0,1,19.0,2,-24351,4798,29149,67,False,0,Leicester,Man City,3,5,2,1819
0,0,8,1,26.3,233,375,0,0,4.4,5.6,2019-05-12T14:00:00Z,83,6,0,0,0,0,38,0,326457,0,0,12.0,3,4883,17036,12153,66,True,0,Leicester,Chelsea,3,4,2,1819
0,0,9,1,49.2,171,5,0,0,6.8,5.6,2019-08-11T13:00:00Z,90,20,0,0,0,0,1,0,568427,0,0,13.0,3,0,0,0,70,True,0,Leicester,Wolves,3,4,2,1920
1,0,11,0,52.5,171,14,1,0,8.9,20.8,2019-08-18T15:30:00Z,90,6,0,0,0,0,2,0,576149,1,1,16.0,5,-29125,28286,57411,70,False,0,Leicester,Chelsea,3,4,2,1920
1,1,24,0,37.0,171,27,1,0,10.7,24.2,2019-08-24T14:00:00Z,90,15,0,0,0,0,3,0,655763,2,1,46.0,6,56267,110877,54610,70,False,0,Leicester,Sheffield Utd,3,3,2,1920
0,0,5,0,19.7,171,36,1,0,5.3,4.4,2019-08-31T14:00:00Z,85,3,0,0,0,0,4,0,815284,1,3,29.0,2,131684,183845,52161,71,True,0,Leicester,Bournemouth,3,2,2,1920
0,0,2,0,9.3,171,45,1,0,4.3,13.0,2019-09-14T14:00:00Z,90,12,0,0,0,0,5,0,783912,0,1,21.0,1,-32702,57591,90293,71,False,1,Leicester,Man Utd,3,4,2,1920
0,3,33,0,30.9,171,56,1,1,11.9,44.2,2019-09-21T11:30:00Z,90,17,0,0,0,0,6,0,751930,1,2,44.0,10,-39184,35319,74503,71,True,0,Leicester,Spurs,3,3,2,1920
0,0,0,0,0.0,171,66,0,0,0.0,0.0,2019-09-29T15:30:00Z,0,13,0,0,0,0,7,0,722588,0,5,0.0,0,-33997,64913,98910,71,True,0,Leicester,Newcastle,3,2,2,1920
0,0,26,0,14.3,171,74,1,1,7.4,38.6,2019-10-05T14:00:00Z,85,10,0,0,0,0,8,0,710123,1,2,21.0,7,-15750,40599,56349,71,False,0,Leicester,Liverpool,3,5,2,1920
0,0,11,0,32.6,171,86,1,0,7.7,9.2,2019-10-19T14:00:00Z,72,5,0,0,0,0,9,0,955498,1,2,35.0,2,222638,254900,32262,72,True,0,Leicester,Burnley,3,3,2,1920
0,0,34,1,20.4,171,98,0,1,9.8,52.4,2019-10-25T19:00:00Z,90,16,0,0,0,0,10,0,1007844,9,0,25.0,8,54653,83460,28807,72,False,0,Leicester,Southampton,3,2,2,1920
1,3,40,1,110.8,171,105,0,0,15.1,29.8,2019-11-03T14:00:00Z,90,7,0,0,0,0,11,0,1070160,2,0,10.0,9,55433,98691,43258,73,False,0,Leicester,Crystal Palace,3,3,2,1920
0,1,28,1,48.3,171,113,0,1,12.9,47.0,2019-11-09T17:30:00Z,90,1,0,0,0,0,12,0,1307914,0,2,34.0,9,219383,239282,19899,74,True,0,Leicester,Arsenal,3,3,2,1920
0,0,18,1,51.0,171,124,0,0,11.1,24.6,2019-11-23T15:00:00Z,90,4,0,0,0,0,13,0,1695553,2,0,35.0,3,369656,394476,24820,75,False,0,Leicester,Brighton,3,2,2,1920
0,0,13,0,24.5,171,133,1,0,6.5,13.6,2019-12-01T16:30:00Z,90,8,0,0,0,0,14,0,1749586,1,2,27.0,2,63933,124172,60239,76,True,0,Leicester,Everton,3,2,2,1920
0,2,33,1,50.5,171,143,0,1,11.6,48.8,2019-12-04T19:30:00Z,90,18,0,0,0,0,15,0,1763366,0,2,17.0,10,11287,65534,54247,76,True,0,Leicester,Watford,3,2,2,1920
2,1,38,0,76.7,171,151,1,0,15.7,32.8,2019-12-08T14:00:00Z,90,2,0,0,0,0,16,0,1862879,4,1,47.0,9,90659,126209,35550,77,False,0,Leicester,Aston Villa,3,2,2,1920
0,0,17,0,86.0,171,165,1,0,13.6,23.8,2019-12-14T15:00:00Z,90,14,0,0,0,0,17,0,2022473,1,1,26.0,2,143344,175191,31847,78,True,0,Leicester,Norwich,3,2,2,1920
0,0,9,0,12.1,171,175,3,0,2.7,8.0,2019-12-21T17:30:00Z,90,11,0,0,0,0,18,0,1946385,1,3,7.0,2,-47008,60068,107076,78,False,0,Leicester,Man City,3,4,2,1920
0,0,-1,0,1.7,171,186,3,0,0.5,0.8,2019-12-26T20:00:00Z,75,10,0,0,0,0,19,0,1912889,4,0,2.0,1,-62565,55589,118154,78,True,1,Leicester,Liverpool,3,4,2,1920
0,0,10,0,24.8,171,200,0,0,4.5,13.4,2019-12-28T17:30:00Z,26,19,0,0,0,0,20,0,1924061,2,1,7.0,1,396,84273,83877,77,False,0,Leicester,West Ham,3,2,2,1920
0,3,34,1,46.3,171,206,0,1,13.1,49.8,2020-01-01T15:00:00Z,76,13,0,0,0,0,21,0,1852895,3,0,35.0,11,-76918,83826,160744,77,False,0,Leicester,Newcastle,3,2,2,1920
0,0,4,0,24.5,171,216,2,0,2.9,4.2,2020-01-11T15:00:00Z,90,16,0,0,0,0,22,0,1975285,2,1,0.0,2,108164,212155,103991,77,True,0,Leicester,Southampton,3,3,2,1920
0,0,14,0,62.2,171,223,2,0,11.9,15.0,2020-01-19T14:00:00Z,90,5,0,0,0,0,23,0,1932468,1,2,42.0,2,-47142,96858,144000,77,False,0,Leicester,Burnley,3,3,2,1920
0,0,12,0,50.2,171,234,1,0,9.7,15.4,2020-01-22T19:30:00Z,90,19,0,0,0,0,24,0,1801565,1,4,31.0,2,-114705,57080,171785,77,True,0,Leicester,West Ham,3,2,2,1920
0,0,20,0,65.8,171,244,2,0,10.3,21.4,2020-02-01T12:30:00Z,90,6,0,0,0,0,25,0,1727773,2,2,16.0,1,-97859,74402,172261,76,True,1,Leicester,Chelsea,3,4,2,1920
0,0,12,1,39.1,171,260,0,0,6.1,13.4,2020-02-14T20:00:00Z,90,20,0,0,0,0,26,0,1605971,0,0,8.0,2,-124723,33470,158193,75,False,1,Leicester,Wolves,3,3,2,1920
0,0,16,0,19.8,171,265,1,0,4.8,13.6,2020-02-22T17:30:00Z,90,11,0,0,0,0,27,0,1479905,1,0,15.0,2,-131033,31234,162267,74,True,0,Leicester,Man City,3,4,2,1920
0,0,14,0,53.1,171,277,1,0,7.1,16.0,2020-02-28T20:00:00Z,90,14,0,0,0,0,28,0,1608203,0,1,2.0,2,90120,158934,68814,74,False,0,Leicester,Norwich,3,2,2,1920
0,0,15,1,58.5,171,285,0,0,9.1,9.8,2020-03-09T20:00:00Z,90,2,0,0,0,0,29,0,1475154,0,4,23.0,3,-91904,45420,137324,75,True,0,Leicester,Aston Villa,3,2,2,1920
0,0,21,0,25.2,171,299,1,0,7.0,12.8,2020-06-20T11:30:00Z,90,18,0,0,0,0,39,0,1304440,1,1,32.0,2,-104971,94778,199749,75,False,0,Leicester,Watford,3,3,2,1920
0,0,13,1,33.0,171,303,0,0,5.3,6.6,2020-06-23T17:00:00Z,90,4,0,0,0,0,40,0,1301711,0,0,13.0,3,-13433,26330,39763,75,True,0,Leicester,Brighton,3,2,2,1920
0,0,13,0,16.4,171,316,0,0,4.9,9.4,2020-07-01T17:00:00Z,45,8,0,0,0,0,41,0,1247229,1,2,23.0,1,-52031,9232,61263,75,False,0,Leicester,Everton,3,4,2,1920
0,0,0,0,0.0,171,323,0,0,0.0,0.0,2020-07-04T14:00:00Z,0,7,0,0,0,0,42,0,1137823,0,3,0.0,0,-108650,5156,113806,74,True,0,Leicester,Crystal Palace,3,3,2,1920
0,0,0,0,0.0,171,331,0,0,0.0,0.0,2020-07-07T19:15:00Z,0,1,0,0,0,0,43,0,1049864,1,1,0.0,0,-90272,340,90612,74,False,0,Leicester,Arsenal,3,4,2,1920
0,0,0,0,0.0,171,342,0,0,0.0,0.0,2020-07-12T18:00:00Z,0,3,0,0,0,0,44,0,989753,1,4,0.0,0,-61692,187,61879,73,False,0,Leicester,Bournemouth,3,2,2,1920
0,0,0,0,0.0,171,356,0,0,0.0,0.0,2020-07-16T17:00:00Z,0,15,0,0,0,0,45,0,963792,0,2,0.0,0,-27301,120,27421,73,True,0,Leicester,Sheffield Utd,3,3,2,1920
