assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,14,1,12.4,147,3,0,0,2.9,14.2,2018-08-11T14:00:00Z,90,9,0,0,0,0,1,0,85461,2,0,2.0,3,0,0,0,50,False,0,Crystal Palace,Fulham,2,2,2,1819
0,0,14,0,2.7,147,15,2,0,1.6,11.6,2018-08-20T19:00:00Z,90,12,0,0,0,0,2,0,78927,2,0,2.0,2,-8881,1869,10750,50,True,0,Crystal Palace,Liverpool,2,4,2,1819
0,0,2,0,13.9,147,29,2,0,5.0,16.2,2018-08-26T12:30:00Z,90,18,0,0,0,0,3,0,70836,1,2,20.0,2,-8834,2497,11331,50,False,0,Crystal Palace,Watford,2,3,2,1819
0,0,18,0,38.8,147,35,2,0,9.8,17.6,2018-09-01T14:00:00Z,90,16,0,0,0,0,4,0,68384,2,0,42.0,2,-3372,4975,8347,49,True,0,Crystal Palace,Southampton,2,2,2,1819
0,0,6,1,23.0,147,44,0,0,4.8,14.8,2018-09-15T14:00:00Z,90,10,0,0,0,0,5,0,65922,1,0,10.0,2,-3155,6086,9241,49,False,1,Crystal Palace,Huddersfield,2,2,2,1819
0,0,6,1,10.4,147,55,0,0,1.6,2.0,2018-09-22T14:00:00Z,90,15,0,0,0,0,6,0,61676,0,0,4.0,3,-4479,2837,7316,49,True,0,Crystal Palace,Newcastle,2,2,2,1819
0,0,5,0,15.1,147,62,1,0,3.3,6.2,2018-10-01T19:00:00Z,76,2,0,0,0,0,7,0,58390,1,2,12.0,2,-3464,1555,5019,49,False,0,Crystal Palace,Bournemouth,2,3,2,1819
0,0,11,0,3.2,147,73,1,0,0.9,3.8,2018-10-06T14:00:00Z,62,20,0,0,0,0,8,0,56059,1,0,2.0,1,-2541,1227,3768,49,True,1,Crystal Palace,Wolves,2,3,2,1819
0,0,10,0,14.4,147,85,2,0,2.4,9.6,2018-10-21T15:00:00Z,88,8,0,0,0,0,9,0,52284,0,2,0.0,2,-3930,980,4910,48,False,0,Crystal Palace,Everton,2,3,2,1819
0,0,3,0,1.2,147,93,2,0,0.8,5.0,2018-10-28T13:30:00Z,60,1,0,0,0,0,10,0,49025,2,2,2.0,2,-3269,447,3716,48,True,0,Crystal Palace,Arsenal,2,4,2,1819
