assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,2,30,1,0.3,262,1,0,0,1.4,13.6,2018-08-12T15:00:00Z,90,1,0,0,0,0,1,0,415001,2,0,0.0,8,0,0,0,55,False,0,Man City,Arsenal,4,4,1,1819
0,0,17,0,25.2,262,18,1,0,4.9,17.6,2018-08-19T12:30:00Z,90,10,0,0,0,0,2,0,588632,1,6,6.0,2,74345,95047,20702,55,True,0,Man City,Huddersfield,5,2,1,1819
0,0,0,0,0.0,262,30,0,0,0.0,0.0,2018-08-25T11:30:00Z,0,20,0,0,0,0,3,0,602196,1,1,0.0,0,-7557,57588,65145,55,False,0,Man City,Wolves,4,3,1,1819
0,0,21,0,3.5,262,38,1,0,2.8,22.8,2018-09-01T16:30:00Z,90,15,0,0,0,0,4,0,508740,1,2,2.0,2,-97529,6244,103773,55,True,0,Man City,Newcastle,5,2,1,1819
0,0,0,0,0.0,262,45,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,9,0,0,0,0,5,0,475883,0,3,0.0,0,-41765,6441,48206,55,True,0,Man City,Fulham,5,2,1,1819
0,0,3,0,3.3,262,54,0,0,0.4,0.4,2018-09-22T14:00:00Z,16,5,0,0,0,0,6,0,425366,5,0,0.0,1,-53125,3088,56213,54,False,0,Man City,Cardiff,4,2,1,1819
0,0,0,0,0.0,262,67,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,3,0,0,0,0,7,0,385840,0,2,0.0,0,-41795,3125,44920,54,True,0,Man City,Brighton,5,2,1,1819
0,2,29,1,0.3,262,76,0,0,2.6,25.8,2018-10-07T15:30:00Z,90,12,0,0,0,0,8,0,346049,0,0,0.0,8,-40980,1115,42095,53,False,0,Man City,Liverpool,4,5,1,1819
0,0,28,1,14.8,262,87,0,0,3.3,18.6,2018-10-20T14:00:00Z,90,4,0,0,0,0,9,0,341880,0,5,0.0,6,-7908,7298,15206,53,True,0,Man City,Burnley,5,2,1,1819
0,1,24,1,0.6,262,99,0,0,1.7,14.0,2018-10-29T20:00:00Z,90,17,0,0,0,0,10,0,339983,1,0,2.0,7,-3018,4655,7673,53,False,0,Man City,Spurs,4,4,1,1819
0,0,15,0,0.9,262,107,1,0,2.0,15.2,2018-11-04T15:00:00Z,67,16,0,0,0,0,11,0,374063,1,6,4.0,2,28563,34953,6390,53,True,0,Man City,Southampton,5,2,1,1819
0,0,16,0,2.2,262,118,1,0,2.5,22.4,2018-11-11T16:30:00Z,90,14,0,0,0,0,12,0,378954,1,3,0.0,2,4033,14863,10830,53,True,0,Man City,Man Utd,5,4,1,1819
