assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,0,0,0.0,191,4,0,0,0.0,0.0,2018-08-11T14:00:00Z,0,6,0,0,0,0,1,0,100431,3,0,0.0,0,0,0,0,45,True,0,Huddersfield,Chelsea,2,4,0,1819
0,0,0,0,0.0,191,18,0,0,0.0,0.0,2018-08-19T12:30:00Z,0,13,0,0,0,0,2,0,93993,1,6,0.0,0,-8428,272,8700,45,False,0,Huddersfield,Man City,2,5,0,1819
0,2,26,1,0.0,191,24,0,0,2.4,23.8,2018-08-25T14:00:00Z,77,5,0,0,0,0,3,3,83192,0,0,0.0,9,-11324,707,12031,45,True,0,Huddersfield,Cardiff,2,2,0,1819
0,0,8,0,0.0,191,36,1,0,0.4,3.6,2018-09-01T14:00:00Z,90,8,0,0,0,0,4,0,87345,1,1,0.0,2,1581,6071,4490,45,False,0,Huddersfield,Everton,2,3,0,1819
0,0,9,0,0.0,191,44,1,0,1.2,12.2,2018-09-15T14:00:00Z,90,7,0,0,0,0,5,1,84831,1,0,0.0,2,-2833,2077,4910,45,True,0,Huddersfield,Crystal Palace,2,2,0,1819
0,0,20,0,10.0,191,57,3,0,4.7,37.2,2018-09-22T14:00:00Z,90,11,0,0,0,0,6,5,81992,1,3,0.0,2,-2991,945,3936,45,False,0,Huddersfield,Leicester,2,3,0,1819
0,0,17,0,0.0,191,66,2,0,3.5,35.4,2018-09-29T14:00:00Z,90,17,0,0,0,0,7,4,79429,2,0,0.0,2,-2763,683,3446,44,True,0,Huddersfield,Spurs,2,4,0,1819
0,0,16,0,0.0,191,72,1,0,2.1,21.2,2018-10-06T14:00:00Z,90,4,0,0,0,0,8,2,81715,1,1,0.0,2,1282,4274,2992,44,False,0,Huddersfield,Burnley,2,3,0,1819
0,0,12,0,10.0,191,86,1,0,2.4,14.2,2018-10-20T16:30:00Z,90,12,0,0,0,0,9,1,82656,1,0,0.0,2,357,4950,4593,44,True,0,Huddersfield,Liverpool,2,4,0,1819
0,0,14,0,0.0,191,100,3,0,2.4,24.4,2018-10-27T14:00:00Z,90,18,0,0,0,0,10,3,83839,0,3,0.0,2,855,3627,2772,44,False,0,Huddersfield,Watford,2,3,0,1819
0,0,21,1,0.0,191,106,0,0,1.4,14.2,2018-11-05T20:00:00Z,90,9,0,0,0,0,11,1,85521,0,1,0.0,6,1190,4298,3108,44,True,0,Huddersfield,Fulham,2,2,0,1819
0,0,13,0,0.0,191,115,1,0,2.1,20.8,2018-11-10T15:00:00Z,90,19,0,0,0,0,12,2,87912,1,1,0.0,2,1905,4340,2435,44,True,0,Huddersfield,West Ham,2,3,0,1819
0,0,24,1,0.0,191,130,0,0,2.2,22.0,2018-11-25T16:00:00Z,90,20,0,0,0,0,13,2,86361,2,0,0.0,6,-1388,2723,4111,44,False,0,Huddersfield,Wolves,2,3,0,1819
0,0,16,0,0.0,191,135,2,0,3.1,31.4,2018-12-01T15:00:00Z,90,3,0,0,0,0,14,4,91191,2,1,0.0,2,3871,5343,1472,44,True,0,Huddersfield,Brighton,2,2,0,1819
0,0,8,0,0.0,191,141,2,0,0.7,6.8,2018-12-04T19:45:00Z,90,2,0,0,0,0,15,0,91985,1,2,0.0,1,897,3334,2437,44,False,0,Huddersfield,Bournemouth,2,3,0,1819
0,0,13,0,0.3,191,151,1,0,1.1,10.2,2018-12-08T15:00:00Z,90,1,0,0,0,0,16,2,92090,0,1,0.0,2,87,2733,2646,44,False,0,Huddersfield,Arsenal,2,4,0,1819
0,0,16,0,0.0,191,164,1,0,2.7,27.0,2018-12-15T15:00:00Z,90,15,0,0,0,0,17,4,97554,1,0,0.0,3,4316,6783,2467,44,True,0,Huddersfield,Newcastle,2,2,0,1819
0,0,16,0,0.0,191,176,3,0,2.4,23.6,2018-12-22T15:00:00Z,90,16,0,0,0,0,18,3,100356,3,1,0.0,2,2589,5308,2719,44,True,0,Huddersfield,Southampton,2,2,0,1819
0,0,25,0,0.0,191,187,3,0,4.2,41.8,2018-12-26T15:00:00Z,90,14,0,0,0,0,19,7,99749,1,3,0.0,3,-520,3277,3797,44,False,0,Huddersfield,Man Utd,2,4,0,1819
0,3,33,0,0.0,191,194,1,0,6.1,61.2,2018-12-29T15:00:00Z,90,9,0,0,1,0,20,4,102681,0,1,0.0,11,2296,4975,2679,44,False,0,Huddersfield,Fulham,2,2,0,1819
0,0,22,0,0.0,191,206,2,0,4.7,47.0,2019-01-02T19:45:00Z,90,4,0,0,0,0,21,6,112711,2,1,0.0,3,9167,13922,4755,44,True,0,Huddersfield,Burnley,2,2,0,1819
0,0,23,1,0.0,191,213,0,0,0.6,6.2,2019-01-12T15:00:00Z,90,5,0,0,0,0,22,0,114160,0,0,0.0,6,1422,7822,6400,44,False,0,Huddersfield,Cardiff,2,2,0,1819
