assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,13,0,31.8,318,7,2,0,4.3,11.4,2018-08-11T11:30:00Z,90,17,0,0,0,0,1,0,51885,2,1,0.0,2,0,0,0,55,True,0,Newcastle,Spurs,3,4,2,1819
0,0,18,1,60.0,318,13,0,0,10.7,22.4,2018-08-18T11:30:00Z,90,5,0,0,0,0,2,0,58096,0,0,25.0,3,-1915,2667,4582,55,False,0,Newcastle,Cardiff,2,2,2,1819
0,0,0,0,0.0,318,27,0,0,0.0,0.0,2018-08-26T15:00:00Z,0,6,0,0,0,0,3,0,56478,2,1,0.0,0,-3744,2501,6245,55,True,0,Newcastle,Chelsea,3,4,2,1819
0,0,0,0,0.0,318,38,0,0,0.0,0.0,2018-09-01T16:30:00Z,0,13,0,0,0,0,4,0,42270,1,2,0.0,0,-14306,364,14670,55,False,0,Newcastle,Man City,2,5,2,1819
0,0,0,0,0.0,318,46,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,1,0,0,0,0,5,0,35650,2,1,0.0,0,-7062,345,7407,54,True,0,Newcastle,Arsenal,3,4,2,1819
0,0,8,1,15.4,318,55,0,0,2.2,6.6,2018-09-22T14:00:00Z,90,7,0,0,0,0,6,0,34258,0,0,0.0,3,-1806,415,2221,54,False,0,Newcastle,Crystal Palace,2,2,2,1819
0,0,13,0,17.2,318,68,2,0,4.9,18.4,2018-09-29T14:00:00Z,90,11,0,0,0,0,7,0,33486,2,0,13.0,2,-920,462,1382,54,True,0,Newcastle,Leicester,3,3,2,1819
1,0,24,0,54.8,318,77,3,0,11.0,46.8,2018-10-06T16:30:00Z,90,14,0,0,0,0,8,0,32549,2,3,8.0,5,-1001,298,1299,54,False,0,Newcastle,Man Utd,2,4,2,1819
0,0,19,0,54.6,318,88,1,0,14.2,35.0,2018-10-20T14:00:00Z,90,3,0,0,0,0,9,0,36151,1,0,52.0,2,2921,4432,1511,54,True,0,Newcastle,Brighton,3,2,2,1819
0,0,10,1,12.8,318,98,0,0,2.5,9.0,2018-10-27T14:00:00Z,90,16,0,0,0,0,10,0,35228,0,0,3.0,3,-813,1181,1994,54,False,0,Newcastle,Southampton,2,2,2,1819
0,0,3,0,8.3,318,108,0,0,1.4,2.8,2018-11-03T15:00:00Z,50,18,0,0,0,0,11,0,34117,0,1,3.0,1,-1208,729,1937,54,True,0,Newcastle,Watford,3,3,2,1819
0,0,0,0,0.0,318,119,0,0,0.0,0.0,2018-11-10T15:00:00Z,0,2,0,0,0,0,12,0,30279,1,2,0.0,0,-3786,55,3841,54,True,0,Newcastle,Bournemouth,3,2,2,1819
0,0,0,0,0.0,318,123,0,0,0.0,0.0,2018-11-26T20:30:00Z,0,4,0,0,0,0,13,0,28069,2,1,0.0,0,-2267,34,2301,53,False,0,Newcastle,Burnley,2,3,2,1819
0,0,2,0,2.3,318,139,1,0,0.5,1.8,2018-12-01T15:00:00Z,20,19,0,0,0,0,14,0,27834,3,0,1.0,1,-371,145,516,53,True,0,Newcastle,West Ham,3,3,2,1819
0,0,0,0,0.0,318,149,0,0,0.0,0.0,2018-12-05T19:45:00Z,0,8,0,0,0,0,15,0,27458,1,1,0.0,0,-395,155,550,53,False,0,Newcastle,Everton,2,3,2,1819
0,0,0,0,0.0,318,159,0,0,0.0,0.0,2018-12-09T16:00:00Z,0,20,0,0,0,0,16,0,27062,2,1,0.0,0,-421,103,524,53,True,0,Newcastle,Wolves,3,3,2,1819
0,0,0,0,0.0,318,164,0,0,0.0,0.0,2018-12-15T15:00:00Z,0,10,0,0,0,0,17,0,25903,1,0,0.0,0,-1159,43,1202,53,False,0,Newcastle,Huddersfield,2,2,2,1819
0,0,0,0,0.0,318,178,0,0,0.0,0.0,2018-12-22T15:00:00Z,0,9,0,0,0,0,18,0,24955,0,0,0.0,0,-989,7,996,53,True,0,Newcastle,Fulham,3,2,2,1819
0,0,0,0,0.0,318,186,0,0,0.0,0.0,2018-12-26T15:00:00Z,0,12,0,0,0,0,19,0,24259,0,4,0.0,0,-715,9,724,53,False,0,Newcastle,Liverpool,2,5,2,1819
0,0,5,0,11.2,318,200,1,0,1.7,6.0,2018-12-29T15:00:00Z,11,18,0,0,0,0,20,0,23780,1,1,0.0,1,-492,22,514,53,False,0,Newcastle,Watford,2,3,2,1819
0,0,1,0,18.1,318,208,2,0,3.3,2.2,2019-01-02T20:00:00Z,37,14,0,0,0,0,21,0,23679,2,0,13.0,1,-137,79,216,53,True,0,Newcastle,Man Utd,3,4,2,1819
0,0,0,0,0.0,318,214,0,0,0.0,0.0,2019-01-12T17:30:00Z,0,6,0,0,0,0,22,0,23376,1,2,0.0,0,-358,140,498,53,False,0,Newcastle,Chelsea,2,4,2,1819
0,0,0,0,0.0,318,227,0,0,0.0,0.0,2019-01-19T15:00:00Z,0,5,0,0,0,0,23,0,22679,0,3,0.0,0,-696,17,713,53,True,0,Newcastle,Cardiff,3,2,2,1819
0,0,0,0,0.0,318,238,0,0,0.0,0.0,2019-01-29T20:00:00Z,0,13,0,0,0,0,24,0,22229,1,2,0.0,0,-463,8,471,53,True,0,Newcastle,Man City,3,4,2,1819
