assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,3,0,0.8,249,5,0,0,0.3,2.0,2018-08-12T12:30:00Z,21,19,0,0,0,0,1,0,61150,0,4,0.0,1,0,0,0,55,True,0,Liverpool,West Ham,5,3,2,1819
0,0,9,0,2.5,249,15,0,0,0.6,3.0,2018-08-20T19:00:00Z,23,7,0,0,0,0,2,0,62216,2,0,0.0,1,-7035,1774,8809,55,False,0,Liverpool,Crystal Palace,4,2,2,1819
0,0,14,0,14.4,249,25,0,0,2.9,14.4,2018-08-25T16:30:00Z,23,3,0,0,0,0,3,0,55445,0,1,0.0,1,-8171,911,9082,54,True,0,Liverpool,Brighton,5,2,2,1819
0,0,14,0,3.3,249,37,1,0,0.9,5.4,2018-09-01T11:30:00Z,70,11,0,0,0,0,4,0,49742,2,1,0.0,2,-6542,583,7125,54,False,0,Liverpool,Leicester,4,3,2,1819
0,0,3,0,0.3,249,48,1,0,0.7,6.2,2018-09-15T11:30:00Z,16,17,0,0,0,0,5,0,47664,2,1,0.0,1,-3028,901,3929,53,False,0,Liverpool,Spurs,4,4,2,1819
0,0,15,1,5.2,249,58,0,0,1.8,12.4,2018-09-22T14:00:00Z,90,16,0,0,0,0,6,0,45493,0,3,0.0,3,-2523,586,3109,53,True,0,Liverpool,Southampton,5,2,2,1819
0,0,17,0,3.5,249,64,1,0,1.1,7.2,2018-09-29T16:30:00Z,77,6,0,0,0,0,7,0,44622,1,1,0.0,2,-1284,701,1985,53,False,0,Liverpool,Chelsea,4,4,2,1819
0,0,19,1,15.3,249,76,0,0,3.6,18.2,2018-10-07T15:30:00Z,90,13,0,0,0,0,8,0,44288,0,0,2.0,3,-698,834,1532,53,True,0,Liverpool,Man City,5,4,2,1819
0,0,12,0,17.2,249,86,0,0,2.7,10.0,2018-10-20T16:30:00Z,45,10,0,0,0,0,9,0,46805,1,0,0.0,1,1515,3314,1799,53,False,0,Liverpool,Huddersfield,4,2,2,1819
0,0,0,0,0.0,249,96,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,5,0,0,0,0,10,0,42066,1,4,0.0,0,-4528,353,4881,53,True,0,Liverpool,Cardiff,5,2,2,1819
