assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,1,31,1,9.3,459,4,0,1,7.9,52.6,2018-08-11T14:00:00Z,90,10,0,0,0,0,1,0,396333,3,0,17.0,9,0,0,0,50,False,0,Chelsea,Huddersfield,4,2,2,1819
0,0,14,0,11.9,459,14,2,0,3.3,14.4,2018-08-18T16:30:00Z,90,1,0,0,0,0,2,0,679528,2,3,7.0,2,163399,190932,27533,51,True,0,Chelsea,Arsenal,4,4,2,1819
0,0,15,0,32.5,459,27,1,0,7.0,35.8,2018-08-26T15:00:00Z,90,15,0,0,0,0,3,0,762023,2,1,2.0,2,58328,135296,76968,51,False,0,Chelsea,Newcastle,4,3,2,1819
0,0,15,1,11.7,459,34,0,0,3.0,9.4,2018-09-01T14:00:00Z,90,2,0,0,0,0,4,0,811451,0,2,9.0,3,28366,96814,68448,51,True,0,Chelsea,Bournemouth,4,2,2,1819
0,0,10,0,6.5,459,42,1,0,1.4,7.8,2018-09-15T14:00:00Z,90,5,0,0,0,0,5,0,821557,1,4,0.0,2,-2975,78125,81100,52,True,0,Chelsea,Cardiff,4,2,2,1819
0,0,16,1,50.7,459,60,0,0,8.0,29.6,2018-09-23T12:30:00Z,90,19,0,0,0,0,6,0,741628,0,0,0.0,3,-82484,20488,102972,52,False,0,Chelsea,West Ham,4,3,2,1819
0,0,15,0,17.7,459,64,1,0,3.6,18.0,2018-09-29T16:30:00Z,90,12,0,0,0,0,7,0,691911,1,1,0.0,2,-53507,14489,67996,51,True,0,Chelsea,Liverpool,4,4,2,1819
0,0,11,1,17.2,459,78,0,0,3.7,19.6,2018-10-07T13:15:00Z,90,16,0,0,0,0,8,0,670942,3,0,0.0,3,-25645,18862,44507,51,False,0,Chelsea,Southampton,4,2,2,1819
0,0,20,0,31.6,459,84,2,0,5.0,18.4,2018-10-20T11:30:00Z,90,14,0,0,0,0,9,0,641562,2,2,0.0,2,-33591,20983,54574,51,True,0,Chelsea,Man Utd,4,4,2,1819
0,0,18,1,31.3,459,92,0,0,4.9,17.2,2018-10-28T13:30:00Z,77,4,0,0,0,0,10,0,617645,4,0,0.0,3,-26171,14215,40386,51,False,0,Chelsea,Burnley,4,3,2,1819
0,0,15,0,9.6,459,104,1,0,2.2,10.6,2018-11-04T16:00:00Z,79,7,0,0,0,0,11,0,573861,1,3,2.0,2,-45165,10995,56160,50,True,0,Chelsea,Crystal Palace,4,2,2,1819
0,0,13,1,12.0,459,113,0,0,3.4,14.4,2018-11-11T14:15:00Z,63,8,0,0,0,0,12,0,544678,0,0,8.0,2,-31158,7667,38825,50,True,1,Chelsea,Everton,4,2,2,1819
0,0,9,0,4.9,459,127,3,0,1.5,10.2,2018-11-24T17:30:00Z,90,17,0,0,0,0,13,0,517545,1,3,0.0,1,-28152,5522,33674,50,False,1,Chelsea,Spurs,4,4,2,1819
0,0,17,1,3.0,459,133,0,0,1.8,15.0,2018-12-02T12:00:00Z,90,9,0,0,0,0,14,0,504602,0,2,0.0,3,-15006,4859,19865,49,True,0,Chelsea,Fulham,4,2,2,1819
0,0,0,0,0.0,459,148,0,0,0.0,0.0,2018-12-05T19:45:00Z,0,20,0,0,0,0,15,0,490907,1,2,0.0,0,-13857,5490,19347,49,False,0,Chelsea,Wolves,4,3,2,1819
0,0,7,1,1.8,459,155,0,0,0.4,2.2,2018-12-08T17:30:00Z,90,13,0,0,0,0,16,0,465378,0,2,0.0,2,-24684,1685,26369,49,True,1,Chelsea,Man City,4,4,2,1819
0,0,16,0,5.5,459,161,1,0,1.9,13.4,2018-12-16T13:30:00Z,90,3,0,0,0,0,17,0,445930,2,1,0.0,2,-21391,2420,23811,48,False,0,Chelsea,Brighton,4,2,2,1819
0,0,14,0,8.8,459,174,1,0,3.9,23.2,2018-12-22T15:00:00Z,74,11,0,0,0,0,18,0,434939,1,0,7.0,2,-12309,3753,16062,48,True,0,Chelsea,Leicester,4,3,2,1819
