assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,15,0,8.3,475,10,2,0,1.8,8.6,2018-08-11T16:30:00Z,84,8,0,0,0,0,1,0,87926,2,2,1.0,2,0,0,0,55,True,0,Wolves,Everton,3,2,2,1819
0,0,11,0,28.9,475,17,2,0,5.3,22.8,2018-08-18T14:00:00Z,90,11,0,0,0,0,2,0,80655,0,2,1.0,2,-12856,1926,14782,55,False,0,Wolves,Leicester,3,3,2,1819
1,1,26,0,25.8,475,30,1,0,5.5,29.2,2018-08-25T11:30:00Z,90,13,0,0,0,0,3,0,67859,1,1,0.0,6,-14054,1408,15462,54,True,0,Wolves,Man City,3,4,2,1819
0,0,26,1,42.3,475,40,0,0,7.4,29.2,2018-09-01T14:00:00Z,90,19,0,0,0,0,4,0,82449,1,0,2.0,3,9382,15782,6400,54,False,0,Wolves,West Ham,3,3,2,1819
0,0,13,1,21.3,475,50,0,0,3.3,10.2,2018-09-16T12:30:00Z,90,4,0,0,0,0,5,0,92097,0,1,1.0,3,6356,14271,7915,54,True,0,Wolves,Burnley,3,2,2,1819
0,3,32,0,31.2,475,59,1,1,8.1,43.2,2018-09-22T14:00:00Z,79,14,0,0,0,0,6,0,85734,1,1,7.0,10,-6054,3878,9932,54,False,0,Wolves,Man Utd,3,4,2,1819
0,0,11,1,45.8,475,70,0,0,7.8,23.2,2018-09-29T14:00:00Z,90,16,0,0,0,0,7,0,164835,0,2,9.0,3,68921,75344,6423,54,True,0,Wolves,Southampton,3,2,2,1819
0,0,9,1,5.8,475,73,0,0,1.7,11.4,2018-10-06T14:00:00Z,90,7,0,0,0,0,8,0,210109,1,0,0.0,2,45296,56686,11390,55,False,1,Wolves,Crystal Palace,3,2,2,1819
0,0,12,0,47.8,475,90,2,0,7.1,22.6,2018-10-20T14:00:00Z,90,18,0,0,0,0,9,0,264132,2,0,1.0,2,49057,68326,19269,55,True,0,Wolves,Watford,3,3,2,1819
0,0,19,0,72.3,475,91,1,0,10.8,28.8,2018-10-27T14:00:00Z,90,3,0,0,0,0,10,0,245623,0,1,7.0,2,-15439,10306,25745,55,False,0,Wolves,Brighton,3,2,2,1819
0,0,16,0,26.1,475,110,3,0,5.1,16.8,2018-11-03T19:45:00Z,61,17,0,0,0,0,11,0,207599,3,2,8.0,2,-38204,3314,41518,55,True,0,Wolves,Spurs,3,4,2,1819
0,0,10,0,26.3,475,111,1,0,4.6,15.4,2018-11-11T16:30:00Z,90,1,0,0,0,0,12,0,185506,1,1,4.0,2,-23192,1988,25180,55,False,0,Wolves,Arsenal,3,4,2,1819
0,0,1,0,25.1,475,130,1,0,3.0,4.4,2018-11-25T16:00:00Z,45,10,0,0,0,0,13,0,180322,2,0,0.0,1,-6682,6180,12862,54,True,0,Wolves,Huddersfield,3,2,2,1819
0,0,15,0,26.3,475,132,2,0,4.2,15.0,2018-11-30T20:00:00Z,90,5,0,0,0,0,14,0,173195,1,2,1.0,2,-7465,2638,10103,54,False,0,Wolves,Cardiff,3,2,2,1819
0,0,10,0,15.4,475,148,1,0,3.3,17.4,2018-12-05T19:45:00Z,90,6,0,0,0,0,15,0,161117,1,2,0.0,1,-11822,2048,13870,54,True,1,Wolves,Chelsea,3,4,2,1819
0,0,9,0,25.6,475,159,0,0,3.5,9.6,2018-12-09T16:00:00Z,14,15,0,0,0,0,16,0,155165,2,1,0.0,1,-6630,3179,9809,53,False,0,Wolves,Newcastle,3,3,2,1819
0,0,12,1,14.9,475,170,0,0,2.9,14.4,2018-12-15T15:00:00Z,90,2,0,0,0,0,17,0,143428,0,2,0.0,3,-11700,1066,12766,53,True,0,Wolves,Bournemouth,3,2,2,1819
0,0,8,0,13.9,475,180,1,0,2.4,10.2,2018-12-21T20:00:00Z,62,12,0,0,0,0,18,0,135538,2,0,0.0,2,-8456,819,9275,52,True,0,Wolves,Liverpool,3,4,2,1819
0,2,22,0,28.3,475,184,1,0,6.1,32.6,2018-12-26T12:30:00Z,90,9,0,0,0,0,19,0,129331,1,1,0.0,4,-6469,1464,7933,52,False,0,Wolves,Fulham,3,2,2,1819
1,0,16,0,16.0,475,199,0,0,3.4,18.4,2018-12-29T15:00:00Z,22,17,0,0,0,0,20,0,123216,3,1,0.0,4,-6215,1633,7848,52,False,0,Wolves,Spurs,3,4,2,1819
0,0,12,0,2.9,475,210,2,0,2.2,19.0,2019-01-02T19:45:00Z,90,7,0,0,0,0,21,0,125049,2,0,0.0,2,956,5652,4696,52,True,0,Wolves,Crystal Palace,3,2,2,1819
0,0,10,0,0.3,475,218,2,0,1.5,14.2,2019-01-14T20:00:00Z,72,13,0,0,0,0,22,0,119618,0,3,0.0,2,-5697,3107,8804,51,False,0,Wolves,Man City,3,5,2,1819
2,2,34,0,32.3,475,230,2,0,8.1,44.4,2019-01-19T12:30:00Z,80,11,0,0,0,0,23,0,117950,3,4,4.0,10,-2079,4800,6879,51,True,0,Wolves,Leicester,3,3,2,1819
2,2,39,1,67.3,475,236,0,0,12.5,57.2,2019-01-29T19:45:00Z,88,19,0,0,0,0,24,0,160980,0,3,0.0,11,40080,47600,7520,51,True,0,Wolves,West Ham,3,3,2,1819
