assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,8,0,0.3,549,110,2,0,1.1,10.2,2018-11-03T19:45:00Z,90,20,0,0,0,0,11,0,0,3,2,0.0,0,0,0,0,50,False,1,Spurs,Wolves,4,3,1,1819
0,3,40,1,1.5,549,114,0,1,8.7,52.6,2018-11-10T17:30:00Z,90,7,0,0,0,0,12,0,84,1,0,33.0,15,52,72,20,50,False,0,Spurs,Crystal Palace,4,2,1,1819
0,0,9,0,0.3,549,127,1,0,2.7,19.6,2018-11-24T17:30:00Z,90,6,0,0,0,0,13,0,30215,1,3,7.0,2,25609,27547,1938,50,True,0,Spurs,Chelsea,4,4,1,1819
0,0,6,0,0.0,549,131,4,0,3.0,30.0,2018-12-02T14:05:00Z,90,1,0,0,0,0,14,0,31956,2,4,0.0,0,2811,4949,2138,50,False,0,Spurs,Arsenal,4,4,1,1819
0,0,16,0,0.9,549,150,1,0,3.0,28.6,2018-12-05T20:00:00Z,90,16,0,0,0,0,15,0,43550,1,3,0.0,2,9905,13194,3289,50,True,0,Spurs,Southampton,4,2,1,1819
0,0,0,0,0.0,549,157,0,0,0.0,0.0,2018-12-08T19:45:00Z,0,11,0,0,0,0,16,0,41542,2,0,0.0,0,-1503,8773,10276,50,False,0,Spurs,Leicester,4,3,1,1819
0,0,0,0,0.0,549,168,0,0,0.0,0.0,2018-12-15T15:00:00Z,0,4,0,0,0,0,17,0,28716,0,1,0.0,0,-12253,346,12599,50,True,0,Spurs,Burnley,4,2,1,1819
0,0,0,0,0.0,549,175,0,0,0.0,0.0,2018-12-23T16:00:00Z,0,8,0,0,0,0,18,0,25014,6,2,0.0,0,-4228,311,4539,50,False,0,Spurs,Everton,4,3,1,1819
0,0,31,1,0.8,549,189,0,0,2.7,26.2,2018-12-26T15:00:00Z,90,2,0,0,0,0,19,0,22030,0,5,0.0,6,-3122,302,3424,50,True,0,Spurs,Bournemouth,4,2,1,1819
0,0,0,0,0.0,549,199,0,0,0.0,0.0,2018-12-29T15:00:00Z,0,20,0,0,0,0,20,0,22666,3,1,0.0,0,344,1550,1206,50,True,0,Spurs,Wolves,4,3,1,1819
