assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,0,0,0.0,308,7,0,0,0.0,0.0,2018-08-11T11:30:00Z,0,17,0,0,0,0,1,0,4954,2,1,0.0,0,0,0,0,45,True,0,Newcastle,Spurs,3,4,0,1819
0,0,0,0,0.0,308,13,0,0,0.0,0.0,2018-08-18T11:30:00Z,0,5,0,0,0,0,2,0,5136,0,0,0.0,0,-347,68,415,45,False,0,Newcastle,Cardiff,2,2,0,1819
0,0,0,0,0.0,308,27,0,0,0.0,0.0,2018-08-26T15:00:00Z,0,6,0,0,0,0,3,0,4919,2,1,0.0,0,-364,39,403,45,True,0,Newcastle,Chelsea,3,4,0,1819
0,0,0,0,0.0,308,38,0,0,0.0,0.0,2018-09-01T16:30:00Z,0,13,0,0,0,0,4,0,4821,1,2,0.0,0,-242,47,289,45,False,0,Newcastle,Man City,2,5,0,1819
0,0,0,0,0.0,308,46,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,1,0,0,0,0,5,0,4704,2,1,0.0,0,-222,59,281,45,True,0,Newcastle,Arsenal,3,4,0,1819
0,0,0,0,0.0,308,55,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,7,0,0,0,0,6,0,4615,0,0,0.0,0,-122,31,153,44,False,0,Newcastle,Crystal Palace,2,2,0,1819
0,0,0,0,0.0,308,68,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,11,0,0,0,0,7,0,4481,2,0,0.0,0,-151,16,167,44,True,0,Newcastle,Leicester,3,3,0,1819
0,0,0,0,0.0,308,77,0,0,0.0,0.0,2018-10-06T16:30:00Z,0,14,0,0,0,0,8,0,4403,2,3,0.0,0,-96,15,111,44,False,0,Newcastle,Man Utd,2,4,0,1819
0,0,0,0,0.0,308,88,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,3,0,0,0,0,9,0,4343,1,0,0.0,0,-86,38,124,44,True,0,Newcastle,Brighton,3,2,0,1819
0,0,0,0,0.0,308,98,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,16,0,0,0,0,10,0,4288,0,0,0.0,0,-64,13,77,44,False,0,Newcastle,Southampton,2,2,0,1819
0,0,0,0,0.0,308,108,0,0,0.0,0.0,2018-11-03T15:00:00Z,0,18,0,0,0,0,11,0,4228,0,1,0.0,0,-66,13,79,44,True,0,Newcastle,Watford,3,3,0,1819
