assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,2,0,0.0,585,244,2,0,0.2,0.0,2019-02-02T15:00:00Z,23,6,0,0,0,0,25,0,250,0,5,2.0,1,221,240,19,50,False,0,Huddersfield,Chelsea,2,4,3,1819
0,0,4,0,12.0,585,254,0,0,3.2,2.2,2019-02-09T15:00:00Z,7,1,0,0,0,0,26,0,394,2,1,18.0,1,132,194,62,50,True,0,Huddersfield,Arsenal,2,4,3,1819
0,0,0,0,0.0,585,269,0,0,0.0,0.0,2019-02-23T15:00:00Z,0,15,0,0,0,0,27,0,546,0,2,0.0,0,103,186,83,50,False,0,Huddersfield,Newcastle,2,3,3,1819
1,0,14,1,25.6,585,274,0,0,7.5,5.2,2019-02-26T19:45:00Z,90,20,0,0,0,0,28,0,575,0,1,44.0,5,33,86,53,50,True,0,Huddersfield,Wolves,2,3,3,1819
0,0,1,0,1.2,585,282,1,0,2.8,4.6,2019-03-02T15:00:00Z,90,3,0,0,0,0,29,0,1443,0,1,22.0,2,815,932,117,50,False,0,Huddersfield,Brighton,2,2,3,1819
0,0,4,0,10.8,585,295,1,0,1.8,3.4,2019-03-09T15:00:00Z,29,2,0,0,0,0,30,0,1701,2,0,4.0,1,249,443,194,50,True,0,Huddersfield,Bournemouth,2,2,3,1819
0,3,53,0,10.8,585,309,1,2,9.8,63.6,2019-03-16T15:00:00Z,69,19,0,0,0,0,31,0,2670,3,4,24.0,13,198,462,264,50,False,0,Huddersfield,West Ham,2,3,3,1819
0,0,-1,0,4.0,585,315,2,0,5.3,3.0,2019-03-30T15:00:00Z,90,7,0,0,0,0,32,0,3617,0,2,46.0,2,1500,2310,810,50,False,0,Huddersfield,Crystal Palace,2,2,3,1819
1,0,14,0,13.7,585,324,4,0,6.0,10.8,2019-04-06T14:00:00Z,90,11,0,0,0,0,33,0,6920,4,1,35.0,5,2628,3226,598,50,True,0,Huddersfield,Leicester,2,3,3,1819
0,0,3,0,3.8,585,339,4,0,2.2,0.0,2019-04-13T11:30:00Z,90,17,0,0,0,0,34,0,8432,0,4,18.0,2,1753,3724,1971,50,False,0,Huddersfield,Spurs,2,4,3,1819
