assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,0,0,0.0,107,2,0,0,0.0,0.0,2018-08-11T14:00:00Z,0,2,0,0,0,0,1,0,36149,0,2,0.0,0,0,0,0,50,False,0,Cardiff,Bournemouth,2,3,3,1819
0,0,-3,1,14.7,107,13,0,0,7.1,2.2,2018-08-18T11:30:00Z,90,15,0,0,0,0,2,0,29071,0,0,54.0,2,-7662,458,8120,50,True,0,Cardiff,Newcastle,2,2,3,1819
0,0,0,0,25.2,107,24,0,0,3.1,5.6,2018-08-25T14:00:00Z,58,10,0,0,0,0,3,0,31149,0,0,0.0,1,-240,6446,6686,49,False,0,Cardiff,Huddersfield,2,2,3,1819
0,0,4,0,14.3,107,33,0,0,2.0,4.0,2018-09-02T12:30:00Z,6,1,0,0,0,0,4,0,29108,3,2,2.0,1,-2735,3344,6079,49,True,0,Cardiff,Arsenal,2,4,3,1819
0,0,0,0,0.0,107,42,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,6,0,0,0,0,5,0,26244,1,4,0.0,0,-3418,2024,5442,49,False,0,Cardiff,Chelsea,2,4,3,1819
0,0,1,0,0.7,107,54,2,0,0.2,1.6,2018-09-22T14:00:00Z,27,13,0,0,0,0,6,0,23641,5,0,0.0,1,-2971,987,3958,48,True,0,Cardiff,Man City,2,4,3,1819
0,0,3,0,2.1,107,63,2,0,5.3,1.4,2018-09-30T15:00:00Z,70,4,0,0,0,0,7,0,22513,2,1,49.0,2,-1472,1055,2527,48,True,0,Cardiff,Burnley,2,2,3,1819
0,0,0,0,0.0,107,79,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,17,0,0,0,0,8,0,22868,0,1,0.0,0,-76,2084,2160,48,False,0,Cardiff,Spurs,2,4,3,1819
0,0,0,0,0.0,107,83,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,9,0,0,0,0,9,0,21250,2,4,0.0,0,-1808,892,2700,47,True,0,Cardiff,Fulham,2,2,3,1819
0,0,3,0,0.0,107,96,2,0,0.0,0.0,2018-10-27T14:00:00Z,7,12,0,0,0,0,10,0,20810,1,4,0.0,1,-659,993,1652,47,False,0,Cardiff,Liverpool,2,5,3,1819
0,0,0,0,0.0,107,103,0,0,0.0,0.0,2018-11-03T15:00:00Z,0,11,0,0,0,0,11,0,20471,1,0,0.0,0,-536,1021,1557,47,True,0,Cardiff,Leicester,2,3,3,1819
0,0,0,0,0.0,107,112,0,0,0.0,0.0,2018-11-10T12:30:00Z,0,3,0,0,0,0,12,0,19111,1,2,0.0,0,-1390,393,1783,47,True,0,Cardiff,Brighton,2,2,3,1819
0,0,0,0,0.0,107,124,0,0,0.0,0.0,2018-11-24T15:00:00Z,0,8,0,0,0,0,13,0,17548,0,1,0.0,0,-1580,88,1668,47,False,0,Cardiff,Everton,2,3,3,1819
0,0,0,0,0.0,107,132,0,0,0.0,0.0,2018-11-30T20:00:00Z,0,20,0,0,0,0,14,0,16958,1,2,0.0,0,-670,56,726,47,True,0,Cardiff,Wolves,2,3,3,1819
