assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,14,0,0.3,48,9,2,0,1.5,15.0,2018-08-11T14:00:00Z,90,18,0,0,0,0,1,0,152747,0,2,0.0,1,0,0,0,45,False,0,Brighton,Watford,2,3,1,1819
0,0,2,0,0.0,48,11,0,0,0.0,0.0,2018-08-19T15:00:00Z,19,14,0,0,0,0,2,0,145429,2,3,0.0,1,-12459,1424,13883,45,True,0,Brighton,Man Utd,2,4,1,1819
0,0,0,0,0.0,48,25,0,0,0.0,0.0,2018-08-25T16:30:00Z,0,12,0,0,0,0,3,0,111976,0,1,0.0,0,-33424,392,33816,45,False,0,Brighton,Liverpool,2,5,1,1819
0,0,16,0,21.8,48,31,2,0,4.0,14.2,2018-09-01T14:00:00Z,90,9,0,0,0,0,4,0,92382,2,2,4.0,1,-20334,276,20610,44,True,0,Brighton,Fulham,2,2,1,1819
0,0,15,0,10.2,48,47,2,0,2.2,11.6,2018-09-17T19:00:00Z,90,16,0,0,0,0,5,0,85938,2,2,0.0,1,-7287,909,8196,44,False,0,Brighton,Southampton,2,2,1,1819
0,0,10,0,0.0,48,52,2,0,2.6,14.2,2018-09-22T16:30:00Z,90,17,0,0,0,0,6,0,81353,2,1,12.0,1,-4821,460,5281,44,True,0,Brighton,Spurs,2,4,1,1819
0,0,12,0,0.0,48,67,2,0,2.7,26.8,2018-09-29T14:00:00Z,90,13,0,0,0,0,7,0,77723,0,2,0.0,1,-3753,515,4268,44,False,0,Brighton,Man City,2,5,1,1819
0,0,23,1,0.2,48,71,0,0,1.6,15.8,2018-10-05T19:00:00Z,90,19,0,0,0,0,8,0,75661,0,1,0.0,6,-2207,769,2976,44,True,0,Brighton,West Ham,2,3,1,1819
0,2,31,1,0.1,48,88,0,0,4.5,44.6,2018-10-20T14:00:00Z,90,15,0,0,0,0,9,0,75812,1,0,0.0,8,-232,2923,3155,44,False,0,Brighton,Newcastle,2,3,1,1819
0,0,27,1,0.2,48,91,0,0,3.6,33.4,2018-10-27T14:00:00Z,90,20,0,0,0,0,10,0,84690,0,1,2.0,5,7468,9597,2129,44,True,1,Brighton,Wolves,2,3,1,1819
0,0,17,0,0.3,48,105,3,1,7.5,40.0,2018-11-03T15:00:00Z,90,8,0,0,0,0,11,0,89245,1,3,35.0,6,4614,7210,2596,44,False,1,Brighton,Everton,2,3,1,1819
0,2,26,0,0.0,48,112,2,1,10.1,67.8,2018-11-10T12:30:00Z,90,5,0,0,0,0,12,0,131165,1,2,33.0,9,36625,39339,2714,44,False,0,Brighton,Cardiff,2,2,1,1819
0,1,19,0,0.3,48,122,1,0,1.7,17.0,2018-11-24T15:00:00Z,90,11,0,0,0,0,13,0,250915,1,1,0.0,3,112094,119012,6918,45,True,0,Brighton,Leicester,2,3,1,1819
0,0,17,0,2.9,48,135,1,0,2.9,24.0,2018-12-01T15:00:00Z,90,10,0,0,0,0,14,0,271388,2,1,2.0,2,23806,30044,6238,45,False,0,Brighton,Huddersfield,2,2,1,1819
0,0,10,0,0.3,48,142,1,0,2.9,26.4,2018-12-04T19:45:00Z,90,7,0,0,0,0,15,0,273850,1,3,2.0,2,2758,12476,9718,45,True,0,Brighton,Crystal Palace,2,2,1,1819
0,0,13,0,1.4,48,153,1,0,3.4,15.2,2018-12-08T15:00:00Z,90,4,0,0,0,0,16,0,301263,0,1,17.0,2,21981,31985,10004,45,False,0,Brighton,Burnley,2,3,1,1819
0,0,7,0,0.3,48,161,2,0,2.0,15.4,2018-12-16T13:30:00Z,90,6,0,0,0,0,17,0,285482,2,1,4.0,0,-11026,10409,21435,45,True,1,Brighton,Chelsea,2,4,1,1819
0,0,2,0,0.3,48,172,2,0,3.4,16.4,2018-12-22T15:00:00Z,72,2,0,0,0,1,18,0,276740,0,2,17.0,-2,-9910,6159,16069,45,False,0,Brighton,Bournemouth,2,3,1,1819
0,0,0,0,0.0,48,181,0,0,0.0,0.0,2018-12-26T17:15:00Z,0,1,0,0,0,0,19,0,212528,1,1,0.0,0,-62451,422,62873,45,True,0,Brighton,Arsenal,2,4,1,1819
0,0,25,1,10.8,48,191,0,0,3.8,19.0,2018-12-29T15:00:00Z,90,8,0,0,0,0,20,0,192445,0,1,8.0,6,-21501,691,22192,45,True,0,Brighton,Everton,2,2,1,1819
0,0,13,0,0.1,48,209,2,0,1.2,11.6,2019-01-02T19:45:00Z,90,19,0,0,0,0,21,0,189262,2,2,0.0,1,-4584,3375,7959,45,False,0,Brighton,West Ham,2,3,1,1819
0,0,14,0,0.3,48,211,1,0,2.3,20.6,2019-01-12T15:00:00Z,90,12,0,0,0,0,22,0,175784,1,0,2.0,2,-13539,1784,15323,45,True,0,Brighton,Liverpool,2,4,1,1819
0,0,19,0,0.8,48,226,2,0,3.5,26.2,2019-01-19T15:00:00Z,90,14,0,0,0,0,23,0,164067,1,2,8.0,1,-11857,2091,13948,45,False,0,Brighton,Man Utd,2,4,1,1819
0,0,13,0,0.6,48,233,4,0,2.8,27.0,2019-01-29T19:45:00Z,90,9,0,0,0,0,24,0,162380,2,4,0.0,-1,-2425,3859,6284,45,False,1,Brighton,Fulham,2,2,1,1819
0,0,25,1,10.8,48,241,0,0,3.7,13.8,2019-02-02T15:00:00Z,90,18,0,0,0,0,25,0,157268,0,0,12.0,6,-4043,2193,6236,45,True,0,Brighton,Watford,2,3,1,1819
