assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,16,1,34.6,150,3,0,0,5.1,16.8,2018-08-11T14:00:00Z,90,9,0,0,0,0,1,0,465750,2,0,0.0,3,0,0,0,65,False,0,Crystal Palace,Fulham,2,2,2,1819
0,0,13,0,5.3,150,15,2,0,3.2,19.6,2018-08-20T19:00:00Z,90,12,0,0,0,0,2,0,414619,2,0,7.0,2,-59480,3631,63111,65,True,0,Crystal Palace,Liverpool,2,4,2,1819
0,0,15,0,29.8,150,29,2,0,4.4,14.6,2018-08-26T12:30:00Z,90,18,0,0,0,0,3,0,347954,1,2,0.0,2,-69826,4640,74466,64,False,0,Crystal Palace,Watford,2,3,2,1819
0,0,10,0,34.1,150,35,2,0,7.1,30.2,2018-09-01T14:00:00Z,90,16,0,0,0,0,4,0,306296,2,0,7.0,2,-44605,6758,51363,64,True,0,Crystal Palace,Southampton,2,2,2,1819
0,0,9,1,6.8,150,44,0,0,1.2,5.4,2018-09-15T14:00:00Z,90,10,0,0,0,0,5,0,266938,1,0,0.0,3,-41310,5436,46746,63,False,0,Crystal Palace,Huddersfield,2,2,2,1819
0,0,24,1,19.8,150,55,0,0,7.1,29.4,2018-09-22T14:00:00Z,90,15,0,0,0,0,6,0,235022,0,0,22.0,3,-32641,2557,35198,63,True,0,Crystal Palace,Newcastle,2,2,2,1819
0,0,16,0,13.9,150,62,2,0,5.0,16.0,2018-10-01T19:00:00Z,90,2,0,0,0,0,7,0,211536,1,2,20.0,2,-24104,1458,25562,62,False,0,Crystal Palace,Bournemouth,2,3,2,1819
0,0,18,0,18.3,150,73,1,0,5.5,21.4,2018-10-06T14:00:00Z,90,20,0,0,0,0,8,0,196455,1,0,15.0,2,-15689,1421,17110,62,True,0,Crystal Palace,Wolves,2,3,2,1819
0,0,-7,0,1.7,150,85,2,0,5.1,24.0,2018-10-21T15:00:00Z,90,8,0,1,0,0,9,0,177382,0,2,25.0,-1,-19587,1218,20805,61,False,1,Crystal Palace,Everton,2,3,2,1819
0,3,45,0,28.3,150,93,2,2,14.1,74.6,2018-10-28T13:30:00Z,90,1,0,0,0,0,10,0,158667,2,2,38.0,15,-18967,355,19322,61,True,0,Crystal Palace,Arsenal,2,4,2,1819
0,0,13,0,11.6,150,104,3,0,3.0,18.6,2018-11-04T16:00:00Z,90,6,0,0,0,0,11,0,160038,1,3,0.0,1,133,6053,5920,61,False,1,Crystal Palace,Chelsea,2,4,2,1819
0,0,19,0,32.6,150,114,1,0,6.5,24.0,2018-11-10T17:30:00Z,90,17,0,0,0,0,12,0,156523,1,0,8.0,2,-3703,2907,6610,60,True,0,Crystal Palace,Spurs,2,4,2,1819
0,0,10,1,23.8,150,126,0,0,5.5,29.2,2018-11-24T15:00:00Z,90,14,0,0,0,0,13,0,154289,0,0,2.0,2,-2750,3555,6305,60,False,1,Crystal Palace,Man Utd,2,4,2,1819
0,0,8,1,12.6,150,134,0,0,4.6,5.2,2018-12-01T15:00:00Z,90,4,0,0,0,0,14,0,159825,0,2,28.0,3,4725,8246,3521,60,True,0,Crystal Palace,Burnley,2,2,2,1819
0,3,30,0,6.5,150,142,3,1,10.3,50.6,2018-12-04T19:45:00Z,90,3,0,0,0,0,15,0,157354,1,3,46.0,9,-2086,3215,5301,60,False,1,Crystal Palace,Brighton,2,2,2,1819
0,0,12,0,13.1,150,160,3,0,3.7,15.0,2018-12-08T15:00:00Z,90,19,0,0,0,0,16,0,165970,2,3,9.0,2,7324,10535,3211,60,False,0,Crystal Palace,West Ham,2,3,2,1819
0,3,39,1,13.2,150,162,0,1,7.1,49.4,2018-12-15T15:00:00Z,90,11,0,0,0,0,17,0,162393,0,1,8.0,11,-3126,3806,6932,60,True,0,Crystal Palace,Leicester,2,3,2,1819
0,3,35,0,0.9,150,177,2,1,6.7,48.6,2018-12-22T15:00:00Z,90,13,0,0,0,0,18,0,172035,3,2,17.0,10,7646,12973,5327,60,False,0,Crystal Palace,Man City,2,5,2,1819
0,0,9,1,28.7,150,183,0,0,5.5,8.2,2018-12-26T15:00:00Z,90,5,0,0,0,0,19,0,243008,0,0,18.0,3,63857,68909,5052,60,True,0,Crystal Palace,Cardiff,2,2,2,1819
0,0,15,0,3.7,150,193,1,0,2.2,14.6,2018-12-30T12:00:00Z,90,6,0,0,0,0,20,0,233159,1,0,4.0,2,-6272,16648,22920,61,True,0,Crystal Palace,Chelsea,2,4,2,1819
0,0,24,1,3.9,150,210,0,1,6.8,39.4,2019-01-02T19:45:00Z,90,20,0,0,0,0,21,0,234416,2,0,25.0,7,-1014,17453,18467,61,False,1,Crystal Palace,Wolves,2,3,2,1819
0,0,15,0,53.7,150,215,2,0,10.6,30.0,2019-01-12T15:00:00Z,90,18,0,0,0,0,22,0,300297,2,1,22.0,1,60122,79393,19271,61,True,1,Crystal Palace,Watford,2,3,2,1819
1,0,24,0,15.8,150,225,4,0,4.7,31.2,2019-01-19T15:00:00Z,90,12,0,0,0,0,23,0,277386,3,4,0.0,5,-20865,19452,40317,61,False,0,Crystal Palace,Liverpool,2,5,2,1819
0,0,8,0,33.2,150,239,1,0,5.2,10.4,2019-01-30T19:45:00Z,90,16,0,0,0,0,24,0,306296,1,1,8.0,1,26393,42471,16078,61,False,1,Crystal Palace,Southampton,2,2,2,1819
0,3,32,1,51.7,150,245,0,1,12.8,51.0,2019-02-02T15:00:00Z,90,9,0,0,0,0,25,0,298209,0,2,25.0,11,-5567,13435,19002,61,True,0,Crystal Palace,Fulham,2,2,2,1819
0,0,16,0,50.0,150,252,1,0,7.8,19.6,2019-02-09T15:00:00Z,90,19,0,0,0,0,26,0,392309,1,1,8.0,1,87739,97992,10253,62,True,1,Crystal Palace,West Ham,2,3,2,1819
0,2,32,0,10.8,150,267,1,1,8.5,57.6,2019-02-23T17:30:00Z,90,11,0,0,0,0,27,0,407272,4,1,17.0,9,12473,36781,24308,62,False,0,Crystal Palace,Leicester,2,3,2,1819
0,0,17,0,62.9,150,273,3,0,9.0,26.2,2019-02-27T20:00:00Z,90,14,0,0,0,0,28,0,425072,3,1,1.0,2,20412,32222,11810,62,True,0,Crystal Palace,Man Utd,2,4,2,1819
0,0,9,0,6.6,150,283,1,0,1.8,9.6,2019-03-02T15:00:00Z,90,4,0,0,0,0,29,0,453362,3,1,2.0,2,27504,42256,14752,63,False,0,Crystal Palace,Burnley,2,3,2,1819
0,3,36,0,37.3,150,294,2,1,10.4,48.2,2019-03-09T12:30:00Z,90,3,0,0,0,0,30,0,471441,2,1,18.0,10,16826,34868,18042,63,True,0,Crystal Palace,Brighton,2,2,2,1819
0,1,30,1,21.5,150,315,0,1,8.8,49.6,2019-03-30T15:00:00Z,90,10,0,0,0,0,32,0,561511,0,2,17.0,9,73006,91044,18038,63,True,0,Crystal Palace,Huddersfield,2,2,2,1819
0,0,13,0,11.0,150,307,2,0,2.2,11.0,2019-04-03T18:45:00Z,90,17,0,0,0,0,32,0,561511,0,2,0.0,2,73006,91044,18038,63,False,0,Crystal Palace,Spurs,2,4,2,1819
0,2,30,1,9.9,150,326,0,1,7.0,43.4,2019-04-06T14:00:00Z,90,15,0,0,0,0,33,0,605522,1,0,17.0,10,62517,71300,8783,64,False,0,Crystal Palace,Newcastle,2,3,2,1819
