assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,0,0,0.0,567,140,0,0,0.0,0.0,2019-12-01T14:00:00Z,0,15,0,0,0,0,14,0,0,1,1,0.0,0,0,0,0,45,True,0,Wolves,Sheffield Utd,3,3,2,1920
0,0,0,0,0.0,567,146,0,0,0.0,0.0,2019-12-04T19:30:00Z,0,19,0,0,0,0,15,0,97,0,2,0.0,0,53,65,12,45,True,0,Wolves,West Ham,3,2,2,1920
0,0,0,0,0.0,567,153,0,0,0.0,0.0,2019-12-08T16:30:00Z,0,4,0,0,0,0,16,0,233,2,2,0.0,0,69,98,29,45,False,0,Wolves,Brighton,4,2,2,1920
0,0,0,0,0.0,567,170,0,0,0.0,0.0,2019-12-15T14:00:00Z,0,17,0,0,0,0,17,0,487,2,1,0.0,0,126,182,56,45,True,0,Wolves,Spurs,3,3,2,1920
0,0,0,0,0.0,567,177,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,14,0,0,0,0,18,0,704,2,1,0.0,0,78,174,96,45,False,0,Wolves,Norwich,4,2,2,1920
0,0,0,0,0.0,567,190,0,0,0.0,0.0,2019-12-27T19:45:00Z,0,11,0,0,0,0,19,0,755,2,3,0.0,0,65,136,71,45,True,0,Wolves,Man City,3,4,2,1920
0,0,0,0,0.0,567,194,0,0,0.0,0.0,2019-12-29T16:30:00Z,0,10,0,0,0,0,20,0,853,0,1,0.0,0,62,128,66,45,False,0,Wolves,Liverpool,4,5,2,1920
0,0,0,0,0.0,567,209,0,0,0.0,0.0,2020-01-01T15:00:00Z,0,18,0,0,0,0,21,0,969,1,2,0.0,0,50,182,132,45,False,0,Wolves,Watford,4,3,2,1920
0,0,0,0,0.0,567,220,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,13,0,0,0,0,22,0,1101,1,1,0.0,0,49,170,121,45,True,0,Wolves,Newcastle,3,2,2,1920
0,0,0,0,0.0,567,228,0,0,0.0,0.0,2020-01-18T15:00:00Z,0,16,0,0,0,0,23,0,1235,3,2,0.0,0,48,171,123,45,False,0,Wolves,Southampton,4,2,2,1920
0,0,0,0,0.0,567,237,0,0,0.0,0.0,2020-01-23T20:00:00Z,0,10,0,0,0,0,24,0,1225,2,1,0.0,0,-40,56,96,45,True,0,Wolves,Liverpool,3,4,2,1920
0,0,0,0,0.0,567,246,0,0,0.0,0.0,2020-02-01T17:30:00Z,0,12,0,0,0,0,25,0,1226,0,0,0.0,0,-45,50,95,45,False,0,Wolves,Man Utd,4,4,2,1920
0,0,0,0,0.0,567,260,0,0,0.0,0.0,2020-02-14T20:00:00Z,0,9,0,0,0,0,26,0,1290,0,0,0.0,0,38,109,71,45,True,0,Wolves,Leicester,3,3,2,1920
0,0,0,0,0.0,567,270,0,0,0.0,0.0,2020-02-23T14:00:00Z,0,14,0,0,0,0,27,0,1307,0,3,0.0,0,-13,60,73,45,True,0,Wolves,Norwich,3,2,2,1920
0,0,0,0,0.0,567,278,0,0,0.0,0.0,2020-03-01T14:00:00Z,0,17,0,0,0,0,28,0,1348,3,2,0.0,0,-11,47,58,45,False,0,Wolves,Spurs,4,4,2,1920
0,0,0,0,0.0,567,290,0,0,0.0,0.0,2020-03-07T15:00:00Z,0,4,0,0,0,0,29,0,1309,0,0,0.0,0,-33,31,64,45,True,0,Wolves,Brighton,3,2,2,1920
0,0,0,0,0.0,567,300,0,0,0.0,0.0,2020-06-20T16:30:00Z,0,19,0,0,0,0,39,0,1372,2,0,0.0,0,-8,129,137,45,False,0,Wolves,West Ham,4,2,2,1920
0,0,0,0,0.0,567,310,0,0,0.0,0.0,2020-06-24T17:00:00Z,0,3,0,0,0,0,40,0,1402,0,1,0.0,0,-17,26,43,45,True,0,Wolves,Bournemouth,3,2,2,1920
0,0,0,0,0.0,567,312,0,0,0.0,0.0,2020-06-27T11:30:00Z,0,2,0,0,0,0,41,0,1420,1,0,0.0,0,-4,35,39,45,False,0,Wolves,Aston Villa,4,2,2,1920
0,0,0,0,0.0,567,330,0,0,0.0,0.0,2020-07-04T16:30:00Z,0,1,0,0,0,0,42,0,1429,2,0,0.0,0,-12,32,44,45,True,0,Wolves,Arsenal,3,3,2,1920
0,0,0,0,0.0,567,338,0,0,0.0,0.0,2020-07-08T17:00:00Z,0,15,0,0,0,0,43,0,1420,0,1,0.0,0,-25,17,42,45,False,0,Wolves,Sheffield Utd,4,3,2,1920
0,0,0,0,0.0,567,350,0,0,0.0,0.0,2020-07-12T11:00:00Z,0,8,0,0,0,0,44,0,1424,0,3,0.0,0,-11,20,31,45,True,0,Wolves,Everton,3,2,2,1920
0,0,0,0,0.0,567,352,0,0,0.0,0.0,2020-07-15T17:00:00Z,0,5,0,0,0,0,45,0,1430,1,1,0.0,0,-2,31,33,45,False,0,Wolves,Burnley,4,3,2,1920
0,0,0,0,0.0,567,370,0,0,0.0,0.0,2020-07-20T19:15:00Z,0,7,0,0,0,0,46,0,1443,0,2,0.0,0,4,26,22,45,True,0,Wolves,Crystal Palace,3,3,2,1920
0,0,0,0,0.0,567,373,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,6,0,0,0,0,47,0,1499,0,2,0.0,0,6,52,46,45,False,0,Wolves,Chelsea,4,4,2,1920
0,0,0,0,0.0,614,148,0,0,0.0,0.0,2020-12-27T19:15:00Z,0,17,0,0,0,0,15,0,0,1,1,0.0,0,0,0,0,45,True,0,Wolves,Spurs,3,3,2,2021
0,0,0,0,0.0,614,154,0,0,0.0,0.0,2020-12-29T20:00:00Z,0,13,0,0,0,0,16,0,71,0,1,0.0,0,45,56,11,45,False,0,Wolves,Man Utd,2,4,2,2021
0,0,0,0,0.0,614,159,0,0,0.0,0.0,2021-01-02T17:30:00Z,0,3,0,0,0,0,17,0,221,3,3,0.0,0,94,142,48,45,False,0,Wolves,Brighton,2,3,2,2021
0,0,0,0,0.0,614,176,0,0,0.0,0.0,2021-01-12T20:15:00Z,0,7,0,0,0,0,18,0,1096,2,1,0.0,0,168,279,111,45,True,0,Wolves,Everton,3,4,2,2021
0,0,0,0,0.0,614,188,0,0,0.0,0.0,2021-01-16T12:30:00Z,0,18,0,0,0,0,19,0,653,3,2,0.0,0,13,101,88,45,True,0,Wolves,West Brom,3,2,2,2021
0,0,0,0,0.0,614,194,0,0,0.0,0.0,2021-01-27T18:00:00Z,0,5,0,0,0,0,20,0,689,0,0,0.0,0,24,121,97,45,False,0,Wolves,Chelsea,2,4,2,2021
0,0,0,0,0.0,614,202,0,0,0.0,0.0,2021-01-30T15:00:00Z,0,6,0,0,0,0,21,0,708,0,1,0.0,0,-22,67,89,45,False,0,Wolves,Crystal Palace,2,3,2,2021
0,0,0,0,0.0,614,215,0,0,0.0,0.0,2021-02-02T18:00:00Z,0,1,0,0,0,0,22,0,761,1,2,0.0,0,15,94,79,45,True,0,Wolves,Arsenal,3,3,2,2021
0,0,0,0,0.0,614,228,0,0,0.0,0.0,2021-02-07T14:00:00Z,0,9,0,0,0,0,23,0,773,0,0,0.0,0,-21,58,79,45,True,0,Wolves,Leicester,3,4,2,2021
0,0,0,0,0.0,614,236,0,0,0.0,0.0,2021-02-14T12:00:00Z,0,16,0,0,0,0,24,0,850,2,1,0.0,0,8,111,103,45,False,0,Wolves,Southampton,2,2,2,2021
0,0,0,0,0.0,614,248,0,0,0.0,0.0,2021-02-19T20:00:00Z,0,10,0,0,0,0,25,0,879,0,1,0.0,0,-10,86,96,45,True,0,Wolves,Leeds,3,3,2,2021
0,0,0,0,0.0,614,255,0,0,0.0,0.0,2021-02-27T20:00:00Z,0,14,0,0,0,0,26,0,1001,1,1,0.0,0,43,151,108,45,False,0,Wolves,Newcastle,2,2,2,2021
0,0,0,0,0.0,614,284,0,0,0.0,0.0,2021-03-02T20:00:00Z,0,12,0,0,0,0,26,0,1001,1,4,0.0,0,43,151,108,45,False,0,Wolves,Man City,2,5,2,2021
0,0,0,0,0.0,614,259,0,0,0.0,0.0,2021-03-06T17:30:00Z,0,2,0,0,0,0,27,0,1030,0,0,0.0,0,27,98,71,45,False,0,Wolves,Aston Villa,2,3,2,2021
0,0,0,0,0.0,614,278,0,0,0.0,0.0,2021-03-15T20:00:00Z,0,11,0,0,0,0,28,0,1079,1,0,0.0,0,26,110,84,45,True,0,Wolves,Liverpool,3,4,2,2021
0,0,0,0,0.0,614,298,0,0,0.0,0.0,2021-04-05T19:15:00Z,0,19,0,0,0,0,30,0,1139,3,2,0.0,0,16,69,53,45,True,0,Wolves,West Ham,3,4,2,2021
0,0,0,0,0.0,614,302,0,0,0.0,0.0,2021-04-09T19:00:00Z,0,8,0,0,0,0,31,0,1160,1,0,0.0,0,0,66,66,45,False,0,Wolves,Fulham,2,2,2,2021
0,0,0,0,0.0,614,318,0,0,0.0,0.0,2021-04-17T19:15:00Z,0,15,0,0,0,0,32,0,1161,0,1,0.0,0,-17,39,56,45,True,0,Wolves,Sheffield Utd,3,2,2,2021
0,0,0,0,0.0,614,328,0,0,0.0,0.0,2021-04-25T11:00:00Z,0,4,0,0,0,0,33,0,1192,4,0,0.0,0,-1,37,38,45,True,0,Wolves,Burnley,3,2,2,2021
0,0,0,0,0.0,614,338,0,0,0.0,0.0,2021-05-03T17:00:00Z,0,18,0,0,0,0,34,0,1202,1,1,0.0,0,11,24,13,45,False,0,Wolves,West Brom,2,2,2,2021
0,0,0,0,0.0,614,348,0,0,0.0,0.0,2021-05-09T11:00:00Z,0,3,0,0,0,0,35,0,1229,1,2,0.0,0,6,41,35,45,True,0,Wolves,Brighton,3,3,2,2021
0,0,0,0,0.0,614,358,0,0,0.0,0.0,2021-05-16T13:05:00Z,0,17,0,0,0,0,36,0,1292,0,2,0.0,0,36,69,33,45,False,0,Wolves,Spurs,2,4,2,2021
0,0,0,0,0.0,614,363,0,0,0.0,0.0,2021-05-19T17:00:00Z,0,7,0,0,0,0,37,0,1313,0,1,0.0,0,22,69,47,45,False,0,Wolves,Everton,2,3,2,2021
0,0,0,0,0.0,614,378,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,13,0,0,0,0,38,0,1394,2,1,0.0,0,58,108,50,45,True,0,Wolves,Man Utd,3,4,2,2021
