assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
1,2,32,1,19.9,115,4,0,0,5.1,13.0,2018-08-11T14:00:00Z,90,10,0,0,0,0,1,0,727837,3,0,18.0,11,0,0,0,65,False,0,Chelsea,Huddersfield,4,2,1,1819
1,3,47,0,25.5,115,14,2,1,13.4,75.0,2018-08-18T16:30:00Z,90,1,0,0,0,0,2,0,950830,2,3,33.0,13,57991,84800,26809,65,True,0,Chelsea,Arsenal,4,4,1,1819
2,3,31,0,11.6,115,27,1,0,3.6,12.0,2018-08-26T15:00:00Z,90,15,0,0,0,0,3,0,1530646,2,1,12.0,11,448028,470266,22238,66,False,0,Chelsea,Newcastle,4,3,1,1819
1,1,29,1,15.2,115,34,0,0,9.8,31.6,2018-09-01T14:00:00Z,90,2,0,0,0,0,4,0,1938564,0,2,51.0,9,331715,345172,13457,67,True,1,Chelsea,Bournemouth,4,2,1,1819
0,0,16,0,39.0,115,42,1,0,5.6,14.4,2018-09-15T14:00:00Z,90,5,0,0,0,0,5,0,2354495,1,4,3.0,2,338834,350248,11414,68,True,0,Chelsea,Cardiff,4,2,1,1819
0,0,26,1,20.1,115,60,0,0,2.8,7.4,2018-09-23T12:30:00Z,90,19,0,0,0,0,6,0,2511720,0,0,0.0,6,135335,157420,22085,69,False,0,Chelsea,West Ham,4,3,1,1819
0,0,13,0,2.1,115,64,1,0,3.2,21.0,2018-09-29T16:30:00Z,90,12,0,0,0,0,7,0,2558150,1,1,9.0,2,41220,80406,39186,69,True,0,Chelsea,Liverpool,4,4,1,1819
0,0,20,1,16.8,115,78,0,0,5.5,14.2,2018-10-07T13:15:00Z,90,16,0,0,0,0,8,0,2629895,3,0,24.0,6,38489,64831,26342,69,False,0,Chelsea,Southampton,4,2,1,1819
0,0,10,0,9.7,115,84,2,0,3.2,14.4,2018-10-20T11:30:00Z,90,14,0,0,0,0,9,0,2646049,2,2,8.0,1,3320,52681,49361,70,True,0,Chelsea,Man Utd,4,4,1,1819
1,2,44,1,35.3,115,92,0,0,7.2,18.8,2018-10-28T13:30:00Z,90,4,0,0,0,0,10,0,2662106,4,0,18.0,11,-278,39973,40251,70,False,0,Chelsea,Burnley,4,3,1,1819
1,1,28,0,33.4,115,104,1,0,8.2,38.8,2018-11-04T16:00:00Z,90,7,0,0,0,0,11,0,2732915,1,3,10.0,6,51632,68091,16459,70,True,0,Chelsea,Crystal Palace,4,2,1,1819
0,2,26,1,13.9,115,113,0,0,4.7,11.4,2018-11-11T14:15:00Z,90,8,0,0,0,0,12,0,2763455,0,0,22.0,8,23112,43864,20752,70,True,0,Chelsea,Everton,4,2,1,1819
0,0,15,0,3.2,115,127,3,0,2.3,13.8,2018-11-24T17:30:00Z,90,17,0,0,0,0,13,0,2824438,1,3,6.0,1,50676,76751,26075,71,False,0,Chelsea,Spurs,4,4,1,1819
0,0,22,1,4.3,115,133,0,0,2.2,10.2,2018-12-02T12:00:00Z,77,9,0,0,0,0,14,0,2844323,0,2,7.0,6,6382,33522,27140,71,True,0,Chelsea,Fulham,4,2,1,1819
0,0,15,0,17.8,115,148,2,0,3.1,13.4,2018-12-05T19:45:00Z,90,20,0,0,0,0,15,0,2834411,1,2,0.0,0,-12260,22789,35049,71,False,1,Chelsea,Wolves,4,3,1,1819
0,0,25,1,0.9,115,155,0,0,2.6,22.8,2018-12-08T17:30:00Z,90,13,0,0,0,0,16,0,2710631,0,2,2.0,6,-107744,13702,121446,71,True,0,Chelsea,Man City,4,4,1,1819
0,0,8,0,2.5,115,161,1,0,2.5,3.2,2018-12-16T13:30:00Z,90,3,0,0,0,0,17,0,2750068,2,1,19.0,1,4385,41520,37135,70,False,1,Chelsea,Brighton,4,2,1,1819
0,0,11,0,24.8,115,174,1,0,5.9,15.8,2018-12-22T15:00:00Z,90,11,0,0,0,0,18,0,2732156,1,0,18.0,2,-24195,25740,49935,70,True,0,Chelsea,Leicester,4,3,1,1819
0,0,13,0,17.5,115,190,1,0,3.0,8.0,2018-12-26T19:30:00Z,90,18,0,0,0,0,19,0,2622106,2,1,4.0,2,-109577,13380,122957,69,False,0,Chelsea,Watford,4,3,1,1819
0,0,24,1,6.7,115,193,0,0,1.6,9.4,2018-12-30T12:00:00Z,90,7,0,0,0,0,20,0,2515097,1,0,0.0,5,-114937,16647,131584,68,False,1,Chelsea,Crystal Palace,4,2,1,1819
0,2,31,1,11.3,115,204,0,0,5.6,18.6,2019-01-02T19:45:00Z,90,16,0,0,0,0,21,0,2444401,0,0,26.0,8,-84541,29350,113891,68,True,0,Chelsea,Southampton,4,2,1,1819
0,0,17,0,18.8,115,214,1,0,4.8,23.2,2019-01-12T17:30:00Z,90,15,0,0,0,0,22,0,2385299,1,2,6.0,2,-72510,32117,104627,67,True,0,Chelsea,Newcastle,4,2,1,1819
0,0,7,0,6.3,115,221,2,0,4.3,7.0,2019-01-19T17:30:00Z,90,1,0,0,0,0,23,0,2182963,0,2,30.0,1,-202775,17858,220633,66,False,0,Chelsea,Arsenal,4,4,1,1819
0,0,0,0,0.0,115,232,0,0,0.0,0.0,2019-01-30T19:45:00Z,0,2,0,0,0,0,24,0,2108439,0,4,0.0,0,-85863,22725,108588,66,False,0,Chelsea,Bournemouth,4,3,1,1819
0,0,33,1,30.8,115,244,0,0,8.4,27.4,2019-02-02T15:00:00Z,90,10,0,0,0,0,25,0,2020874,0,5,26.0,6,-82631,18104,100735,65,True,0,Chelsea,Huddersfield,4,2,1,1819
0,0,11,0,17.5,115,256,5,0,2.9,11.4,2019-02-10T16:00:00Z,72,13,0,0,0,0,26,0,1932209,0,6,0.0,-1,-99076,8150,107226,65,False,1,Chelsea,Man City,4,5,1,1819
0,3,34,1,3.9,115,276,0,0,4.1,24.8,2019-02-27T20:00:00Z,90,17,0,0,0,0,28,0,1714710,0,2,12.0,9,-46901,5314,52215,64,True,0,Chelsea,Spurs,4,4,1,1819
0,0,0,0,0.0,115,285,0,0,0.0,0.0,2019-03-03T14:05:00Z,0,9,0,0,0,0,29,0,1723007,2,1,0.0,0,5044,28950,23906,64,False,0,Chelsea,Fulham,4,2,1,1819
0,0,0,0,0.0,115,293,0,0,0.0,0.0,2019-03-10T14:05:00Z,0,20,0,0,0,0,30,0,1688577,1,1,0.0,0,-35548,12564,48112,64,True,0,Chelsea,Wolves,4,3,1,1819
0,0,6,0,24.8,115,304,2,0,9.5,24.2,2019-03-17T16:30:00Z,90,8,0,0,0,0,31,0,1724884,0,2,46.0,0,-12380,29260,41640,64,False,1,Chelsea,Everton,4,3,1,1819
1,0,23,0,53.8,115,314,1,0,10.8,27.8,2019-03-31T13:05:00Z,90,5,0,0,0,0,32,0,1674431,2,1,26.0,5,-8763,37045,45808,64,False,0,Chelsea,Cardiff,4,2,1,1819
0,0,0,0,0.0,115,265,0,0,0.0,0.0,2019-04-03T18:45:00Z,0,3,0,0,0,0,32,0,1674431,0,3,0.0,0,-8763,37045,45808,64,True,0,Chelsea,Brighton,4,2,1,1819
0,0,0,0,0.0,115,322,0,0,0.0,0.0,2019-04-08T19:00:00Z,0,19,0,0,0,0,33,0,1614628,0,2,0.0,0,-54077,4513,58590,64,True,0,Chelsea,West Ham,4,3,1,1819
0,0,0,0,0.0,115,336,0,0,0.0,0.0,2019-04-14T15:30:00Z,0,12,0,0,0,0,34,0,1539182,0,2,0.0,0,-81726,763,82489,63,False,0,Chelsea,Liverpool,4,5,1,1819
0,0,0,0,0.0,115,344,0,0,0.0,0.0,2019-04-22T19:00:00Z,0,4,0,0,0,0,35,0,1468024,2,2,0.0,0,-68373,3005,71378,63,True,0,Chelsea,Burnley,4,2,1,1819
0,2,25,0,3.3,115,357,1,1,9.0,52.4,2019-04-28T15:30:00Z,90,14,0,0,0,0,36,0,1401657,1,1,34.0,10,-69849,131,69980,63,False,0,Chelsea,Man Utd,4,4,1,1819
0,0,30,1,14.2,115,364,0,0,3.2,16.0,2019-05-05T13:00:00Z,90,18,0,0,0,0,37,0,1397339,0,3,2.0,6,-7398,10279,17677,62,True,0,Chelsea,Watford,4,3,1,1819
0,0,30,1,15.2,115,375,0,0,3.6,17.6,2019-05-12T14:00:00Z,90,11,0,0,0,0,38,0,1396928,0,0,3.0,6,-380,10583,10963,62,False,0,Chelsea,Leicester,4,3,1,1819
0,0,0,0,0.0,103,9,0,0,0.0,0.0,2019-08-11T15:30:00Z,0,12,0,0,0,0,1,0,267531,0,4,0.0,0,0,0,0,65,False,0,Chelsea,Man Utd,4,4,1,1920
0,0,0,0,0.0,103,14,0,0,0.0,0.0,2019-08-18T15:30:00Z,0,9,0,0,0,0,2,0,240438,1,1,0.0,0,-55672,5617,61289,64,True,0,Chelsea,Leicester,4,3,1,1920
0,0,2,0,0.0,103,26,0,0,0.4,2.0,2019-08-24T11:30:00Z,1,14,0,0,0,0,3,0,190504,3,2,2.0,1,-56293,2940,59233,63,False,0,Chelsea,Norwich,4,2,1,1920
0,0,0,0,0.0,103,33,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,15,0,0,0,0,4,0,168016,2,2,0.0,0,-28439,2220,30659,63,True,0,Chelsea,Sheffield Utd,4,3,1,1920
1,0,26,0,17.6,103,50,2,0,7.3,31.8,2019-09-14T14:00:00Z,90,20,0,0,0,0,5,0,151099,5,2,24.0,4,-21946,4117,26063,62,False,0,Chelsea,Wolves,4,3,1,1920
0,0,17,0,43.3,103,53,1,0,5.9,13.0,2019-09-22T15:30:00Z,75,10,0,0,0,0,6,0,155099,2,1,3.0,1,-289,6383,6672,62,True,1,Chelsea,Liverpool,4,4,1,1920
0,0,22,1,27.3,103,63,0,0,5.4,12.0,2019-09-28T14:00:00Z,90,4,0,0,0,0,7,0,174929,0,2,15.0,5,14401,24101,9700,62,True,1,Chelsea,Brighton,4,2,1,1920
1,0,25,0,17.3,103,78,1,0,6.4,38.8,2019-10-06T13:00:00Z,90,16,0,0,0,0,8,0,185899,4,1,8.0,5,7994,14834,6840,62,False,0,Chelsea,Southampton,4,2,1,1920
0,3,32,1,17.9,103,83,0,1,10.7,46.8,2019-10-19T14:00:00Z,90,13,0,0,0,0,9,0,204804,0,1,42.0,14,13812,21770,7958,62,True,1,Chelsea,Newcastle,4,2,1,1920
0,0,23,1,6.5,103,93,0,0,1.7,10.6,2019-10-26T16:30:00Z,62,5,0,0,0,0,10,0,272623,4,2,0.0,6,60470,66155,5685,62,False,0,Chelsea,Burnley,4,3,1,1920
0,0,0,0,0.0,103,109,0,0,0.0,0.0,2019-11-02T17:30:00Z,0,18,0,0,0,0,11,0,329156,2,1,0.0,0,48773,61534,12761,63,False,0,Chelsea,Watford,4,3,1,1920
0,0,0,0,0.0,103,112,0,0,0.0,0.0,2019-11-09T12:30:00Z,0,7,0,0,0,0,12,0,303482,0,2,0.0,0,-29498,15865,45363,63,True,0,Chelsea,Crystal Palace,4,3,1,1920
0,0,0,0,0.0,103,127,0,0,0.0,0.0,2019-11-23T17:30:00Z,0,11,0,0,0,0,13,0,240909,1,2,0.0,0,-60432,5977,66409,62,False,0,Chelsea,Man City,4,4,1,1920
0,0,0,0,0.0,103,132,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,19,0,0,0,0,14,0,215569,1,0,0.0,0,-28302,3024,31326,61,True,0,Chelsea,West Ham,4,2,1,1920
0,0,0,0,0.0,103,147,0,0,0.0,0.0,2019-12-04T19:30:00Z,0,2,0,0,0,0,15,0,200969,1,2,0.0,0,-15809,1331,17140,61,True,0,Chelsea,Aston Villa,4,2,1,1920
0,0,0,0,0.0,103,154,0,0,0.0,0.0,2019-12-07T12:30:00Z,0,8,0,0,0,0,16,0,189392,1,3,0.0,0,-12629,1904,14533,60,False,0,Chelsea,Everton,4,4,1,1920
0,0,0,0,0.0,103,163,0,0,0.0,0.0,2019-12-14T15:00:00Z,0,3,0,0,0,0,17,0,179820,1,0,0.0,0,-11082,2281,13363,60,True,0,Chelsea,Bournemouth,4,2,1,1920
1,2,34,1,19.1,103,178,0,0,6.3,23.2,2019-12-22T16:30:00Z,90,17,0,0,0,0,18,0,174741,2,0,21.0,11,-6506,1687,8193,60,False,0,Chelsea,Spurs,4,4,1,1920
0,0,0,0,0.0,103,183,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,16,0,0,0,0,19,0,191528,2,0,0.0,0,13233,16074,2841,60,True,0,Chelsea,Southampton,4,3,1,1920
0,0,0,0,0.0,103,191,0,0,0.0,0.0,2019-12-29T14:00:00Z,0,1,0,0,0,0,20,0,179513,2,1,0.0,0,-10476,1069,11545,60,False,0,Chelsea,Arsenal,4,4,1,1920
0,0,0,0,0.0,103,202,0,0,0.0,0.0,2020-01-01T12:30:00Z,0,4,0,0,0,0,21,0,166860,1,1,0.0,0,-12859,317,13176,60,False,0,Chelsea,Brighton,4,2,1,1920
0,0,0,0,0.0,103,213,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,5,0,0,0,0,22,0,157553,0,3,0.0,0,-9501,134,9635,60,True,0,Chelsea,Burnley,4,3,1,1920
0,0,0,0,0.0,103,226,0,0,0.0,0.0,2020-01-18T17:30:00Z,0,13,0,0,0,0,23,0,152960,0,1,0.0,0,-4840,138,4978,60,False,0,Chelsea,Newcastle,4,2,1,1920
0,0,0,0,0.0,103,238,0,0,0.0,0.0,2020-01-21T20:15:00Z,0,1,0,0,0,0,24,0,151959,2,2,0.0,0,-1350,589,1939,60,True,0,Chelsea,Arsenal,4,3,1,1920
