assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,0,0,0.0,178,3,0,0,0.0,0.0,2018-08-11T14:00:00Z,0,7,0,0,0,0,1,0,14241,2,0,0.0,0,0,0,0,45,True,0,Fulham,Crystal Palace,2,2,0,1819
0,0,0,0,0.0,178,19,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,17,0,0,0,0,2,0,13315,1,3,0.0,0,-1656,75,1731,45,False,0,Fulham,Spurs,2,4,0,1819
0,0,8,0,0.0,178,23,2,0,0.4,4.2,2018-08-26T15:00:00Z,90,4,0,0,0,0,3,0,11888,2,4,0.0,0,-1603,66,1669,45,True,1,Fulham,Burnley,2,2,0,1819
0,0,29,0,0.0,178,31,2,0,4.7,46.8,2018-09-01T14:00:00Z,90,3,0,0,1,0,4,3,11601,2,2,0.0,7,-534,471,1005,44,False,0,Fulham,Brighton,2,2,0,1819
0,0,19,0,0.0,178,45,3,0,4.7,47.2,2018-09-15T14:00:00Z,90,13,0,0,0,0,5,6,21240,0,3,0.0,3,6599,10594,3995,44,False,0,Fulham,Man City,2,5,0,1819
0,0,19,0,0.0,178,56,1,0,3.9,39.4,2018-09-22T11:30:00Z,90,18,0,0,0,0,6,5,29818,1,1,0.0,3,7303,9964,2661,44,True,0,Fulham,Watford,2,3,0,1819
0,0,14,0,0.0,178,65,3,0,2.0,20.4,2018-09-29T14:00:00Z,90,8,0,0,0,0,7,3,34456,0,3,0.0,2,3847,5803,1956,44,False,0,Fulham,Everton,2,3,0,1819
0,0,13,0,0.0,178,74,5,0,2.1,21.0,2018-10-07T11:00:00Z,90,1,0,0,0,0,8,2,35530,5,1,0.0,0,1062,2850,1788,44,True,0,Fulham,Arsenal,2,4,0,1819
0,0,12,0,0.0,178,83,4,0,1.6,16.0,2018-10-20T14:00:00Z,90,5,0,0,0,0,9,1,37422,2,4,0.0,0,1444,3666,2222,44,False,0,Fulham,Cardiff,2,2,0,1819
0,0,0,0,0.0,178,94,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,2,0,0,0,0,10,0,36277,3,0,0.0,0,-1059,982,2041,44,True,0,Fulham,Bournemouth,2,2,0,1819
0,0,0,0,0.0,178,106,0,0,0.0,0.0,2018-11-05T20:00:00Z,0,10,0,0,0,0,11,0,34213,0,1,0.0,0,-2133,571,2704,44,False,0,Fulham,Huddersfield,2,2,0,1819
0,0,0,0,0.0,178,117,0,0,0.0,0.0,2018-11-11T12:00:00Z,0,12,0,0,0,0,12,0,32451,0,2,0.0,0,-1846,272,2118,44,False,0,Fulham,Liverpool,2,5,0,1819
0,0,0,0,0.0,178,125,0,0,0.0,0.0,2018-11-24T15:00:00Z,0,16,0,0,0,0,13,0,31666,2,3,0.0,0,-1019,505,1524,44,True,0,Fulham,Southampton,2,2,0,1819
0,0,0,0,0.0,178,133,0,0,0.0,0.0,2018-12-02T12:00:00Z,0,6,0,0,0,0,14,0,30712,0,2,0.0,0,-952,120,1072,44,False,0,Fulham,Chelsea,2,4,0,1819
