assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,7,1,8.8,344,8,0,0,7.0,7.8,2018-08-12T12:30:00Z,90,4,0,0,0,0,1,0,9971,0,0,53.0,3,0,0,0,50,True,0,Southampton,Burnley,2,2,2,1819
1,0,13,0,10.9,344,16,2,0,3.9,21.4,2018-08-18T14:00:00Z,90,8,0,0,0,0,2,0,12024,1,2,7.0,4,-1,1484,1485,50,False,1,Southampton,Everton,2,3,2,1819
0,0,10,0,5.8,344,28,2,0,2.6,16.6,2018-08-25T14:00:00Z,90,11,0,0,0,0,3,0,18504,2,1,4.0,2,4059,7201,3142,50,True,0,Southampton,Leicester,2,3,2,1819
0,0,13,1,6.6,344,35,0,0,2.8,21.6,2018-09-01T14:00:00Z,90,7,0,0,0,0,4,0,18955,2,0,0.0,3,-39,2633,2672,50,False,0,Southampton,Crystal Palace,2,2,2,1819
0,0,20,0,2.4,344,47,2,0,2.0,17.6,2018-09-17T19:00:00Z,90,3,0,0,0,0,5,0,23641,2,2,0.0,2,3194,6214,3020,50,True,0,Southampton,Brighton,2,2,2,1819
0,0,4,0,4.1,344,58,3,0,2.7,4.4,2018-09-22T14:00:00Z,90,12,0,0,0,0,6,0,20936,0,3,18.0,1,-2315,848,3163,50,False,1,Southampton,Liverpool,2,5,2,1819
0,0,11,0,4.9,344,70,2,0,1.3,6.6,2018-09-29T14:00:00Z,90,20,0,0,0,0,7,0,19192,0,2,1.0,2,-1876,327,2203,50,False,0,Southampton,Wolves,2,3,2,1819
0,0,10,0,37.1,344,78,3,0,7.4,24.2,2018-10-07T13:15:00Z,90,6,0,0,0,0,8,0,18114,3,0,13.0,1,-1156,244,1400,50,True,1,Southampton,Chelsea,2,4,2,1819
0,0,7,1,1.4,344,82,0,0,2.0,10.8,2018-10-20T14:00:00Z,65,2,0,0,0,0,9,0,17098,0,0,8.0,2,-1186,350,1536,50,False,1,Southampton,Bournemouth,2,3,2,1819
0,0,17,1,13.5,344,98,0,0,3.1,12.6,2018-10-27T14:00:00Z,90,15,0,0,0,0,10,0,15057,0,0,5.0,3,-2025,60,2085,50,True,0,Southampton,Newcastle,2,2,2,1819
0,0,15,0,2.6,344,107,6,0,4.0,15.4,2018-11-04T15:00:00Z,90,13,0,0,0,0,11,0,14483,1,6,22.0,2,-687,241,928,49,False,0,Southampton,Man City,2,5,2,1819
0,0,11,0,11.3,344,120,1,0,4.2,24.2,2018-11-10T15:00:00Z,90,18,0,0,0,0,12,0,13796,1,1,6.0,2,-748,184,932,49,True,0,Southampton,Watford,2,3,2,1819
0,0,20,0,16.8,344,125,3,0,3.5,12.8,2018-11-24T15:00:00Z,90,9,0,0,0,0,13,0,13173,2,3,5.0,2,-680,128,808,49,False,0,Southampton,Fulham,2,2,2,1819
1,1,29,0,18.2,344,140,2,0,5.9,25.0,2018-12-01T17:30:00Z,90,14,0,0,0,0,14,0,13184,2,2,16.0,5,-65,237,302,48,True,1,Southampton,Man Utd,2,4,2,1819
0,0,0,0,0.0,344,150,0,0,0.0,0.0,2018-12-05T20:00:00Z,0,17,0,0,0,0,15,0,12803,1,3,0.0,0,-380,306,686,48,False,0,Southampton,Spurs,2,4,2,1819
0,0,10,0,6.3,344,154,1,0,2.2,5.4,2018-12-08T15:00:00Z,90,5,0,0,0,0,16,0,13022,0,1,10.0,2,106,487,381,48,False,0,Southampton,Cardiff,2,2,2,1819
0,0,0,0,0.0,344,167,0,0,0.0,0.0,2018-12-16T13:30:00Z,0,1,0,0,0,0,17,0,12849,2,3,0.0,0,-207,282,489,48,True,0,Southampton,Arsenal,2,4,2,1819
0,0,7,0,11.8,344,176,0,0,1.9,5.2,2018-12-22T15:00:00Z,21,10,0,0,0,0,18,0,12262,3,1,2.0,1,-580,87,667,48,False,0,Southampton,Huddersfield,2,2,2,1819
0,0,17,0,6.0,344,188,2,0,2.8,20.2,2018-12-27T19:45:00Z,86,19,0,0,0,0,19,0,12202,2,1,2.0,2,-139,275,414,48,True,0,Southampton,West Ham,2,3,2,1819
0,0,2,0,1.3,344,198,3,0,0.7,5.6,2018-12-30T14:15:00Z,45,13,0,0,0,0,20,0,12033,3,1,0.0,1,-204,171,375,48,True,0,Southampton,Man City,2,4,2,1819
0,0,0,0,0.0,344,204,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,6,0,0,0,0,21,0,11903,0,0,0.0,0,-158,153,311,48,False,0,Southampton,Chelsea,2,4,2,1819
0,0,0,0,0.0,344,217,0,0,0.0,0.0,2019-01-12T15:00:00Z,0,11,0,0,0,0,22,0,11512,2,1,0.0,0,-436,163,599,48,False,0,Southampton,Leicester,2,3,2,1819
0,0,0,0,0.0,344,228,0,0,0.0,0.0,2019-01-19T15:00:00Z,0,8,0,0,0,0,23,0,10890,1,2,0.0,0,-624,19,643,48,True,0,Southampton,Everton,2,2,2,1819
0,0,0,0,0.0,344,239,0,0,0.0,0.0,2019-01-30T19:45:00Z,0,7,0,0,0,0,24,0,10525,1,1,0.0,0,-383,18,401,47,True,0,Southampton,Crystal Palace,2,2,2,1819
0,0,0,0,0.0,344,242,0,0,0.0,0.0,2019-02-02T15:00:00Z,0,4,0,0,0,0,25,0,10324,1,1,0.0,0,-198,15,213,47,False,0,Southampton,Burnley,2,3,2,1819
0,0,0,0,0.0,344,257,0,0,0.0,0.0,2019-02-09T15:00:00Z,0,5,0,0,0,0,26,0,10051,2,1,0.0,0,-275,14,289,47,True,0,Southampton,Cardiff,2,2,2,1819
0,0,0,0,0.0,344,261,0,0,0.0,0.0,2019-02-24T14:05:00Z,0,1,0,0,0,0,27,0,9807,0,2,0.0,0,-240,12,252,47,False,0,Southampton,Arsenal,2,4,2,1819
0,0,0,0,0.0,344,280,0,0,0.0,0.0,2019-02-27T19:45:00Z,0,9,0,0,0,0,28,0,9765,0,2,0.0,0,-65,8,73,47,True,0,Southampton,Fulham,2,2,2,1819
0,0,0,0,0.0,344,286,0,0,0.0,0.0,2019-03-02T15:00:00Z,0,14,0,0,0,0,29,0,9667,2,3,0.0,0,-94,7,101,47,False,0,Southampton,Man Utd,2,4,2,1819
0,0,0,0,0.0,344,300,0,0,0.0,0.0,2019-03-09T15:00:00Z,0,17,0,0,0,0,30,0,9588,1,2,0.0,0,-83,5,88,47,True,0,Southampton,Spurs,2,4,2,1819
0,0,0,0,0.0,344,312,0,0,0.0,0.0,2019-03-30T15:00:00Z,0,3,0,0,0,0,32,0,9474,1,0,0.0,0,-59,8,67,47,False,0,Southampton,Brighton,2,2,2,1819
0,0,0,0,0.0,344,327,0,0,0.0,0.0,2019-04-05T19:00:00Z,0,12,0,0,0,0,33,0,9451,3,1,0.0,0,-26,13,39,47,True,0,Southampton,Liverpool,2,4,2,1819
0,0,0,0,0.0,344,338,0,0,0.0,0.0,2019-04-13T14:00:00Z,0,20,0,0,0,0,34,0,9424,1,3,0.0,0,-31,14,45,47,True,0,Southampton,Wolves,2,3,2,1819
0,1,23,0,21.6,344,348,1,1,6.5,35.6,2019-04-20T16:30:00Z,45,15,0,0,0,0,35,0,9369,1,3,8.0,7,-56,10,66,47,False,0,Southampton,Newcastle,2,3,2,1819
0,0,6,0,0.4,344,308,1,0,0.6,5.6,2019-04-23T18:45:00Z,16,18,0,0,0,0,35,0,9369,1,1,0.0,1,-56,10,66,47,False,0,Southampton,Watford,2,3,2,1819
0,0,0,0,0.0,344,358,0,0,0.0,0.0,2019-04-27T14:00:00Z,0,2,0,0,0,0,36,0,9779,3,3,0.0,0,369,416,47,47,True,0,Southampton,Bournemouth,2,2,2,1819
0,0,18,0,22.9,344,369,3,0,4.5,14.4,2019-05-04T14:00:00Z,74,19,0,0,0,0,37,0,9688,0,3,8.0,2,-68,43,111,47,False,0,Southampton,West Ham,2,3,2,1819
0,0,0,0,0.0,344,378,0,0,0.0,0.0,2019-05-12T14:00:00Z,0,10,0,0,0,0,38,0,9866,1,1,0.0,0,152,221,69,47,True,0,Southampton,Huddersfield,2,2,2,1819
0,0,0,0,0.0,324,3,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,5,0,0,0,0,1,0,10698,0,3,0.0,0,0,0,0,50,False,0,Southampton,Burnley,3,3,2,1920
0,0,0,0,0.0,324,19,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,10,0,0,0,0,2,0,10349,2,1,0.0,0,-1622,353,1975,50,True,0,Southampton,Liverpool,2,4,2,1920
0,0,0,0,0.0,324,23,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,4,0,0,0,0,3,0,9165,2,0,0.0,0,-1497,432,1929,49,False,0,Southampton,Brighton,3,2,2,1920
0,0,0,0,0.0,324,39,0,0,0.0,0.0,2019-08-31T11:30:00Z,0,12,0,0,0,0,4,0,8363,1,1,0.0,0,-1129,250,1379,49,True,0,Southampton,Man Utd,2,4,2,1920
0,0,0,0,0.0,324,47,0,0,0.0,0.0,2019-09-14T14:00:00Z,0,15,0,0,0,0,5,0,6462,1,0,0.0,0,-1964,106,2070,49,False,0,Southampton,Sheffield Utd,3,3,2,1920
0,0,0,0,0.0,324,59,0,0,0.0,0.0,2019-09-20T19:00:00Z,0,3,0,0,0,0,6,0,5626,3,1,0.0,0,-898,14,912,48,True,0,Southampton,Bournemouth,2,2,2,1920
0,0,0,0,0.0,324,69,0,0,0.0,0.0,2019-09-28T14:00:00Z,0,17,0,0,0,0,7,0,5026,1,2,0.0,0,-622,20,642,48,False,0,Southampton,Spurs,3,4,2,1920
0,0,0,0,0.0,324,78,0,0,0.0,0.0,2019-10-06T13:00:00Z,0,6,0,0,0,0,8,0,4725,4,1,0.0,0,-333,17,350,48,True,0,Southampton,Chelsea,2,4,2,1920
0,0,0,0,0.0,324,90,0,0,0.0,0.0,2019-10-19T14:00:00Z,0,20,0,0,0,0,9,0,4512,1,1,0.0,0,-230,10,240,48,False,0,Southampton,Wolves,3,3,2,1920
0,0,0,0,0.0,324,98,0,0,0.0,0.0,2019-10-25T19:00:00Z,0,9,0,0,0,0,10,0,4432,9,0,0.0,0,-92,6,98,48,True,0,Southampton,Leicester,2,3,2,1920
0,0,0,0,0.0,324,107,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,11,0,0,0,0,11,0,4286,1,2,0.0,0,-152,7,159,48,False,0,Southampton,Man City,3,4,2,1920
0,0,0,0,0.0,324,118,0,0,0.0,0.0,2019-11-09T15:00:00Z,0,8,0,0,0,0,12,0,4208,2,1,0.0,0,-76,10,86,47,True,0,Southampton,Everton,2,2,2,1920
0,0,0,0,0.0,324,121,0,0,0.0,0.0,2019-11-23T15:00:00Z,0,1,0,0,0,0,13,0,4104,2,2,0.0,0,-109,15,124,47,False,0,Southampton,Arsenal,3,4,2,1920
0,0,0,0,0.0,324,138,0,0,0.0,0.0,2019-11-30T17:30:00Z,0,18,0,0,0,0,14,0,4067,1,2,0.0,0,-48,14,62,47,True,0,Southampton,Watford,2,2,2,1920
0,0,0,0,0.0,324,150,0,0,0.0,0.0,2019-12-04T19:30:00Z,0,14,0,0,0,0,15,0,4027,1,2,0.0,0,-40,5,45,47,True,0,Southampton,Norwich,2,2,2,1920
0,0,0,0,0.0,324,156,0,0,0.0,0.0,2019-12-08T14:00:00Z,0,13,0,0,0,0,16,0,3981,1,2,0.0,0,-49,8,57,47,False,0,Southampton,Newcastle,3,2,2,1920
0,0,0,0,0.0,324,169,0,0,0.0,0.0,2019-12-14T17:30:00Z,0,19,0,0,0,0,17,0,3957,1,0,0.0,0,-27,33,60,47,True,0,Southampton,West Ham,2,2,2,1920
0,0,0,0,0.0,324,171,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,2,0,0,0,0,18,0,3900,3,1,0.0,0,-58,10,68,47,False,0,Southampton,Aston Villa,3,2,2,1920
